model,family,alignment,layer,relative_depth,magnitude_reader,magnitude_self,direction_cosine
gemma_base,gemma,base,0,0.0,0.000231252755447,0.0007096221719323,0.0
gemma_base,gemma,base,1,0.04,0.0015323613513819,0.0024557120256053,0.9989825548951302
gemma_base,gemma,base,2,0.08,0.0028690605183324,0.0037012546384154,0.9588912317241056
gemma_base,gemma,base,3,0.12,0.0018622981735758,0.0026509874367677,0.8360021860759272
gemma_base,gemma,base,4,0.16,0.0016695172720241,0.0017037096706416,0.9429074383541622
gemma_base,gemma,base,5,0.2,0.0006856976084256,0.0004024648132599,0.0
gemma_base,gemma,base,6,0.24,0.001763694169004,0.001816286578442,0.998944806370322
gemma_base,gemma,base,7,0.28,0.0018375907006053,0.0025848007392659,0.967989408570064
gemma_base,gemma,base,8,0.32,0.001296461240681,0.0015798696235152,0.9142416998194296
gemma_base,gemma,base,9,0.36,0.0019020194293083,0.0018980664664334,0.9560818789246368
gemma_base,gemma,base,10,0.4,0.0004530714616386,0.0011145432479341,0.0
gemma_base,gemma,base,11,0.44,0.0014729767035572,0.0012983587818969,0.999531710945054
gemma_base,gemma,base,12,0.48,0.0018089455334044,0.0022692078148441,0.9969390826053808
gemma_base,gemma,base,13,0.52,0.0008880039637609,0.0015607316993251,0.97907670269991
gemma_base,gemma,base,14,0.56,0.0009541490918017,0.0014083108249046,0.9999420754980988
gemma_base,gemma,base,15,0.6,0.00075803188538,0.001289313614333,0.0
gemma_base,gemma,base,16,0.64,0.0012814576590992,0.0021962530134451,0.9993839139928324
gemma_base,gemma,base,17,0.68,0.0012048661326961,0.0018154649582237,0.9997729271773992
gemma_base,gemma,base,18,0.72,0.0008867436342507,0.0020170722895263,0.9899353740489872
gemma_base,gemma,base,19,0.76,0.0013963926261743,0.0016025380877479,0.9985028680928716
gemma_base,gemma,base,20,0.8,0.0008777419829894,0.0020811458184535,0.9935261293741372
gemma_base,gemma,base,21,0.84,0.0011030406313139,0.0016311528881353,0.9993936763238908
gemma_base,gemma,base,22,0.88,0.0013142863864939,0.0018753271990768,0.9942533354635508
gemma_base,gemma,base,23,0.92,0.0001683225528898,0.0001948499914919,0.0
gemma_base,gemma,base,24,0.96,6.85582406499928e-05,0.0001578633381135,0.0
gemma_base,gemma,base,25,1.0,3.2710259555911975e-17,5.570356481073612e-17,0.0
gemma_instruct,gemma,instruct,0,0.0,0.0013424201541106,0.0008007472759835,0.9952393294812492
gemma_instruct,gemma,instruct,1,0.04,0.0018860477242534,0.0009446838058433,0.8345002644264012
gemma_instruct,gemma,instruct,2,0.08,0.0016059302593492,0.0005422647706492,0.0
gemma_instruct,gemma,instruct,3,0.12,0.0005877303021602,0.0015277408561599,0.0
gemma_instruct,gemma,instruct,4,0.16,0.0012111977459885,0.0007670534409331,0.0
gemma_instruct,gemma,instruct,5,0.2,0.0016401872007631,0.000656679618916,0.99542124555155
gemma_instruct,gemma,instruct,6,0.24,0.0036756190978143,0.001078618900489,0.26117441262197
gemma_instruct,gemma,instruct,7,0.28,0.0010488880179767,0.0028714105765548,-0.3251040994687538
gemma_instruct,gemma,instruct,8,0.32,0.0020639580861776,0.0013087121377774,0.1620387391704661
gemma_instruct,gemma,instruct,9,0.36,0.0039626366458244,0.0033277893570352,0.950211796093168
gemma_instruct,gemma,instruct,10,0.4,0.0023986117487724,0.0009906714624905,0.0883778992112459
gemma_instruct,gemma,instruct,11,0.44,0.0048919103742362,0.0082085827012994,0.9926493122059366
gemma_instruct,gemma,instruct,12,0.48,0.0045288360508412,0.0048990306585494,0.9500600368615786
gemma_instruct,gemma,instruct,13,0.52,0.0024664566873739,0.0039694583012135,0.998872631535683
gemma_instruct,gemma,instruct,14,0.56,0.0004921792730884,0.0018435403716258,0.0
gemma_instruct,gemma,instruct,15,0.6,0.0004308120168309,0.0018081159521256,0.0
gemma_instruct,gemma,instruct,16,0.64,0.0004504711336215,0.0003516593435586,0.0
gemma_instruct,gemma,instruct,17,0.68,0.0003101916411725,0.0003221577641554,0.0
gemma_instruct,gemma,instruct,18,0.72,0.0004524420878003,0.0008200909121635,0.0
gemma_instruct,gemma,instruct,19,0.76,0.0001518500033955,0.0012417829806996,0.0
gemma_instruct,gemma,instruct,20,0.8,0.0004683000787792,0.0010558923393719,0.0
gemma_instruct,gemma,instruct,21,0.84,0.0001831545649898,0.00035648046128,0.0
gemma_instruct,gemma,instruct,22,0.88,0.0010456820700803,0.0005574368805269,0.0
gemma_instruct,gemma,instruct,23,0.92,0.0003657138278516,0.0002208872162996,0.0
gemma_instruct,gemma,instruct,24,0.96,5.498986113220908e-05,0.000155078159126,0.0
gemma_instruct,gemma,instruct,25,1.0,3.335805035405601e-17,1.4628472785736258e-17,0.0
llama_base,llama,base,0,0.0,0.0003810579908078,0.0010098274771449,0.0
llama_base,llama,base,1,0.0666666666666666,0.0001798278403664,9.456221365656569e-05,0.0
llama_base,llama,base,2,0.1333333333333333,6.235635531175717e-05,0.0002620224386644,0.0
llama_base,llama,base,3,0.2,0.000282587402972,0.0002617781947276,0.0
llama_base,llama,base,4,0.2666666666666666,0.0007530829292332,0.0009172962225084,0.0
llama_base,llama,base,5,0.3333333333333333,0.0006766613239922,0.0011687669204177,0.0
llama_base,llama,base,6,0.4,0.0007231333167094,0.0011883803459975,0.0
llama_base,llama,base,7,0.4666666666666667,0.000349315423767,0.0002553185171229,0.0
llama_base,llama,base,8,0.5333333333333333,0.0001352197036147,0.0003490376643028,0.0
llama_base,llama,base,9,0.6,2.703083689934148e-05,0.0005117582808121,0.0
llama_base,llama,base,10,0.6666666666666666,0.0001088351117254,0.0002434969945546,0.0
llama_base,llama,base,11,0.7333333333333333,3.0615878788409715e-05,0.0002254867724777,0.0
llama_base,llama,base,12,0.8,0.0001414711589215,9.873976431197033e-05,0.0
llama_base,llama,base,13,0.8666666666666667,0.0001715931357279,0.0001013255614309,0.0
llama_base,llama,base,14,0.9333333333333332,8.024597221092108e-05,6.545851516906104e-05,0.0
llama_base,llama,base,15,1.0,5.570356481073612e-17,5.851389114294502e-17,0.0
llama_instruct,llama,instruct,0,0.0,0.0006935539854639,0.0005344319918498,0.0
llama_instruct,llama,instruct,1,0.0666666666666666,0.0011168135919988,0.0007303883217826,0.0
llama_instruct,llama,instruct,2,0.1333333333333333,0.0018364600530771,0.0017488594551128,0.982263067513718
llama_instruct,llama,instruct,3,0.2,0.0020939503955316,0.0011180513688014,0.986168732631143
llama_instruct,llama,instruct,4,0.2666666666666666,0.0015377341554838,0.0011395260175566,0.970478539432462
llama_instruct,llama,instruct,5,0.3333333333333333,0.0012586525960252,0.0011173893851975,0.7810481908140707
llama_instruct,llama,instruct,6,0.4,0.0021898619664708,0.0019171477309915,0.99380953057656
llama_instruct,llama,instruct,7,0.4666666666666667,0.0007379924918525,0.0016542858720805,0.9198509200170212
llama_instruct,llama,instruct,8,0.5333333333333333,0.0015089261456237,0.0017379934332397,0.9903533568068946
llama_instruct,llama,instruct,9,0.6,0.0004710546524516,0.0004056021358043,0.0
llama_instruct,llama,instruct,10,0.6666666666666666,0.0006834138436819,0.0007279323220972,0.0
llama_instruct,llama,instruct,11,0.7333333333333333,0.0009313526282299,0.0004733113396286,0.0
llama_instruct,llama,instruct,12,0.8,0.0002387202757491,0.0005767387674237,0.0
llama_instruct,llama,instruct,13,0.8666666666666667,0.0001826086333154,9.407064399698952e-05,0.0
llama_instruct,llama,instruct,14,0.9333333333333332,9.877769580287184e-05,4.379012037003032e-05,0.0
llama_instruct,llama,instruct,15,1.0,7.196257102300634e-17,3.8146389987685306e-17,0.0
olmo_base,olmo,base,0,0.0,0.0015986742186698,0.0008480291991533,0.9946433203252084
olmo_base,olmo,base,1,0.0666666666666666,0.0028545697620258,0.0010465242971388,0.991156529897382
olmo_base,olmo,base,2,0.1333333333333333,0.0016728651262358,0.000556640137575,0.0
olmo_base,olmo,base,3,0.2,0.0009984532122124,0.0005776235783841,0.0
olmo_base,olmo,base,4,0.2666666666666666,0.0061430679981394,0.001664313786868,0.8196752817873284
olmo_base,olmo,base,5,0.3333333333333333,0.0032367992037998,0.0007415410217875,-0.1164858774728062
olmo_base,olmo,base,6,0.4,0.0036108178288198,0.0008266954919806,0.651350903817888
olmo_base,olmo,base,7,0.4666666666666667,0.0018704406707624,0.0012575180518922,-0.1772714132453326
olmo_base,olmo,base,8,0.5333333333333333,0.0035452242926474,0.0005394206410882,0.3924194247804153
olmo_base,olmo,base,9,0.6,0.0018124987752817,0.0006884369928877,-0.1987167565009263
olmo_base,olmo,base,10,0.6666666666666666,0.0006424764544556,0.000157381135638,0.0
olmo_base,olmo,base,11,0.7333333333333333,0.0005404401949701,0.0007889895838191,0.0
olmo_base,olmo,base,12,0.8,0.000310706920642,0.0003740844299443,0.0
olmo_base,olmo,base,13,0.8666666666666667,0.0002254222430544,0.0003419122045567,0.0
olmo_base,olmo,base,14,0.9333333333333332,0.0004925749780872,0.0001651141056533,0.0
olmo_base,olmo,base,15,1.0,5.274370871070161e-17,1.962615573354719e-17,0.0
olmo_instruct,olmo,instruct,0,0.0,0.0001299210858424,0.000223072486791,0.0
olmo_instruct,olmo,instruct,1,0.0666666666666666,0.0004229654953376,0.0003193216313043,0.0
olmo_instruct,olmo,instruct,2,0.1333333333333333,0.0002860585821357,0.0005024746802021,0.0
olmo_instruct,olmo,instruct,3,0.2,0.0003855485388487,0.0007580733152462,0.0
olmo_instruct,olmo,instruct,4,0.2666666666666666,0.0002194151560074,0.0003347238938913,0.0
olmo_instruct,olmo,instruct,5,0.3333333333333333,0.0007117888387043,0.000505190271996,0.0
olmo_instruct,olmo,instruct,6,0.4,0.000703863040126,0.0007245249054258,0.0
olmo_instruct,olmo,instruct,7,0.4666666666666667,0.0008004707666049,0.0006744319075533,0.0
olmo_instruct,olmo,instruct,8,0.5333333333333333,0.0006169522040294,0.0003683343265074,0.0
olmo_instruct,olmo,instruct,9,0.6,0.0003799732584392,0.0001004920437714,0.0
olmo_instruct,olmo,instruct,10,0.6666666666666666,0.0008183772755692,0.0011724887108266,0.0
olmo_instruct,olmo,instruct,11,0.7333333333333333,0.0001924907775003,0.0004014920147756,0.0
olmo_instruct,olmo,instruct,12,0.8,0.0001715505754729,0.0002989858719508,0.0
olmo_instruct,olmo,instruct,13,0.8666666666666667,0.0002004229612513,0.0002339788126108,0.0
olmo_instruct,olmo,instruct,14,0.9333333333333332,0.0001616433852404,0.0002571040708683,0.0
olmo_instruct,olmo,instruct,15,1.0,9.12375865752362e-17,1.2000698371218095e-16,0.0
qwen_base,qwen,base,0,0.0,0.000853792452319,0.0007148510593105,0.0
qwen_base,qwen,base,1,0.037037037037037,0.0018366215058429,0.0005060603343984,0.0
qwen_base,qwen,base,2,0.074074074074074,0.0019972832590668,0.0010913748516302,0.9970535592078974
qwen_base,qwen,base,3,0.1111111111111111,0.0016121135036459,0.0011757171558878,0.9990879991506336
qwen_base,qwen,base,4,0.1481481481481481,0.001869536324283,0.0011491603195001,0.994442816675814
qwen_base,qwen,base,5,0.1851851851851851,0.0017370447013324,0.0011954580239617,0.9997662506094698
qwen_base,qwen,base,6,0.2222222222222222,0.0013289709508745,0.0010543786850904,0.9966789538002608
qwen_base,qwen,base,7,0.2592592592592592,0.0014977334428217,0.0009829096225922,0.9986247153188184
qwen_base,qwen,base,8,0.2962962962962963,0.0008906150545784,0.0009412608415538,0.0
qwen_base,qwen,base,9,0.3333333333333333,0.0010663801301834,0.0012085227673728,0.994157904071697
qwen_base,qwen,base,10,0.3703703703703703,0.0009968857896605,0.0011835045151582,0.9852077519511188
qwen_base,qwen,base,11,0.4074074074074074,0.0009890782191214,0.0011248052076783,0.996692750776998
qwen_base,qwen,base,12,0.4444444444444444,0.0011207748259962,0.0012005472275327,0.9887047651904992
qwen_base,qwen,base,13,0.4814814814814814,0.0004668252126906,0.0002673300874195,0.0
qwen_base,qwen,base,14,0.5185185185185185,0.000294922827853,0.0003512272742139,0.0
qwen_base,qwen,base,15,0.5555555555555556,0.0009315109626857,0.0009919042311909,0.0
qwen_base,qwen,base,16,0.5925925925925926,0.0025589983138942,0.0024601082799113,0.9707465715871196
qwen_base,qwen,base,17,0.6296296296296297,0.0008544570994923,0.0009755278341588,0.0
qwen_base,qwen,base,18,0.6666666666666666,0.0003000842900299,0.0002507897058248,0.0
qwen_base,qwen,base,19,0.7037037037037037,0.0004046287412367,0.0004164293162647,0.0
qwen_base,qwen,base,20,0.7407407407407407,0.0002771299382492,0.0006134944645273,0.0
qwen_base,qwen,base,21,0.7777777777777778,0.0001807917959207,0.0003589756194792,0.0
qwen_base,qwen,base,22,0.8148148148148148,0.0001861912445764,0.0003292786706481,0.0
qwen_base,qwen,base,23,0.8518518518518519,0.0001308801441867,0.0006416745746723,0.0
qwen_base,qwen,base,24,0.8888888888888888,0.0003003740147271,0.000546145562208,0.0
qwen_base,qwen,base,25,0.925925925925926,8.925033697300336e-05,0.0001652653302691,0.0
qwen_base,qwen,base,26,0.9629629629629628,0.000203873221608,0.0002358069944124,0.0
qwen_base,qwen,base,27,1.0,1.0569008315563939e-16,8.89815261365637e-17,0.0
qwen_instruct,qwen,instruct,0,0.0,0.0007987488312557,0.0004009519826834,0.0
qwen_instruct,qwen,instruct,1,0.037037037037037,0.000977138193226,0.0003729714308621,0.0
qwen_instruct,qwen,instruct,2,0.074074074074074,0.0005381645408824,0.0006312813175902,0.0
qwen_instruct,qwen,instruct,3,0.1111111111111111,0.0003242354748464,0.0003735312033027,0.0
qwen_instruct,qwen,instruct,4,0.1481481481481481,0.0003353141692767,0.0002762081606244,0.0
qwen_instruct,qwen,instruct,5,0.1851851851851851,0.0005929337433905,0.0003469497808654,0.0
qwen_instruct,qwen,instruct,6,0.2222222222222222,0.0004722425663895,0.0003192330757069,0.0
qwen_instruct,qwen,instruct,7,0.2592592592592592,0.0006038219568461,0.0004449875516752,0.0
qwen_instruct,qwen,instruct,8,0.2962962962962963,0.0007834360723278,0.0008569190698941,0.0
qwen_instruct,qwen,instruct,9,0.3333333333333333,0.0008021892628453,0.0005670469363221,0.0
qwen_instruct,qwen,instruct,10,0.3703703703703703,0.0003081532421564,3.886791050764824e-05,0.0
qwen_instruct,qwen,instruct,11,0.4074074074074074,0.0001462726896577,0.000269621293882,0.0
qwen_instruct,qwen,instruct,12,0.4444444444444444,0.0002825012590533,4.126007380569103e-05,0.0
qwen_instruct,qwen,instruct,13,0.4814814814814814,0.0003630187887779,0.0002769828712919,0.0
qwen_instruct,qwen,instruct,14,0.5185185185185185,0.0004757704937599,0.0002953842008899,0.0
qwen_instruct,qwen,instruct,15,0.5555555555555556,0.0009197153063734,0.0005213358829897,0.0
qwen_instruct,qwen,instruct,16,0.5925925925925926,0.0007022031080079,0.0005896189662014,0.0
qwen_instruct,qwen,instruct,17,0.6296296296296297,0.00075884862026,0.0003533037689391,0.0
qwen_instruct,qwen,instruct,18,0.6666666666666666,0.0001672644143741,0.0002740636302458,0.0
qwen_instruct,qwen,instruct,19,0.7037037037037037,0.0001765431173333,0.0002296693758027,0.0
qwen_instruct,qwen,instruct,20,0.7407407407407407,0.0003830458637184,9.398854524218184e-05,0.0
qwen_instruct,qwen,instruct,21,0.7777777777777778,0.0001919317875483,0.0002175097614561,0.0
qwen_instruct,qwen,instruct,22,0.8148148148148148,0.0003132958235788,0.0001574963503002,0.0
qwen_instruct,qwen,instruct,23,0.8518518518518519,0.0001090413506493,0.0002528729219598,0.0
qwen_instruct,qwen,instruct,24,0.8888888888888888,4.016691126217534e-05,0.000222843469301,0.0
qwen_instruct,qwen,instruct,25,0.925925925925926,5.156844637500672e-05,0.0001980203510817,0.0
qwen_instruct,qwen,instruct,26,0.9629629629629628,0.0001053177053744,8.058615302293927e-05,0.0
qwen_instruct,qwen,instruct,27,1.0,4.388541835720877e-17,5.2743708710701605e-17,0.0
