family,alignment,condition,task,axis,relative_depth,c_net_rand
olmo,base,base_plain_reader,reader,valence,0.0,-6.48121422843948e-05
olmo,base,base_plain_reader,reader,valence,0.06666666666666667,-8.782620198315527e-05
olmo,base,base_plain_reader,reader,valence,0.13333333333333333,-2.2857743585203317e-05
olmo,base,base_plain_reader,reader,valence,0.2,-6.696842148978277e-05
olmo,base,base_plain_reader,reader,valence,0.26666666666666666,2.830966771673271e-05
olmo,base,base_plain_reader,reader,valence,0.3333333333333333,3.973240612816653e-05
olmo,base,base_plain_reader,reader,valence,0.4,-8.234509871843887e-05
olmo,base,base_plain_reader,reader,valence,0.4666666666666667,1.339729401249734e-05
olmo,base,base_plain_reader,reader,valence,0.5333333333333333,-0.0001980109142903821
olmo,base,base_plain_reader,reader,valence,0.6,0.00011290029939617962
olmo,base,base_plain_reader,reader,valence,0.6666666666666666,3.495653719364622e-05
olmo,base,base_plain_reader,reader,valence,0.7333333333333333,-7.35407339279135e-05
olmo,base,base_plain_reader,reader,valence,0.8,3.661893497782298e-05
olmo,base,base_plain_reader,reader,valence,0.8666666666666667,5.353298328140355e-06
olmo,base,base_plain_reader,reader,valence,0.9333333333333333,-5.976454620132987e-05
olmo,base,base_plain_reader,reader,valence,1.0,-1.509903313490213e-17
olmo,base,base_plain_reader,reader,arousal,0.0,2.7562184843697323e-05
olmo,base,base_plain_reader,reader,arousal,0.06666666666666667,-9.341482021521407e-06
olmo,base,base_plain_reader,reader,arousal,0.13333333333333333,1.4337005431399596e-05
olmo,base,base_plain_reader,reader,arousal,0.2,4.419739517558874e-05
olmo,base,base_plain_reader,reader,arousal,0.26666666666666666,5.813608155930794e-06
olmo,base,base_plain_reader,reader,arousal,0.3333333333333333,4.237543462722648e-05
olmo,base,base_plain_reader,reader,arousal,0.4,-1.5875578707773562e-05
olmo,base,base_plain_reader,reader,arousal,0.4666666666666667,7.129362265014372e-06
olmo,base,base_plain_reader,reader,arousal,0.5333333333333333,2.3776722759216717e-05
olmo,base,base_plain_reader,reader,arousal,0.6,2.888798884181032e-05
olmo,base,base_plain_reader,reader,arousal,0.6666666666666666,-2.487125459935946e-05
olmo,base,base_plain_reader,reader,arousal,0.7333333333333333,3.387389065383495e-05
olmo,base,base_plain_reader,reader,arousal,0.8,-4.516491556509905e-06
olmo,base,base_plain_reader,reader,arousal,0.8666666666666667,-7.835480816124729e-06
olmo,base,base_plain_reader,reader,arousal,0.9333333333333333,8.157049052453402e-06
olmo,base,base_plain_reader,reader,arousal,1.0,2.042810365310288e-17
olmo,base,base_reader,reader,valence,0.0,-6.48121422843948e-05
olmo,base,base_reader,reader,valence,0.06666666666666667,-8.782620198315527e-05
olmo,base,base_reader,reader,valence,0.13333333333333333,-2.2857743585203317e-05
olmo,base,base_reader,reader,valence,0.2,-6.696842148978277e-05
olmo,base,base_reader,reader,valence,0.26666666666666666,2.830966771673271e-05
olmo,base,base_reader,reader,valence,0.3333333333333333,3.973240612816653e-05
olmo,base,base_reader,reader,valence,0.4,-8.234509871843887e-05
olmo,base,base_reader,reader,valence,0.4666666666666667,1.339729401249734e-05
olmo,base,base_reader,reader,valence,0.5333333333333333,-0.0001980109142903821
olmo,base,base_reader,reader,valence,0.6,0.00011290029939617962
olmo,base,base_reader,reader,valence,0.6666666666666666,3.495653719364622e-05
olmo,base,base_reader,reader,valence,0.7333333333333333,-7.35407339279135e-05
olmo,base,base_reader,reader,valence,0.8,3.661893497782298e-05
olmo,base,base_reader,reader,valence,0.8666666666666667,5.353298328140355e-06
olmo,base,base_reader,reader,valence,0.9333333333333333,-5.976454620132987e-05
olmo,base,base_reader,reader,valence,1.0,-1.509903313490213e-17
olmo,base,base_reader,reader,arousal,0.0,2.7562184843697323e-05
olmo,base,base_reader,reader,arousal,0.06666666666666667,-9.341482021521407e-06
olmo,base,base_reader,reader,arousal,0.13333333333333333,1.4337005431399596e-05
olmo,base,base_reader,reader,arousal,0.2,4.419739517558874e-05
olmo,base,base_reader,reader,arousal,0.26666666666666666,5.813608155930794e-06
olmo,base,base_reader,reader,arousal,0.3333333333333333,4.237543462722648e-05
olmo,base,base_reader,reader,arousal,0.4,-1.5875578707773562e-05
olmo,base,base_reader,reader,arousal,0.4666666666666667,7.129362265014372e-06
olmo,base,base_reader,reader,arousal,0.5333333333333333,2.3776722759216717e-05
olmo,base,base_reader,reader,arousal,0.6,2.888798884181032e-05
olmo,base,base_reader,reader,arousal,0.6666666666666666,-2.487125459935946e-05
olmo,base,base_reader,reader,arousal,0.7333333333333333,3.387389065383495e-05
olmo,base,base_reader,reader,arousal,0.8,-4.516491556509905e-06
olmo,base,base_reader,reader,arousal,0.8666666666666667,-7.835480816124729e-06
olmo,base,base_reader,reader,arousal,0.9333333333333333,8.157049052453402e-06
olmo,base,base_reader,reader,arousal,1.0,2.042810365310288e-17
olmo,base,base_plain_self,self,valence,0.0,-1.8544012649475584e-05
olmo,base,base_plain_self,self,valence,0.06666666666666667,-8.827667273138218e-06
olmo,base,base_plain_self,self,valence,0.13333333333333333,-5.7504294272843205e-05
olmo,base,base_plain_self,self,valence,0.2,-3.285038044811639e-05
olmo,base,base_plain_self,self,valence,0.26666666666666666,-7.688099521561753e-05
olmo,base,base_plain_self,self,valence,0.3333333333333333,5.0022815755861315e-05
olmo,base,base_plain_self,self,valence,0.4,-5.769329092084785e-05
olmo,base,base_plain_self,self,valence,0.4666666666666667,-0.0001831013459420614
olmo,base,base_plain_self,self,valence,0.5333333333333333,3.331309641677383e-05
olmo,base,base_plain_self,self,valence,0.6,0.00011123580797766585
olmo,base,base_plain_self,self,valence,0.6666666666666666,1.8859700078326826e-05
olmo,base,base_plain_self,self,valence,0.7333333333333333,-4.923858461177488e-05
olmo,base,base_plain_self,self,valence,0.8,3.617871004265804e-05
olmo,base,base_plain_self,self,valence,0.8666666666666667,5.297025700086522e-05
olmo,base,base_plain_self,self,valence,0.9333333333333333,-1.8422508785196358e-05
