stage,rq,family,alignment,task,axis,condition,metric,estimate,value_text,ci_low,ci_high,p,q,n,is_primary,analysis_role,source_artifact,source_key
behavioral,rq1_emobank_correspondence,gemma,base,reader,valence,emobank_human_grounding,pearson_r,-0.0039834970073383,,,,0.8998805978263144,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,base,reader,valence,emobank_human_grounding,spearman_rho,-0.0034984116332129,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,base,reader,arousal,emobank_human_grounding,pearson_r,0.0527816235707193,,,,0.0952806351450909,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,base,reader,arousal,emobank_human_grounding,spearman_rho,0.0607589148677708,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,base,self,valence,emobank_human_grounding,pearson_r,0.0165826905480853,,,,0.6004379191282774,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,base,self,valence,emobank_human_grounding,spearman_rho,0.0207771090682133,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,base,self,arousal,emobank_human_grounding,pearson_r,0.0236373097961253,,,,0.4552767903916855,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,base,self,arousal,emobank_human_grounding,spearman_rho,0.0488783311846212,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,reader,valence,emobank_human_grounding,pearson_r,-0.0115562255929583,,,,0.7151150901683105,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,reader,valence,emobank_human_grounding,spearman_rho,-0.0264718292866628,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,reader,arousal,emobank_human_grounding,pearson_r,0.3198029998931254,,,,3.254013213782769e-25,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,reader,arousal,emobank_human_grounding,spearman_rho,0.2783858276611033,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,self,valence,emobank_human_grounding,pearson_r,0.1050982883800782,,,,0.000872946232486,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,self,valence,emobank_human_grounding,spearman_rho,0.0790698537141176,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,self,arousal,emobank_human_grounding,pearson_r,0.2542695988972565,,,,3.2084846404564343e-16,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
