stage,rq,family,alignment,task,axis,condition,metric,estimate,value_text,ci_low,ci_high,p,q,n,is_primary,analysis_role,source_artifact,source_key
behavioral,rq1_emobank_correspondence,gemma,base,writer,valence,emobank_human_grounding,pearson_r,-0.0219096381572053,,,,0.4888995802252244,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,base,writer,valence,emobank_human_grounding,spearman_rho,-0.0231830734567835,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,base,writer,valence,emobank_human_grounding,mae,1.9628756384842363,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,base,writer,arousal,emobank_human_grounding,pearson_r,0.0288115519407773,,,,0.3627430500648882,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,base,writer,arousal,emobank_human_grounding,spearman_rho,0.0333056256135872,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,base,writer,arousal,emobank_human_grounding,mae,1.9523818092941012,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,base,writer,dominance,emobank_human_grounding,pearson_r,0.0552311486055202,,,,0.0808612825532104,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,base,writer,dominance,emobank_human_grounding,spearman_rho,0.0424399813721707,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,base,writer,dominance,emobank_human_grounding,mae,1.8598907801184783,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,base,reader,valence,emobank_human_grounding,mae,1.9527545446974863,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,base,reader,arousal,emobank_human_grounding,mae,1.920278007515439,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,base,reader,dominance,emobank_human_grounding,pearson_r,0.0495482841227966,,,,0.1173822269955079,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,base,reader,dominance,emobank_human_grounding,spearman_rho,0.0497188411111475,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,base,reader,dominance,emobank_human_grounding,mae,1.9194781667425165,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,base,self,valence,emobank_human_grounding,mae,1.9676816813353724,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,base,self,arousal,emobank_human_grounding,mae,1.933833561750629,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,base,self,dominance,emobank_human_grounding,pearson_r,-0.0012948221575817,,,,0.9673798609023662,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,base,self,dominance,emobank_human_grounding,spearman_rho,0.0098661158607268,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,base,self,dominance,emobank_human_grounding,mae,1.9202789910896805,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,instruct,writer,valence,emobank_human_grounding,pearson_r,-0.0152568819628037,,,,0.6298843826212802,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,writer,valence,emobank_human_grounding,spearman_rho,-0.0470751627486415,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,writer,valence,emobank_human_grounding,mae,2.120503545901257,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,instruct,writer,arousal,emobank_human_grounding,pearson_r,0.2087759802941504,,,,2.6033081801347524e-11,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,writer,arousal,emobank_human_grounding,spearman_rho,0.1612623627621022,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,writer,arousal,emobank_human_grounding,mae,1.7834159325282708,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,instruct,writer,dominance,emobank_human_grounding,pearson_r,0.1347474453209422,,,,1.90905164860336e-05,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,writer,dominance,emobank_human_grounding,spearman_rho,0.1548553844314953,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,writer,dominance,emobank_human_grounding,mae,1.7788779891043762,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,instruct,reader,valence,emobank_human_grounding,mae,2.2202222383087147,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,instruct,reader,arousal,emobank_human_grounding,mae,1.8094837935007904,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,instruct,reader,dominance,emobank_human_grounding,pearson_r,0.1661132854382144,,,,1.2698870794917696e-07,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,reader,dominance,emobank_human_grounding,spearman_rho,0.1721673802744716,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,reader,dominance,emobank_human_grounding,mae,1.845932094032389,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,instruct,self,valence,emobank_human_grounding,mae,1.9815312226764927,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,instruct,self,arousal,emobank_human_grounding,mae,1.78160679603205,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,instruct,self,dominance,emobank_human_grounding,pearson_r,0.1788600225289902,,,,1.2340128919820093e-08,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,self,dominance,emobank_human_grounding,spearman_rho,0.1809663924131953,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,self,dominance,emobank_human_grounding,mae,1.9151826461964545,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,base,writer,valence,emobank_human_grounding,pearson_r,0.1210977480434254,,,,0.0001236406229186,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,base,writer,valence,emobank_human_grounding,spearman_rho,0.1637172495305192,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,base,writer,valence,emobank_human_grounding,mae,1.974368300214848,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,base,writer,arousal,emobank_human_grounding,pearson_r,-0.0095134988493912,,,,0.7638157951824893,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,base,writer,arousal,emobank_human_grounding,spearman_rho,-0.0070187066512578,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,base,writer,arousal,emobank_human_grounding,mae,1.9571013720999129,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,base,writer,dominance,emobank_human_grounding,pearson_r,-0.0212662397807057,,,,0.5017540655291305,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,base,writer,dominance,emobank_human_grounding,spearman_rho,-0.0092437231591039,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,base,writer,dominance,emobank_human_grounding,mae,1.8686137450850544,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,base,reader,valence,emobank_human_grounding,mae,1.9676120944995752,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,base,reader,arousal,emobank_human_grounding,mae,1.9214156915338896,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,base,reader,dominance,emobank_human_grounding,pearson_r,0.0254740186874259,,,,0.4210030627727024,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,base,reader,dominance,emobank_human_grounding,spearman_rho,0.0185704206419266,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,base,reader,dominance,emobank_human_grounding,mae,1.9114523033179909,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,base,self,valence,emobank_human_grounding,mae,1.970208664410972,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,base,self,arousal,emobank_human_grounding,mae,1.9243292165630368,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,base,self,dominance,emobank_human_grounding,pearson_r,0.0174053258321366,,,,0.582485388408348,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,base,self,dominance,emobank_human_grounding,spearman_rho,0.0087298979652594,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,base,self,dominance,emobank_human_grounding,mae,1.9187443375630235,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,instruct,writer,valence,emobank_human_grounding,pearson_r,0.1744608836825858,,,,2.8133339923741e-08,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,instruct,writer,valence,emobank_human_grounding,spearman_rho,0.173349755398031,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,instruct,writer,valence,emobank_human_grounding,mae,2.099574581862538,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,instruct,writer,arousal,emobank_human_grounding,pearson_r,0.1735167927408301,,,,3.3485755392529796e-08,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,instruct,writer,arousal,emobank_human_grounding,spearman_rho,0.1241925606261468,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,instruct,writer,arousal,emobank_human_grounding,mae,1.8770447030923396,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,instruct,writer,dominance,emobank_human_grounding,pearson_r,0.1457475318473592,,,,3.693741909911707e-06,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,instruct,writer,dominance,emobank_human_grounding,spearman_rho,0.1244407816908748,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,instruct,writer,dominance,emobank_human_grounding,mae,1.8315472668315869,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,instruct,reader,valence,emobank_human_grounding,mae,2.0987543292214457,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,instruct,reader,arousal,emobank_human_grounding,mae,1.8348915332881637,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,instruct,reader,dominance,emobank_human_grounding,pearson_r,0.2161403490015679,,,,4.907510049523606e-12,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
