stage,rq,family,alignment,task,axis,condition,metric,estimate,value_text,ci_low,ci_high,p,q,n,is_primary,analysis_role,source_artifact,source_key
behavioral,rq1_emobank_correspondence,gemma,base,writer,valence,emobank_human_grounding,pearson_r,-0.0219096381572053,,,,0.4888995802252244,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,base,writer,valence,emobank_human_grounding,spearman_rho,-0.0231830734567835,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,base,writer,valence,emobank_human_grounding,mae,1.9628756384842363,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,base,writer,arousal,emobank_human_grounding,pearson_r,0.0288115519407773,,,,0.3627430500648882,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,base,writer,arousal,emobank_human_grounding,spearman_rho,0.0333056256135872,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,base,writer,arousal,emobank_human_grounding,mae,1.9523818092941012,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,base,writer,dominance,emobank_human_grounding,pearson_r,0.0552311486055202,,,,0.0808612825532104,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,base,writer,dominance,emobank_human_grounding,spearman_rho,0.0424399813721707,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,base,writer,dominance,emobank_human_grounding,mae,1.8598907801184783,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,base,reader,valence,emobank_human_grounding,pearson_r,-0.0039834970073383,,,,0.8998805978263144,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,base,reader,valence,emobank_human_grounding,spearman_rho,-0.0034984116332129,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,base,reader,valence,emobank_human_grounding,mae,1.9527545446974863,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,base,reader,arousal,emobank_human_grounding,pearson_r,0.0527816235707193,,,,0.0952806351450909,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,base,reader,arousal,emobank_human_grounding,spearman_rho,0.0607589148677708,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,base,reader,arousal,emobank_human_grounding,mae,1.920278007515439,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,base,reader,dominance,emobank_human_grounding,pearson_r,0.0495482841227966,,,,0.1173822269955079,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,base,reader,dominance,emobank_human_grounding,spearman_rho,0.0497188411111475,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,base,reader,dominance,emobank_human_grounding,mae,1.9194781667425165,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,base,self,valence,emobank_human_grounding,pearson_r,0.0165826905480853,,,,0.6004379191282774,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,base,self,valence,emobank_human_grounding,spearman_rho,0.0207771090682133,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,base,self,valence,emobank_human_grounding,mae,1.9676816813353724,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,base,self,arousal,emobank_human_grounding,pearson_r,0.0236373097961253,,,,0.4552767903916855,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,base,self,arousal,emobank_human_grounding,spearman_rho,0.0488783311846212,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,base,self,arousal,emobank_human_grounding,mae,1.933833561750629,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,base,self,dominance,emobank_human_grounding,pearson_r,-0.0012948221575817,,,,0.9673798609023662,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,base,self,dominance,emobank_human_grounding,spearman_rho,0.0098661158607268,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,base,self,dominance,emobank_human_grounding,mae,1.9202789910896805,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,instruct,writer,valence,emobank_human_grounding,pearson_r,-0.0152568819628037,,,,0.6298843826212802,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,writer,valence,emobank_human_grounding,spearman_rho,-0.0470751627486415,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,writer,valence,emobank_human_grounding,mae,2.120503545901257,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,instruct,writer,arousal,emobank_human_grounding,pearson_r,0.2087759802941504,,,,2.6033081801347524e-11,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,writer,arousal,emobank_human_grounding,spearman_rho,0.1612623627621022,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,writer,arousal,emobank_human_grounding,mae,1.7834159325282708,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,instruct,writer,dominance,emobank_human_grounding,pearson_r,0.1347474453209422,,,,1.90905164860336e-05,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,writer,dominance,emobank_human_grounding,spearman_rho,0.1548553844314953,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,writer,dominance,emobank_human_grounding,mae,1.7788779891043762,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,instruct,reader,valence,emobank_human_grounding,pearson_r,-0.0115562255929583,,,,0.7151150901683105,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,reader,valence,emobank_human_grounding,spearman_rho,-0.0264718292866628,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,reader,valence,emobank_human_grounding,mae,2.2202222383087147,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,instruct,reader,arousal,emobank_human_grounding,pearson_r,0.3198029998931254,,,,3.254013213782769e-25,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,reader,arousal,emobank_human_grounding,spearman_rho,0.2783858276611033,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,reader,arousal,emobank_human_grounding,mae,1.8094837935007904,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,instruct,reader,dominance,emobank_human_grounding,pearson_r,0.1661132854382144,,,,1.2698870794917696e-07,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,reader,dominance,emobank_human_grounding,spearman_rho,0.1721673802744716,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,reader,dominance,emobank_human_grounding,mae,1.845932094032389,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,instruct,self,valence,emobank_human_grounding,pearson_r,0.1050982883800782,,,,0.000872946232486,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,self,valence,emobank_human_grounding,spearman_rho,0.0790698537141176,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,self,valence,emobank_human_grounding,mae,1.9815312226764927,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,instruct,self,arousal,emobank_human_grounding,pearson_r,0.2542695988972565,,,,3.2084846404564343e-16,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,self,arousal,emobank_human_grounding,spearman_rho,0.2191405969498081,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,self,arousal,emobank_human_grounding,mae,1.78160679603205,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,instruct,self,dominance,emobank_human_grounding,pearson_r,0.1788600225289902,,,,1.2340128919820093e-08,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,self,dominance,emobank_human_grounding,spearman_rho,0.1809663924131953,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,self,dominance,emobank_human_grounding,mae,1.9151826461964545,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,base,writer,valence,emobank_human_grounding,pearson_r,0.1210977480434254,,,,0.0001236406229186,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,base,writer,valence,emobank_human_grounding,spearman_rho,0.1637172495305192,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,base,writer,valence,emobank_human_grounding,mae,1.974368300214848,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,base,writer,arousal,emobank_human_grounding,pearson_r,-0.0095134988493912,,,,0.7638157951824893,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,base,writer,arousal,emobank_human_grounding,spearman_rho,-0.0070187066512578,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,base,writer,arousal,emobank_human_grounding,mae,1.9571013720999129,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,base,writer,dominance,emobank_human_grounding,pearson_r,-0.0212662397807057,,,,0.5017540655291305,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,base,writer,dominance,emobank_human_grounding,spearman_rho,-0.0092437231591039,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,base,writer,dominance,emobank_human_grounding,mae,1.8686137450850544,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,base,reader,valence,emobank_human_grounding,pearson_r,0.1292948566442626,,,,4.117729177782964e-05,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,base,reader,valence,emobank_human_grounding,spearman_rho,0.1683995812577901,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,base,reader,valence,emobank_human_grounding,mae,1.9676120944995752,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,base,reader,arousal,emobank_human_grounding,pearson_r,0.1229684713330184,,,,9.677224830386864e-05,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,base,reader,arousal,emobank_human_grounding,spearman_rho,0.0995754647707145,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
