model,family,alignment,task,axis,n,pearson_r,pearson_p,spearman_rho,mae,rmse
gemma_base,gemma,base,writer,valence,1000,-0.0219096381572053,0.4888995802252244,-0.0231830734567835,1.9628756384842363,1.9916028634391552
gemma_base,gemma,base,writer,arousal,1000,0.0288115519407773,0.3627430500648882,0.0333056256135872,1.9523818092941012,1.9760789377851848
gemma_base,gemma,base,writer,dominance,1000,0.0552311486055202,0.0808612825532104,0.0424399813721707,1.8598907801184783,1.8767112046332697
gemma_base,gemma,base,reader,valence,1000,-0.0039834970073383,0.8998805978263144,-0.0034984116332129,1.9527545446974863,1.999402690054357
gemma_base,gemma,base,reader,arousal,1000,0.0527816235707193,0.0952806351450909,0.0607589148677708,1.920278007515439,1.9455757230410784
gemma_base,gemma,base,reader,dominance,1000,0.0495482841227966,0.1173822269955079,0.0497188411111475,1.9194781667425165,1.9407348012693335
gemma_base,gemma,base,self,valence,1000,0.0165826905480853,0.6004379191282774,0.0207771090682133,1.9676816813353724,2.01389896769078
gemma_base,gemma,base,self,arousal,1000,0.0236373097961253,0.4552767903916855,0.0488783311846212,1.933833561750629,1.959116616866084
gemma_base,gemma,base,self,dominance,1000,-0.0012948221575817,0.9673798609023662,0.0098661158607268,1.9202789910896805,1.9416334480976407
gemma_instruct,gemma,instruct,writer,valence,1000,-0.0152568819628037,0.6298843826212802,-0.0470751627486415,2.120503545901257,2.152110202175783
gemma_instruct,gemma,instruct,writer,arousal,1000,0.2087759802941504,2.6033081801347524e-11,0.1612623627621022,1.7834159325282708,1.8141183225325503
gemma_instruct,gemma,instruct,writer,dominance,1000,0.1347474453209422,1.90905164860336e-05,0.1548553844314953,1.7788779891043762,1.8057151303638543
gemma_instruct,gemma,instruct,reader,valence,1000,-0.0115562255929583,0.7151150901683105,-0.0264718292866628,2.2202222383087147,2.266178276418707
gemma_instruct,gemma,instruct,reader,arousal,1000,0.3198029998931254,3.254013213782769e-25,0.2783858276611033,1.8094837935007904,1.8366453027105425
gemma_instruct,gemma,instruct,reader,dominance,1000,0.1661132854382144,1.2698870794917696e-07,0.1721673802744716,1.845932094032389,1.8764953053887927
gemma_instruct,gemma,instruct,self,valence,1000,0.1050982883800782,0.000872946232486,0.0790698537141176,1.9815312226764927,2.028856884299445
gemma_instruct,gemma,instruct,self,arousal,1000,0.2542695988972565,3.2084846404564343e-16,0.2191405969498081,1.78160679603205,1.8123994709012383
gemma_instruct,gemma,instruct,self,dominance,1000,0.1788600225289902,1.2340128919820093e-08,0.1809663924131953,1.9151826461964545,1.9450007386508616
llama_base,llama,base,writer,valence,1000,0.1210977480434254,0.0001236406229186,0.1637172495305192,1.974368300214848,2.002350150830446
llama_base,llama,base,writer,arousal,1000,-0.0095134988493912,0.7638157951824893,-0.0070187066512578,1.9571013720999129,1.9807022008256188
llama_base,llama,base,writer,dominance,1000,-0.0212662397807057,0.5017540655291305,-0.0092437231591039,1.8686137450850544,1.885454339190862
llama_base,llama,base,reader,valence,1000,0.1292948566442626,4.117729177782964e-05,0.1683995812577901,1.9676120944995752,2.013336222456401
llama_base,llama,base,reader,arousal,1000,0.1229684713330184,9.677224830386864e-05,0.0995754647707145,1.9214156915338896,1.9465690159301967
llama_base,llama,base,reader,dominance,1000,0.0254740186874259,0.4210030627727024,0.0185704206419266,1.9114523033179909,1.9328356634033663
llama_base,llama,base,self,valence,1000,0.1092105901248717,0.0005410281623483,0.1496045380565104,1.970208664410972,2.0159170945243057
llama_base,llama,base,self,arousal,1000,0.074243442529737,0.0188700328393887,0.0570422009942909,1.9243292165630368,1.9495183714992756
llama_base,llama,base,self,dominance,1000,0.0174053258321366,0.582485388408348,0.0087298979652594,1.9187443375630235,1.9400578649567108
llama_instruct,llama,instruct,writer,valence,1000,0.1744608836825858,2.8133339923741e-08,0.173349755398031,2.099574581862538,2.125332876389225
llama_instruct,llama,instruct,writer,arousal,1000,0.1735167927408301,3.3485755392529796e-08,0.1241925606261468,1.8770447030923396,1.900869018680007
llama_instruct,llama,instruct,writer,dominance,1000,0.1457475318473592,3.693741909911707e-06,0.1244407816908748,1.8315472668315869,1.8483889901478412
llama_instruct,llama,instruct,reader,valence,1000,0.0982570983395305,0.0018657731425713,0.1414084033457249,2.0987543292214457,2.1415949048414555
llama_instruct,llama,instruct,reader,arousal,1000,0.2974722539657087,7.006065616063202e-22,0.2665944745193102,1.8348915332881637,1.8592278049534487
llama_instruct,llama,instruct,reader,dominance,1000,0.2161403490015679,4.907510049523606e-12,0.1970747361720814,1.8687294372146943,1.889600790653176
llama_instruct,llama,instruct,self,valence,1000,0.0452402468724488,0.1528419422324458,0.0632331067302142,2.0740463156050555,2.1179377607153933
llama_instruct,llama,instruct,self,arousal,1000,0.2087326550748583,2.628516034215397e-11,0.1710920875954787,1.8617647413334983,1.8867902024157392
llama_instruct,llama,instruct,self,dominance,1000,0.2542863893513082,3.1936970040214083e-16,0.2296362776964911,1.884469293787853,1.9048422038116215
olmo_base,olmo,base,writer,valence,1000,0.022706470879935,0.4732284539764726,0.0169999835310727,1.9789060427429963,2.0070878756491
olmo_base,olmo,base,writer,arousal,1000,-0.0252460149424415,0.4251736580652522,-0.0581831047821011,1.926148918977752,1.9501425089059623
olmo_base,olmo,base,writer,dominance,1000,-0.0115923612814528,0.7142632515951889,-0.0160462840471468,1.8838617986299544,1.900549463777492
olmo_base,olmo,base,reader,valence,1000,0.0152437187821361,0.6301798103428862,0.008161404150365,1.9634416114813047,2.009584809263054
olmo_base,olmo,base,reader,arousal,1000,-0.0132075405345542,0.6765650933730191,-0.0406458993581049,1.8822616345457472,1.9081767131629397
olmo_base,olmo,base,reader,dominance,1000,0.0386059252652381,0.2225580075706005,0.0459494052767752,1.9245042005025548,1.9457269324167823
olmo_base,olmo,base,self,valence,1000,0.0258803834972103,0.4136296587967972,0.0075524752266949,1.991144344228688,2.0365993409028427
olmo_base,olmo,base,self,arousal,1000,-0.0006865018101092,0.982701667031375,-0.0190015380029349,1.9072538845025253,1.932783858521929
olmo_base,olmo,base,self,dominance,1000,0.0493528586336232,0.1188371904474072,0.0452781658584838,1.9426042714788327,1.9636241122483384
olmo_instruct,olmo,instruct,writer,valence,1000,0.3231208323928541,9.828093340707092e-26,0.3025266510066662,2.035118554902002,2.0609288655815226
olmo_instruct,olmo,instruct,writer,arousal,1000,0.0957280110802957,0.0024426157252614,0.069054036552078,2.119251235895436,2.1411526758988417
olmo_instruct,olmo,instruct,writer,dominance,1000,-0.0045693728129164,0.8852507195415623,0.0192750309536995,1.9697604903052812,1.9866214410790075
olmo_instruct,olmo,instruct,reader,valence,1000,0.3377114137392206,4.2447437370005935e-28,0.3345589766071629,2.043017112789363,2.0853135032527828
olmo_instruct,olmo,instruct,reader,arousal,1000,0.0894884002416158,0.0046255547452082,0.0749793099849629,2.0746715403381133,2.098289901467831
olmo_instruct,olmo,instruct,reader,dominance,1000,0.1036984561112025,0.0010234899438623,0.0992937189898966,1.976468571996701,1.997150291385208
olmo_instruct,olmo,instruct,self,valence,1000,0.4404050920551601,1.0702118207820247e-48,0.4416197068456246,2.039693206829042,2.081161313914225
olmo_instruct,olmo,instruct,self,arousal,1000,0.0750986698636857,0.0175388278612252,0.0661316765349918,2.0982570783175696,2.12203190525822
olmo_instruct,olmo,instruct,self,dominance,1000,0.1265428139461636,6.001000917281482e-05,0.1169535819336935,1.985265701633092,2.005669865871793
qwen_base,qwen,base,writer,valence,1000,0.392866754880701,2.9872588977355203e-38,0.3994924553702685,2.0013328148703318,2.027951510289059
qwen_base,qwen,base,writer,arousal,1000,0.1557645462630546,7.42942718019416e-07,0.1533482385264511,1.9785113523701925,2.001331347313081
qwen_base,qwen,base,writer,dominance,1000,0.1106897687034819,0.0004536649950405,0.1044610730497221,1.9355217936333216,1.95158730830432
qwen_base,qwen,base,reader,valence,1000,0.4716186511569123,1.6136462152894545e-56,0.465634023634104,2.0131003332396764,2.056210039510856
qwen_base,qwen,base,reader,arousal,1000,0.2573727735564597,1.3583381858375807e-16,0.2194879959275757,1.94490282956524,1.968874254464222
qwen_base,qwen,base,reader,dominance,1000,0.2269250047318112,3.81508753901212e-13,0.2094789916073441,1.9860045249310103,2.00618620470659
qwen_base,qwen,base,self,valence,1000,0.3323664010657681,3.2283898476332542e-27,0.324427219133682,1.9898599961310923,2.0344636156603864
qwen_base,qwen,base,self,arousal,1000,0.2177112366498161,3.410733534136996e-12,0.175631027570234,1.95670052614666,1.9807888885690168
qwen_base,qwen,base,self,dominance,1000,0.2237701454823551,8.165645882550824e-13,0.2004604188753461,1.990221891934806,2.0103545657208963
qwen_instruct,qwen,instruct,writer,valence,1000,0.5334033908778364,1.3137892138401009e-74,0.5507715936076198,2.0082837240963745,2.032375176481397
qwen_instruct,qwen,instruct,writer,arousal,1000,0.1559106475770028,7.252079377579772e-07,0.140787313411134,1.904038877892266,1.927692320607008
qwen_instruct,qwen,instruct,writer,dominance,1000,0.0604229099947533,0.0561208802195487,0.0657456615351936,1.87615999479245,1.892831762044548
qwen_instruct,qwen,instruct,reader,valence,1000,0.587331916087343,8.924995284208345e-94,0.5923248354532092,2.01046254722741,2.049639071932222
qwen_instruct,qwen,instruct,reader,arousal,1000,0.2928013653898958,3.2115396001360245e-21,0.2566640904062087,1.868527826838224,1.8924722102165408
qwen_instruct,qwen,instruct,reader,dominance,1000,0.0302851160753446,0.3387080467238693,0.0358279675358583,1.9130202096542173,1.9344373272425583
qwen_instruct,qwen,instruct,self,valence,1000,0.5373336274193443,6.869952009874915e-76,0.5354674664444422,2.035421611997177,2.075984945017303
qwen_instruct,qwen,instruct,self,arousal,1000,0.2507524590533573,8.381500852873708e-16,0.2076616092975054,1.8861560682784415,1.9104099716039584
qwen_instruct,qwen,instruct,self,dominance,1000,0.1091596143111458,0.0005443010256616,0.1193977247231376,1.9106031960541092,1.9317636649314296
