model,family,alignment,task,axis,n_pairs,mean_aligned_delta,ci_low,ci_high,cohen_dz,t,p,q,mean_raw_delta
gemma_base,gemma,base,writer,valence,192,-0.0094606942122447,-0.016512344459271,-0.0026089639216591,-0.1809214840885219,-2.5069216209766734,0.0130129220152031,,0.0063484217920103
gemma_base,gemma,base,reader,valence,192,-0.0053570085119536,-0.0141513576210117,0.0031357548531797,-0.0891965125509656,-1.2359431327698205,0.2179975582384363,0.2906634109845817,0.0100560785837557
gemma_base,gemma,base,self,valence,192,-0.0019799704013122,-0.0105066113364577,0.00621671820182,-0.0328437630324162,-0.4550965302711789,0.649556667561106,0.7167521848950135,0.0156436364058754
gemma_base,gemma,base,writer,arousal,192,-0.0063806745529501,-0.0116240842730771,-0.0012140640136446,-0.1684516392795672,-2.3341343828038053,0.020628417389948,,-0.0077472911627752
gemma_base,gemma,base,reader,arousal,192,-0.0024361388368422,-0.0076884404497472,0.0025212022319238,-0.0679357300328247,-0.9413450885290826,0.3477170962679817,0.4121091511324228,-0.0037575197668851
gemma_base,gemma,base,self,arousal,192,-0.006526424811756,-0.011917182193812,-0.0010280109373067,-0.1745550004744548,-2.4187050362957216,0.0165139840137884,0.0278130257074331,-0.0095651104762679
gemma_base,gemma,base,writer,dominance,192,0.0008172672488591,-0.0028412430774628,0.0043558120306786,0.0299236370609792,0.414634077894937,0.6788751141686953,,0.0055312579004061
gemma_base,gemma,base,reader,dominance,192,1.1971907435020154e-05,-0.0037282718601843,0.0037082915138804,0.0004393391773087,0.0060876622148335,0.995149131897504,,0.0053290989583141
gemma_base,gemma,base,self,dominance,192,0.0012142091088455,-0.0025650131943531,0.0050509436726478,0.0436300406620405,0.604555577303602,0.5461918190253734,,0.0069947883822646
gemma_instruct,gemma,instruct,writer,valence,192,-0.0114161191614104,-0.0309535365758827,0.007235640980374,-0.0830242513867517,-1.1504177732977987,0.2514101201478618,,0.0658073147075701
gemma_instruct,gemma,instruct,reader,valence,192,0.000407874823206,-0.0140032009562124,0.0155539651976548,0.0038410397203934,0.0532230075968927,0.9576098495336998,0.9576098495336998,0.0209793114824005
gemma_instruct,gemma,instruct,self,valence,192,0.001260332828029,-0.0159464824270774,0.0186732094794965,0.010193269676333,0.1412420877972804,0.8878275544222897,0.916467152952041,0.0601069148216432
gemma_instruct,gemma,instruct,writer,arousal,192,0.0167330238937586,-0.0044799045358308,0.0395519174818031,0.1030364996628061,1.4277156196002696,0.1550066860510846,,0.0063702799113263
gemma_instruct,gemma,instruct,reader,arousal,192,0.1157626115567794,0.0916419803058353,0.141799374245311,0.6465495370579272,8.958853182355734,2.9531228572544693e-16,1.88999862864286e-15,0.1263307969759589
gemma_instruct,gemma,instruct,self,arousal,192,0.0121167887061184,-0.0108125693632927,0.038391246799252,0.0684298267899552,0.9481914940267224,0.3442301087926311,0.4121091511324228,-0.0068087076037004
gemma_instruct,gemma,instruct,writer,dominance,192,-0.0179598381324197,-0.0443240697118325,0.0080266985422796,-0.0958973144503438,-1.3287921674992371,0.185501821695023,,-0.0457970588930854
gemma_instruct,gemma,instruct,reader,dominance,192,-0.0141066633636914,-0.0398425299691886,0.0110773296732568,-0.0779430277096973,-1.0800102727115577,0.2814994799854589,,-0.0307990757326373
gemma_instruct,gemma,instruct,self,dominance,192,-0.0075792145716299,-0.0343733370380557,0.0194270976890757,-0.0391722030401769,-0.542785967279924,0.5879099863354951,,-0.001112041554536
llama_base,llama,base,writer,valence,192,-0.0001019395167711,-0.001538817644679,0.0015898951844212,-0.0090854222648013,-0.1258913037668269,0.8999503825597398,,-0.0049982900874094
llama_base,llama,base,reader,valence,192,0.0011241058756226,-0.0002422435355337,0.0026379416722628,0.1085193500072293,1.50368822253497,0.1343133533971328,0.1953648776685568,-0.0052844258074004
llama_base,llama,base,self,valence,192,0.0004612712653048,-0.0011200752927565,0.0020575642550833,0.0394265052661466,0.5463096822867826,0.5854906618341692,0.6691321849533363,-0.0055699528829361
llama_base,llama,base,writer,arousal,192,0.0014555531608483,0.0004736110160337,0.0024566579392333,0.2029060182033158,2.811548261517108,0.0054448565710017,,0.0013472112788821
llama_base,llama,base,reader,arousal,192,0.0017228072110293,0.00074001595862,0.0027797484531829,0.2344510340747043,3.248648823235601,0.0013700174607822,0.0025788563967666,0.0018762013540279
