model,family,alignment,task,axis,n_triplets,step1_mean,step1_ci_low,step1_ci_high,step2_mean,step2_ci_low,step2_ci_high,p_step1,p_step2,p_iut,q_iut,monotonicity_rate,secondary_slope
gemma_base,gemma,base,writer,valence,48,-0.0149128581367877,-0.0287523259461083,-0.0002608216139595,0.0032091358396593,-0.0112890766071148,0.0173776071534687,0.9765540422170436,0.3416631313352227,0.9765540422170436,,0.0625,-0.0027330669931781
gemma_base,gemma,base,reader,valence,48,-0.0133502623945301,-0.0289890774855156,0.0028120538035406,0.0054837336454016,-0.0115650369618979,0.0222313192812196,0.9462881999381848,0.2691041061103105,0.9462881999381848,0.9997596565981772,0.0625,-0.0009389447172787
gemma_base,gemma,base,self,valence,48,-0.0152687873395764,-0.0294194238138727,0.0005604778198089,0.0131234952877032,-0.0029915882360885,0.0306109735413523,0.9726845431007628,0.0713268031659205,0.9726845431007628,0.9997596565981772,0.0208333333333333,0.0048113013717499
gemma_base,gemma,base,writer,arousal,48,0.0005492341034452,-0.0107540084533082,0.0129342565519458,-0.0056165397291788,-0.0150300106954598,0.0041114483862212,0.4655799940136314,0.8505361247953391,0.8505361247953391,,0.1458333333333333,-0.0033821914931127
gemma_base,gemma,base,reader,arousal,48,0.00818796049385,-0.0034444724777077,0.019922056990296,-0.0099987858625764,-0.021182833495622,0.0010288175397056,0.1005363403614631,0.9513651909821548,0.9513651909821548,0.9997596565981772,0.1041666666666666,-0.0019328802359512
gemma_base,gemma,base,self,arousal,48,0.0038835056300349,-0.0051486542286556,0.0128366062570847,-0.0149599771701762,-0.0246632801440255,-0.0058729221566585,0.2124615650470535,0.9972406112300436,0.9972406112300436,0.9997596565981772,0.1458333333333333,-0.0062744371726279
gemma_base,gemma,base,writer,dominance,48,0.0024722369603012,-0.0070891112391803,0.013461859020669,0.0048312417178201,-0.0082692377703486,0.0157972263554745,0.32686630879541,0.2249193114570871,0.32686630879541,,0.2083333333333333,0.000358445872887
gemma_base,gemma,base,reader,dominance,48,0.0024204617088985,-0.0078231313297364,0.01439150213084,0.0040796963887249,-0.0088633234837053,0.0145990126782545,0.339537080879828,0.2596174724949609,0.339537080879828,,0.1666666666666666,-0.0003260910226115
gemma_base,gemma,base,self,dominance,48,0.0030940905527416,-0.0071703750239809,0.0151076894875958,0.0043535007329097,-0.0095292978767944,0.0159668022120543,0.2969808060571798,0.2602119161019658,0.2969808060571798,,0.2291666666666666,0.0011911698081106
gemma_instruct,gemma,instruct,writer,valence,48,0.0081486340099384,-0.0322704048715324,0.0517029239470593,-0.0192183297776588,-0.0680993073751175,0.0309572912083852,0.3603174322317026,0.7791067981074884,0.7791067981074884,,0.125,0.0262293061240285
gemma_instruct,gemma,instruct,reader,valence,48,0.0122208547025844,-0.0253213217218243,0.0533067974703163,0.0163889769224622,-0.0243149592468735,0.0586150844503953,0.2742664940612641,0.2142424921618261,0.2742664940612641,0.9997596565981772,0.1666666666666666,0.0128745874347906
gemma_instruct,gemma,instruct,self,valence,48,0.0234388711914277,-0.0157162861273978,0.0648901144101943,-0.0127342788787364,-0.0591667688131401,0.0324214839676874,0.1357103577784024,0.7102143134580907,0.7102143134580907,0.9997596565981772,0.1458333333333333,0.0333785748228085
gemma_instruct,gemma,instruct,writer,arousal,48,-0.0205870368077871,-0.0613077206123968,0.0228451766977402,0.0661178185981921,-0.0020809453727696,0.1379752865577891,0.8163714178429353,0.0325432227132435,0.8163714178429353,,0.1458333333333333,0.0222351701546186
gemma_instruct,gemma,instruct,reader,arousal,48,0.05046650133333,0.0008597609506109,0.1014911867168223,0.1244165104299483,0.0590366378873198,0.199875255599513,0.0303071183479409,0.0005566377001422,0.0303071183479409,0.3232759290447036,0.3333333333333333,0.1029006741393369
gemma_instruct,gemma,instruct,self,arousal,48,-0.041523179647592,-0.0901256705306316,0.0060873266780066,0.0727922046319385,-0.002405028952252,0.1511636526402613,0.9441615922568812,0.0328623760993902,0.9441615922568812,0.9997596565981772,0.1458333333333333,0.0123837205971486
gemma_instruct,gemma,instruct,writer,dominance,48,-0.0630249964226929,-0.1271856755961767,0.0048375792784631,0.0697890663644424,0.0079096914339288,0.1340363356843883,0.9696426217083324,0.0160959004572806,0.9696426217083324,,0.1875,-0.0225479282923582
gemma_instruct,gemma,instruct,reader,dominance,48,-0.0512293247491568,-0.1052563779866726,0.0073535990910865,0.0782043564027693,0.0229289780834725,0.140743774025414,0.9620155190698808,0.0050841168993661,0.9620155190698808,,0.2083333333333333,-0.0154022488473759
gemma_instruct,gemma,instruct,self,dominance,48,-0.060787599716611,-0.1218233545788245,0.0066766109700971,0.074051112644202,0.0142686434799784,0.1366437579900191,0.9675831898042268,0.0126658404993922,0.9675831898042268,,0.2291666666666666,-0.0032295373029631
llama_base,llama,base,writer,valence,48,-0.0038571273317044,-0.0070660100081114,-0.0006896504582419,0.0021893147933364,-0.0012385348086556,0.0056701560782886,0.9874297782690574,0.1183221032195366,0.9874297782690574,,0.1666666666666666,-0.0025521586039561
llama_base,llama,base,reader,valence,48,-0.0019491258768489,-0.0051250917580578,0.0013601383269066,0.0014649109782122,-0.0018524670702511,0.0047910001109006,0.8722767086357073,0.1988007209981863,0.8722767086357073,0.9997596565981772,0.125,-0.0027649989843492
