model,family,alignment,task,axis,clinical_displacement,complex_neutral_displacement,difference,cohen_d,welch_t,p,q
gemma_base,gemma,base,writer,valence,0.0315092693385168,0.0619241374315528,-0.030414868093036,-0.717128259244827,-3.866224988925714,0.0002975849976365,
gemma_base,gemma,base,reader,valence,0.0339208962619181,0.0664914746465046,-0.0325705783845865,-0.7557464318184742,-4.062537420566974,0.0001581387780604,0.0004217034081613
gemma_base,gemma,base,self,valence,0.0334300249674323,0.0608347814523072,-0.0274047564848749,-0.7154274673383911,-4.057118608393089,0.0001467078911828,0.0004217034081613
gemma_base,gemma,base,writer,arousal,0.0266400499851061,0.0366960361533176,-0.0100559861682114,-0.4021673076467625,-2.375683229627927,0.0204862371312242,
gemma_base,gemma,base,reader,arousal,0.0267074406301809,0.0403354767376596,-0.0136280361074786,-0.5435836712035027,-3.1789159856387013,0.0022871047837815,0.0048791568720672
gemma_base,gemma,base,self,arousal,0.0238136515961376,0.0369438020072789,-0.0131301504111412,-0.5461949530305593,-3.1513165840520627,0.0025092169037215,0.0050184338074431
gemma_base,gemma,base,writer,dominance,0.0196267682764426,0.0237987323206141,-0.0041719640441715,-0.1933624560117365,-1.1112674252727668,0.270804624162107,
gemma_base,gemma,base,reader,dominance,0.0202108328842426,0.0240436402937277,-0.0038328074094851,-0.1796421957604311,-1.0544305422304114,0.295658620011607,
gemma_base,gemma,base,self,dominance,0.0209424208162093,0.0239223316963014,-0.002979910880092,-0.1401610809212687,-0.8286824882959987,0.4103227753413773,
gemma_instruct,gemma,instruct,writer,valence,0.1139644444298031,0.1937604928617617,-0.0797960484319586,-0.7221449407326922,-4.113061600450217,0.0001205813631471,
gemma_instruct,gemma,instruct,reader,valence,0.0874444903338246,0.176878119335178,-0.0894336290013533,-0.9722547513018944,-5.484091303485944,9.140231206649784e-07,5.8497479722558624e-06
gemma_instruct,gemma,instruct,self,valence,0.0960532507285858,0.1206377480778186,-0.0245844973492327,-0.3258359474542656,-1.972415298692324,0.0526069057598843,0.0841710492158149
gemma_instruct,gemma,instruct,writer,arousal,0.1242815030469439,0.1409143743565497,-0.0166328713096057,-0.1563767236832317,-1.0282185274297952,0.3067730934883309,
gemma_instruct,gemma,instruct,reader,arousal,0.1649842106956861,0.1355101377785344,0.0294740729171517,0.2354757230384995,1.5787722595561204,0.1179054892540999,0.1572073190054666
