model,family,alignment,axis,n_pairs,delta_pearson_r,ci_low,ci_high,p,q,delta_spearman_rho,raw_pearson_r,raw_spearman_rho
gemma_base,gemma,base,valence,192,0.8133539610738367,0.703578472227727,0.88820328165964,1.4229576870164675e-46,3.252474713180497e-46,0.7202784634999865,0.8723967720520789,0.8334334133394675
gemma_base,gemma,base,arousal,192,0.7823925363444233,0.6848803236811594,0.8526895016275132,6.186911332988843e-41,1.0998953480869054e-40,0.7702387895721998,0.8246991969547881,0.819270916974466
gemma_base,gemma,base,dominance,192,0.9380958245835626,0.8913587341421095,0.9643149986724407,2.0113133240197264e-89,,0.9023139733608226,0.963975085384331,0.9535301802525183
gemma_instruct,gemma,instruct,valence,192,0.6207853532497536,0.5173181877273799,0.7126482937563332,7.647537764906818e-22,8.740043159893506e-22,0.5962584434256573,0.6426540126908207,0.6059126775723853
gemma_instruct,gemma,instruct,arousal,192,0.7801724302034226,0.659606898814772,0.8572522059373341,1.445641452151634e-40,2.3130263234426147e-40,0.6486924558500394,0.7561151628676909,0.7112139158590097
gemma_instruct,gemma,instruct,dominance,192,0.9010538123669448,0.8621206609016135,0.9309686963671928,7.48339761036963e-71,,0.8692642351409273,0.91519607754582,0.8920866627025289
llama_base,llama,base,valence,192,0.6615225589583738,0.5699260012365487,0.7330944482056113,1.5559802724403966e-25,1.9150526430035648e-25,0.6354067764425034,0.8635107079868176,0.8545659920398958
llama_base,llama,base,arousal,192,0.8761958729091709,0.8385172542693833,0.9044584813695732,3.890203019327477e-62,1.5560812077309907e-61,0.8656410221631446,0.9411533272295344,0.937181259467272
llama_base,llama,base,dominance,192,0.9038149905200968,0.8762879014266369,0.9257204942513976,5.820488462080508e-72,,0.8962374196348644,0.94946344441255,0.947689660111372
llama_instruct,llama,instruct,valence,192,0.7559104694115304,0.675110012037644,0.8165428794214566,8.447638418391692e-37,1.2287474063115188e-36,0.675553739522014,0.7985302350558889,0.769133655093989
llama_instruct,llama,instruct,arousal,192,0.7544248776876926,0.6973897950403171,0.8074317747246783,1.389948765096422e-36,1.8532650201285625e-36,0.7416159156878172,0.7176713614514494,0.6933554399107634
llama_instruct,llama,instruct,dominance,192,0.9203602162396808,0.8947526913339059,0.9411193733850352,2.1200197536147628e-79,,0.911806893090633,0.952780511101608,0.94569410023481
olmo_base,olmo,base,valence,192,0.5592606909316151,0.4442620037223657,0.6595475195442946,3.420502340391658e-17,3.420502340391658e-17,0.4926213276184793,0.6675258583340532,0.6059044310088151
olmo_base,olmo,base,arousal,192,0.6003886983615265,0.4689871640649525,0.7084612729406912,3.44065829104602e-20,3.670035510449088e-20,0.5311762471855248,0.6370935979075857,0.6096017126810446
olmo_base,olmo,base,dominance,192,0.7092270931175222,0.6310773468844821,0.7669611895601497,1.1550516086852505e-30,,0.6904941947209942,0.7860873747569371,0.7824114905012608
olmo_instruct,olmo,instruct,valence,192,0.8513781024805616,0.810659118470154,0.885391555354258,3.8986808301253135e-55,1.0396482213667503e-54,0.8358194531101647,0.9027424972398748,0.8878739708071649
olmo_instruct,olmo,instruct,arousal,192,0.9313556120077178,0.9080937525641268,0.9495308380356275,2.6725334939630254e-85,4.2760535903408415e-84,0.9222882700811114,0.935097740729922,0.9227966484229532
olmo_instruct,olmo,instruct,dominance,192,0.9305207498640812,0.9084871088984088,0.9489907059908064,8.09520276550444e-85,,0.9341294116051326,0.9414265967721408,0.940406642389941
qwen_base,qwen,base,valence,192,0.8089143752445036,0.7549932429949706,0.8544389946456917,1.0574867525451885e-45,2.114973505090377e-45,0.7833990044217781,0.8377112249137117,0.8030425479277253
qwen_base,qwen,base,arousal,192,0.8660041509143437,0.8315786681768053,0.8924232947058836,4.306220109882976e-59,1.3779904351625525e-58,0.875235669912921,0.828109863126995,0.8277208234410739
qwen_base,qwen,base,dominance,192,0.9558777395045616,0.944458428990546,0.966121544423074,5.027182219036818e-103,,0.956872405935491,0.9561784387089456,0.9467295864999414
qwen_instruct,qwen,instruct,valence,192,0.8919767556186255,0.8594903202689319,0.918183891029746,2.0053741292171084e-67,1.0695328689157912e-66,0.879676097984429,0.8982106069580542,0.8764244853493286
qwen_instruct,qwen,instruct,arousal,192,0.9172623799417392,0.8923791959660896,0.9383902687838154,6.848688844603689e-78,5.478951075682951e-77,0.8971360171445625,0.8984572539496886,0.8701284510783465
qwen_instruct,qwen,instruct,dominance,192,0.8095606208112871,0.748443783878859,0.8571882952995562,7.923205661361501e-46,,0.7862151751078318,0.8827738195482041,0.8542391677047209
