model,family,alignment,probe_type,layer,relative_depth,roc_auc,balanced_acc,macro_f1
gemma_base,gemma,base,clinical_vs_neutral_classification,0,0.0,,,
gemma_base,gemma,base,clinical_vs_neutral_classification,1,0.04,,,
gemma_base,gemma,base,clinical_vs_neutral_classification,2,0.08,,,
gemma_base,gemma,base,clinical_vs_neutral_classification,3,0.12,,,
gemma_base,gemma,base,clinical_vs_neutral_classification,4,0.16,,,
gemma_base,gemma,base,clinical_vs_neutral_classification,5,0.2,,,
gemma_base,gemma,base,clinical_vs_neutral_classification,6,0.24,,,
gemma_base,gemma,base,clinical_vs_neutral_classification,7,0.28,,,
gemma_base,gemma,base,clinical_vs_neutral_classification,8,0.32,,,
gemma_base,gemma,base,clinical_vs_neutral_classification,9,0.36,,,
gemma_base,gemma,base,clinical_vs_neutral_classification,10,0.4,,,
gemma_base,gemma,base,clinical_vs_neutral_classification,11,0.44,,,
gemma_base,gemma,base,clinical_vs_neutral_classification,12,0.48,,,
gemma_base,gemma,base,clinical_vs_neutral_classification,13,0.52,,,
gemma_base,gemma,base,clinical_vs_neutral_classification,14,0.56,,,
gemma_base,gemma,base,clinical_vs_neutral_classification,15,0.6,,,
gemma_base,gemma,base,clinical_vs_neutral_classification,16,0.64,,,
gemma_base,gemma,base,clinical_vs_neutral_classification,17,0.68,,,
gemma_base,gemma,base,clinical_vs_neutral_classification,18,0.72,,,
gemma_base,gemma,base,clinical_vs_neutral_classification,19,0.76,,,
gemma_base,gemma,base,clinical_vs_neutral_classification,20,0.8,,,
gemma_base,gemma,base,clinical_vs_neutral_classification,21,0.84,,,
gemma_base,gemma,base,clinical_vs_neutral_classification,22,0.88,,,
gemma_base,gemma,base,clinical_vs_neutral_classification,23,0.92,,,
gemma_base,gemma,base,clinical_vs_neutral_classification,24,0.96,,,
gemma_base,gemma,base,clinical_vs_neutral_classification,25,1.0,,,
gemma_instruct,gemma,instruct,clinical_vs_neutral_classification,0,0.0,,,
gemma_instruct,gemma,instruct,clinical_vs_neutral_classification,1,0.04,,,
gemma_instruct,gemma,instruct,clinical_vs_neutral_classification,2,0.08,,,
gemma_instruct,gemma,instruct,clinical_vs_neutral_classification,3,0.12,,,
gemma_instruct,gemma,instruct,clinical_vs_neutral_classification,4,0.16,,,
gemma_instruct,gemma,instruct,clinical_vs_neutral_classification,5,0.2,,,
gemma_instruct,gemma,instruct,clinical_vs_neutral_classification,6,0.24,,,
gemma_instruct,gemma,instruct,clinical_vs_neutral_classification,7,0.28,,,
gemma_instruct,gemma,instruct,clinical_vs_neutral_classification,8,0.32,,,
gemma_instruct,gemma,instruct,clinical_vs_neutral_classification,9,0.36,,,
gemma_instruct,gemma,instruct,clinical_vs_neutral_classification,10,0.4,,,
gemma_instruct,gemma,instruct,clinical_vs_neutral_classification,11,0.44,,,
gemma_instruct,gemma,instruct,clinical_vs_neutral_classification,12,0.48,,,
gemma_instruct,gemma,instruct,clinical_vs_neutral_classification,13,0.52,,,
gemma_instruct,gemma,instruct,clinical_vs_neutral_classification,14,0.56,,,
gemma_instruct,gemma,instruct,clinical_vs_neutral_classification,15,0.6,,,
gemma_instruct,gemma,instruct,clinical_vs_neutral_classification,16,0.64,,,
gemma_instruct,gemma,instruct,clinical_vs_neutral_classification,17,0.68,,,
gemma_instruct,gemma,instruct,clinical_vs_neutral_classification,18,0.72,,,
gemma_instruct,gemma,instruct,clinical_vs_neutral_classification,19,0.76,,,
gemma_instruct,gemma,instruct,clinical_vs_neutral_classification,20,0.8,,,
gemma_instruct,gemma,instruct,clinical_vs_neutral_classification,21,0.84,,,
gemma_instruct,gemma,instruct,clinical_vs_neutral_classification,22,0.88,,,
gemma_instruct,gemma,instruct,clinical_vs_neutral_classification,23,0.92,,,
gemma_instruct,gemma,instruct,clinical_vs_neutral_classification,24,0.96,,,
gemma_instruct,gemma,instruct,clinical_vs_neutral_classification,25,1.0,,,
llama_base,llama,base,clinical_vs_neutral_classification,0,0.0,,,
llama_base,llama,base,clinical_vs_neutral_classification,1,0.0666666666666666,,,
llama_base,llama,base,clinical_vs_neutral_classification,2,0.1333333333333333,,,
llama_base,llama,base,clinical_vs_neutral_classification,3,0.2,,,
llama_base,llama,base,clinical_vs_neutral_classification,4,0.2666666666666666,,,
llama_base,llama,base,clinical_vs_neutral_classification,5,0.3333333333333333,,,
llama_base,llama,base,clinical_vs_neutral_classification,6,0.4,,,
llama_base,llama,base,clinical_vs_neutral_classification,7,0.4666666666666667,,,
llama_base,llama,base,clinical_vs_neutral_classification,8,0.5333333333333333,,,
llama_base,llama,base,clinical_vs_neutral_classification,9,0.6,,,
llama_base,llama,base,clinical_vs_neutral_classification,10,0.6666666666666666,,,
llama_base,llama,base,clinical_vs_neutral_classification,11,0.7333333333333333,,,
llama_base,llama,base,clinical_vs_neutral_classification,12,0.8,,,
llama_base,llama,base,clinical_vs_neutral_classification,13,0.8666666666666667,,,
llama_base,llama,base,clinical_vs_neutral_classification,14,0.9333333333333332,,,
llama_base,llama,base,clinical_vs_neutral_classification,15,1.0,,,
llama_instruct,llama,instruct,clinical_vs_neutral_classification,0,0.0,,,
llama_instruct,llama,instruct,clinical_vs_neutral_classification,1,0.0666666666666666,,,
llama_instruct,llama,instruct,clinical_vs_neutral_classification,2,0.1333333333333333,,,
llama_instruct,llama,instruct,clinical_vs_neutral_classification,3,0.2,,,
llama_instruct,llama,instruct,clinical_vs_neutral_classification,4,0.2666666666666666,,,
llama_instruct,llama,instruct,clinical_vs_neutral_classification,5,0.3333333333333333,,,
llama_instruct,llama,instruct,clinical_vs_neutral_classification,6,0.4,,,
llama_instruct,llama,instruct,clinical_vs_neutral_classification,7,0.4666666666666667,,,
llama_instruct,llama,instruct,clinical_vs_neutral_classification,8,0.5333333333333333,,,
llama_instruct,llama,instruct,clinical_vs_neutral_classification,9,0.6,,,
llama_instruct,llama,instruct,clinical_vs_neutral_classification,10,0.6666666666666666,,,
llama_instruct,llama,instruct,clinical_vs_neutral_classification,11,0.7333333333333333,,,
llama_instruct,llama,instruct,clinical_vs_neutral_classification,12,0.8,,,
llama_instruct,llama,instruct,clinical_vs_neutral_classification,13,0.8666666666666667,,,
llama_instruct,llama,instruct,clinical_vs_neutral_classification,14,0.9333333333333332,,,
llama_instruct,llama,instruct,clinical_vs_neutral_classification,15,1.0,,,
olmo_base,olmo,base,clinical_vs_neutral_classification,0,0.0,,,
olmo_base,olmo,base,clinical_vs_neutral_classification,1,0.0666666666666666,,,
olmo_base,olmo,base,clinical_vs_neutral_classification,2,0.1333333333333333,,,
olmo_base,olmo,base,clinical_vs_neutral_classification,3,0.2,,,
olmo_base,olmo,base,clinical_vs_neutral_classification,4,0.2666666666666666,,,
olmo_base,olmo,base,clinical_vs_neutral_classification,5,0.3333333333333333,,,
olmo_base,olmo,base,clinical_vs_neutral_classification,6,0.4,,,
olmo_base,olmo,base,clinical_vs_neutral_classification,7,0.4666666666666667,,,
olmo_base,olmo,base,clinical_vs_neutral_classification,8,0.5333333333333333,,,
olmo_base,olmo,base,clinical_vs_neutral_classification,9,0.6,,,
olmo_base,olmo,base,clinical_vs_neutral_classification,10,0.6666666666666666,,,
olmo_base,olmo,base,clinical_vs_neutral_classification,11,0.7333333333333333,,,
olmo_base,olmo,base,clinical_vs_neutral_classification,12,0.8,,,
olmo_base,olmo,base,clinical_vs_neutral_classification,13,0.8666666666666667,,,
olmo_base,olmo,base,clinical_vs_neutral_classification,14,0.9333333333333332,,,
olmo_base,olmo,base,clinical_vs_neutral_classification,15,1.0,,,
olmo_instruct,olmo,instruct,clinical_vs_neutral_classification,0,0.0,,,
olmo_instruct,olmo,instruct,clinical_vs_neutral_classification,1,0.0666666666666666,,,
olmo_instruct,olmo,instruct,clinical_vs_neutral_classification,2,0.1333333333333333,,,
olmo_instruct,olmo,instruct,clinical_vs_neutral_classification,3,0.2,,,
olmo_instruct,olmo,instruct,clinical_vs_neutral_classification,4,0.2666666666666666,,,
olmo_instruct,olmo,instruct,clinical_vs_neutral_classification,5,0.3333333333333333,,,
olmo_instruct,olmo,instruct,clinical_vs_neutral_classification,6,0.4,,,
olmo_instruct,olmo,instruct,clinical_vs_neutral_classification,7,0.4666666666666667,,,
olmo_instruct,olmo,instruct,clinical_vs_neutral_classification,8,0.5333333333333333,,,
olmo_instruct,olmo,instruct,clinical_vs_neutral_classification,9,0.6,,,
olmo_instruct,olmo,instruct,clinical_vs_neutral_classification,10,0.6666666666666666,,,
olmo_instruct,olmo,instruct,clinical_vs_neutral_classification,11,0.7333333333333333,,,
olmo_instruct,olmo,instruct,clinical_vs_neutral_classification,12,0.8,,,
olmo_instruct,olmo,instruct,clinical_vs_neutral_classification,13,0.8666666666666667,,,
olmo_instruct,olmo,instruct,clinical_vs_neutral_classification,14,0.9333333333333332,,,
olmo_instruct,olmo,instruct,clinical_vs_neutral_classification,15,1.0,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,0,0.0,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,1,0.037037037037037,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,2,0.074074074074074,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,3,0.1111111111111111,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,4,0.1481481481481481,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,5,0.1851851851851851,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,6,0.2222222222222222,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,7,0.2592592592592592,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,8,0.2962962962962963,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,9,0.3333333333333333,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,10,0.3703703703703703,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,11,0.4074074074074074,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,12,0.4444444444444444,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,13,0.4814814814814814,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,14,0.5185185185185185,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,15,0.5555555555555556,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,16,0.5925925925925926,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,17,0.6296296296296297,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,18,0.6666666666666666,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,19,0.7037037037037037,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,20,0.7407407407407407,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,21,0.7777777777777778,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,22,0.8148148148148148,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,23,0.8518518518518519,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,24,0.8888888888888888,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,25,0.925925925925926,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,26,0.9629629629629628,,,
qwen_base,qwen,base,clinical_vs_neutral_classification,27,1.0,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,0,0.0,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,1,0.037037037037037,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,2,0.074074074074074,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,3,0.1111111111111111,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,4,0.1481481481481481,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,5,0.1851851851851851,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,6,0.2222222222222222,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,7,0.2592592592592592,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,8,0.2962962962962963,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,9,0.3333333333333333,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,10,0.3703703703703703,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,11,0.4074074074074074,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,12,0.4444444444444444,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,13,0.4814814814814814,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,14,0.5185185185185185,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,15,0.5555555555555556,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,16,0.5925925925925926,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,17,0.6296296296296297,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,18,0.6666666666666666,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,19,0.7037037037037037,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,20,0.7407407407407407,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,21,0.7777777777777778,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,22,0.8148148148148148,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,23,0.8518518518518519,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,24,0.8888888888888888,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,25,0.925925925925926,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,26,0.9629629629629628,,,
qwen_instruct,qwen,instruct,clinical_vs_neutral_classification,27,1.0,,,
