model,family,alignment,task,axis,peak_layer,peak_relative_depth,peak_r2,pearson,peak_distance_to_self,peak_distance_to_reader
gemma_base,gemma,base,reader,valence,16,0.64,0.3308321809515978,0.5760681480869433,0.0,
gemma_base,gemma,base,self,valence,16,0.64,0.3300645823114481,0.5760383717136881,,0.0
gemma_base,gemma,base,reader,arousal,15,0.6,0.0434630143274694,0.2505787124832835,0.040000000000000036,
gemma_base,gemma,base,self,arousal,16,0.64,0.044295321193433,0.254015446479776,,0.040000000000000036
gemma_instruct,gemma,instruct,reader,valence,12,0.48,0.3010477745239135,0.5519548408017667,0.08000000000000007,
gemma_instruct,gemma,instruct,self,valence,14,0.56,0.3753453264236311,0.6133910662903521,,0.08000000000000007
gemma_instruct,gemma,instruct,reader,arousal,12,0.48,0.0937651131560075,0.3231442699335586,0.36,
gemma_instruct,gemma,instruct,self,arousal,21,0.84,0.0882090064576511,0.321299731585441,,0.36
llama_base,llama,base,reader,valence,14,0.9333333333333332,0.2394872200627035,0.4895176207310101,0.19999999999999996,
llama_base,llama,base,self,valence,11,0.7333333333333333,0.2430379170331387,0.4939034157781695,,0.19999999999999996
llama_base,llama,base,reader,arousal,4,0.2666666666666666,0.0678100967334464,0.2882835339010475,0.0,
llama_base,llama,base,self,arousal,4,0.2666666666666666,0.0652386362305674,0.2820332782539342,,0.0
llama_instruct,llama,instruct,reader,valence,6,0.4,0.3166373389253061,0.5641513182372,0.1333333333333333,
llama_instruct,llama,instruct,self,valence,8,0.5333333333333333,0.3547857533618066,0.5966560844245381,,0.1333333333333333
llama_instruct,llama,instruct,reader,arousal,8,0.5333333333333333,0.1127433410811203,0.352142202430054,0.0,
llama_instruct,llama,instruct,self,arousal,8,0.5333333333333333,0.1057962073881056,0.3461034549286589,,0.0
olmo_base,olmo,base,reader,valence,14,0.9333333333333332,0.4177996606861939,0.6474272470456207,0.0,
olmo_base,olmo,base,self,valence,14,0.9333333333333332,0.4583701599380826,0.677123931827721,,0.0
olmo_base,olmo,base,reader,arousal,7,0.4666666666666667,0.0889557296451997,0.3138055374473358,0.1333333333333333,
olmo_base,olmo,base,self,arousal,9,0.6,0.1059639428029035,0.3381810860635277,,0.1333333333333333
olmo_instruct,olmo,instruct,reader,valence,7,0.4666666666666667,0.3272127480522685,0.572917358713698,0.0,
olmo_instruct,olmo,instruct,self,valence,7,0.4666666666666667,0.3518722995509653,0.5944128921550507,,0.0
olmo_instruct,olmo,instruct,reader,arousal,11,0.7333333333333333,0.0845591691144095,0.306863282130122,0.2666666666666666,
olmo_instruct,olmo,instruct,self,arousal,7,0.4666666666666667,0.0856019682538111,0.3102859329701222,,0.2666666666666666
qwen_base,qwen,base,reader,valence,22,0.8148148148148148,0.3784475146678349,0.6165767354052323,0.0,
qwen_base,qwen,base,self,valence,22,0.8148148148148148,0.3910673351887783,0.6261019760888522,,0.0
qwen_base,qwen,base,reader,arousal,24,0.8888888888888888,0.1298690431539824,0.3690166404628566,0.07407407407407396,
qwen_base,qwen,base,self,arousal,26,0.9629629629629628,0.1232199909487711,0.355912092177485,,0.07407407407407396
qwen_instruct,qwen,instruct,reader,valence,15,0.5555555555555556,0.2146950653940441,0.4669816062203581,0.07407407407407418,
qwen_instruct,qwen,instruct,self,valence,13,0.4814814814814814,0.2854302819104545,0.5361997544007691,,0.07407407407407418
qwen_instruct,qwen,instruct,reader,arousal,17,0.6296296296296297,0.0734394003030085,0.3009133607022423,0.11111111111111105,
qwen_instruct,qwen,instruct,self,arousal,20,0.7407407407407407,0.074560971323116,0.2995611382550638,,0.11111111111111105
