model,family,alignment,axis,layer,relative_depth,within_reader_r2,within_self_r2,cross_r_to_s,cross_s_to_r,direct_mean,rsa,aligned_r2,alignment_gain
gemma_base,gemma,base,valence,0,0.0,-0.9713247135214492,-1.1459021396096285,-2.850978728157619,-1.6080887911561437,0.0,0.9870278970256656,0.163348776073231,0.0209879329044797
gemma_base,gemma,base,arousal,0,0.0,-1.3435366728973124,-1.4179639469849703,-2.3983049560844325,-2.958038467738964,0.0,0.9870278970256656,0.0309054982795986,9.47021236559209e-05
gemma_base,gemma,base,valence,1,0.04,-1.2908001599801722,-0.991972185940632,-2.626944809357267,-2.4002307014150803,0.0,0.9701080517516454,0.0703567594157198,0.0054226626848743
gemma_base,gemma,base,arousal,1,0.04,-1.425024342009038,-1.3522549834425504,-2.617495431408154,-2.167551909767096,0.0,0.9701080517516454,-0.0244582929407572,0.0230480055465251
gemma_base,gemma,base,valence,2,0.08,-1.3042151898833056,-1.2746465909206712,-2.2251164397137257,-2.1953929573543767,0.0,0.9813840194458396,0.0859754981846554,0.0158095522697244
gemma_base,gemma,base,arousal,2,0.08,-1.65998124761569,-1.719593920840504,-3.2875768326332637,-3.2249734283214933,0.0,0.9813840194458396,-0.0463793245676751,0.0223916790581699
gemma_base,gemma,base,valence,3,0.12,-1.5853878802103574,-1.4434827090512838,-3.838043220858181,-2.8281776514971684,0.0,0.9832600627547334,0.1045135510216243,0.0230474434187919
gemma_base,gemma,base,arousal,3,0.12,-1.994279859731941,-1.892224966679263,-5.714625728794846,-2.4894445060739576,0.0,0.9832600627547334,0.0121675207054838,0.0152926915897466
gemma_base,gemma,base,valence,4,0.16,-1.67000581209245,-1.7345167658061316,-5.2648205065843054,-3.083137142680392,0.0,0.9746566417767054,0.1291155655071394,0.0351028799146105
gemma_base,gemma,base,arousal,4,0.16,-2.0960787558509844,-2.0071504410687204,-3.776273888555784,-2.9406890007361817,0.0,0.9746566417767054,0.022008283752739,-0.0025581598079069
gemma_base,gemma,base,valence,5,0.2,-1.5992202113428269,-1.4496723354825831,-2.625186620558733,-2.1491088527521405,0.0,0.9566356939202916,0.0560946199294083,0.009676913452511
gemma_base,gemma,base,arousal,5,0.2,-2.0702879751033927,-2.009173196505958,-3.1381802164240007,-3.3313347303078933,0.0,0.9566356939202916,-0.0012531667029316,0.0032643641796885
gemma_base,gemma,base,valence,6,0.24,-1.9660773729432028,-1.7119491693682294,-3.1571900279713185,-2.8604174854923743,0.0,0.946849275554225,0.0856922370830755,0.0341250773212666
gemma_base,gemma,base,arousal,6,0.24,-2.7586955179770416,-2.175475341974649,-4.427791101052017,-3.964087468995128,0.0,0.946849275554225,0.0217208404534574,0.0147869578027404
gemma_base,gemma,base,valence,7,0.28,-1.868316791183501,-1.880190258027892,-3.8805638910763207,-4.88170019053528,0.0,0.9378941410845796,0.096451785173655,0.0278339316032368
gemma_base,gemma,base,arousal,7,0.28,-2.479205750243612,-2.696999066966828,-3.7586100076832736,-3.708746827481286,0.0,0.9378941410845796,0.0145825738496137,0.0238323432262914
gemma_base,gemma,base,valence,8,0.32,-1.5311549351617335,-1.6872827148019645,-2.1412916159524085,-3.289843775358859,0.0,0.9398537111699408,0.1133401534227656,0.0314390665111287
gemma_base,gemma,base,arousal,8,0.32,-2.733367604262784,-2.4585481142249086,-3.914700987912826,-5.404416752458024,0.0,0.9398537111699408,-0.0073455843377285,0.0114365087796497
gemma_base,gemma,base,valence,9,0.36,-1.441644156676848,-1.7446538994971532,-2.9469754566746857,-6.517833635030725,0.0,0.9345452211690076,0.1608597511231007,0.0804493128598209
gemma_base,gemma,base,arousal,9,0.36,-2.620189594104273,-2.301318004696718,-5.708246031989824,-5.572044175597933,0.0,0.9345452211690076,0.0041120912222113,0.017446423450469
gemma_base,gemma,base,valence,10,0.4,-1.147374100027626,-1.1089399955624328,-2.904334633959538,-3.07109393139432,0.0,0.9449376324400298,0.2633145438262624,0.0308136662230534
gemma_base,gemma,base,arousal,10,0.4,-2.045488788629102,-2.19964123643748,-4.712413284073867,-8.677767396866345,0.0,0.9449376324400298,0.0199459590886321,0.0295637673786843
gemma_base,gemma,base,valence,11,0.44,-1.140216031276717,-1.3325287451272487,-4.977292537185948,-2.970264765521877,0.0,0.9276020180932636,0.1829640592138206,0.0169604965745794
gemma_base,gemma,base,arousal,11,0.44,-2.297581486720748,-2.406652679670807,-9.795088997548309,-5.232088681028794,0.0,0.9276020180932636,0.0065560270297378,0.0650519788335178
gemma_base,gemma,base,valence,12,0.48,-1.1402553710925756,-1.1369483448799382,-2.5191920463641075,-3.6454139514676784,0.0,0.914556339178022,0.1491169814472741,-0.0082726695039763
gemma_base,gemma,base,arousal,12,0.48,-2.375715993981136,-2.2318152633671926,-6.953138748296874,-3.885696630540197,0.0,0.914556339178022,-0.022473705990863,0.0354548978586586
gemma_base,gemma,base,valence,13,0.52,-1.0589264982556132,-1.0753799515452434,-3.024859564152768,-3.8365112323040753,0.0,0.902424112185772,0.147788521187372,0.0121857500701662
gemma_base,gemma,base,arousal,13,0.52,-2.5515193576280395,-2.3255521496578178,-5.708025346019148,-4.104733988834318,0.0,0.902424112185772,-0.008049547771876,0.0282975242711585
gemma_base,gemma,base,valence,14,0.56,-1.0671364586615737,-1.2241752291422232,-2.1822670362067704,-4.279591966366118,0.0,0.8957941329039525,0.3022829781748866,0.0239213260229197
gemma_base,gemma,base,arousal,14,0.56,-2.712210635676666,-2.888146329025431,-4.7736594209837575,-4.975164994782572,0.0,0.8957941329039525,0.0320810674023246,0.0227678115495453
gemma_base,gemma,base,valence,15,0.6,-0.9658041034203764,-1.0028588438644568,-2.194205997654848,-2.44726331701417,0.0,0.9005548783245864,0.2909827782581453,0.02331421163392
gemma_base,gemma,base,arousal,15,0.6,-2.26997256566502,-2.3134376490839093,-7.382438293801972,-4.086393181775525,0.0,0.9005548783245864,0.013668557219159,0.0376648421532457
gemma_base,gemma,base,valence,16,0.64,-0.9039071018654216,-1.0210513081437114,-2.5804440074801698,-3.289476298778032,0.0,0.9087722825399852,0.3132868300618486,0.0109231500524762
gemma_base,gemma,base,arousal,16,0.64,-2.365482067212212,-2.2575660035736145,-4.042497681762485,-4.663882058120308,0.0,0.9087722825399852,0.0028204765612099,0.0188513071139796
gemma_base,gemma,base,valence,17,0.68,-2.409712207656483,-2.274876490671596,-3.140056329720525,-3.341115717547529,0.0,0.8255623250070186,0.1536347164275893,0.0072406843969476
gemma_base,gemma,base,arousal,17,0.68,-2.891068568349092,-4.017265138869044,-5.349132110292993,-4.80152058995362,0.0,0.8255623250070186,-0.0053415805288044,0.0055858973060989
