model,family,alignment,task,original_bal_acc,paraphrase_bal_acc,n_paraphrase_nonfallback,shuffle_bal_acc,shuffle_drop,reversal_delta_probability,n_reversal_nonfallback
qwen_instruct,qwen,instruct,reader,0.8854166666666666,1.0,8,0.7526041666666667,0.1328124999999999,0.0122711062431335,18
qwen_base,qwen,base,reader,0.890625,1.0,8,0.7682291666666666,0.12239583333333337,0.3128713369369507,18
olmo_instruct,olmo,instruct,reader,0.9140625,1.0,8,0.8125,0.1015625,0.0004082322120666,18
llama_base,llama,base,reader,0.8984375,0.75,8,0.7916666666666666,0.10677083333333337,0.0191904306411743,18
olmo_base,olmo,base,reader,0.90625,1.0,8,0.7786458333333333,0.12760416666666674,0.0863903164863586,18
gemma_base,gemma,base,reader,0.875,1.0,8,0.734375,0.140625,0.0212948322296142,18
gemma_instruct,gemma,instruct,reader,0.9140625,1.0,8,0.84375,0.0703125,0.0475416183471679,18
llama_instruct,llama,instruct,reader,0.9401041666666669,1.0,8,0.8333333333333334,0.10677083333333348,0.0368648767471313,18
olmo_base,olmo,base,self,0.9166666666666666,1.0,8,0.796875,0.11979166666666663,0.0462585687637329,18
llama_instruct,llama,instruct,self,0.9401041666666666,1.0,8,0.8307291666666667,0.10937499999999989,0.0443732142448425,18
olmo_instruct,olmo,instruct,self,0.8984375,1.0,8,0.8151041666666666,0.08333333333333337,0.0317896008491516,18
gemma_instruct,gemma,instruct,self,0.921875,1.0,8,0.84375,0.078125,0.0842820405960083,18
llama_base,llama,base,self,0.8880208333333334,1.0,8,0.796875,0.09114583333333337,0.0132868885993957,18
qwen_instruct,qwen,instruct,self,0.859375,1.0,8,0.7604166666666666,0.09895833333333337,0.0448452830314636,18
qwen_base,qwen,base,self,0.9036458333333331,1.0,8,0.8072916666666667,0.09635416666666641,0.122423231601715,18
gemma_base,gemma,base,self,0.8671875,1.0,8,0.7213541666666667,0.14583333333333326,0.0096494555473327,18
