model,family,alignment,task,peak_layer,peak_depth,peak_causal_magnitude,mean_causal_magnitude,reader_self_rank_spearman,mean_direction_cosine
gemma_base,gemma,base,reader,2,0.08,0.0028690605183324,0.0011648669886494432,0.8023931623931623,0.7124730384983036
gemma_base,gemma,base,self,2,0.08,0.0037012546384154,0.0016159579896819441,0.8023931623931623,0.7124730384983036
gemma_instruct,gemma,instruct,reader,11,0.44,0.0048919103742362,0.0014506237174763056,0.6464957264957265,0.26551698337271135
gemma_instruct,gemma,instruct,self,11,0.44,0.0082085827012994,0.0015625602401856582,0.6464957264957265,0.26551698337271135
llama_base,llama,base,reader,4,0.2666666666666666,0.0007530829292332,0.00025643964881549906,0.5823529411764706,0.0
llama_base,llama,base,self,6,0.4,0.0011883803459975,0.00042207849270619723,0.5823529411764706,0.0
llama_instruct,llama,instruct,reader,6,0.4,0.0021898619664708,0.0009737420694223902,0.8823529411764707,0.41399827111199183
llama_instruct,llama,instruct,self,6,0.4,0.0019171477309915,0.0008762199316208287,0.8823529411764707,0.41399827111199183
olmo_base,olmo,base,reader,4,0.2666666666666666,0.0061430679981394,0.0018471894924877283,0.7147058823529412,0.2097982133368223
olmo_base,olmo,base,self,4,0.2666666666666666,0.001664313786868,0.0006608890411479262,0.7147058823529412,0.2097982133368223
olmo_instruct,olmo,instruct,reader,10,0.6666666666666666,0.0008183772755692,0.00038759012131936194,0.7705882352941176,0.0
olmo_instruct,olmo,instruct,self,10,0.6666666666666666,0.0011724887108266,0.00042966805898256375,0.7705882352941176,0.0
qwen_base,qwen,base,reader,16,0.5925925925925926,0.0025589983138942,0.0008920267251374895,0.8051450465243569,0.39004157279786883
qwen_base,qwen,base,self,16,0.5925925925925926,0.0024601082799113,0.0007904467341738391,0.8051450465243569,0.39004157279786883
qwen_instruct,qwen,instruct,reader,1,0.037037037037037,0.000977138193226,0.00041867441926952585,0.7985769020251778,0.0
qwen_instruct,qwen,instruct,self,8,0.2962962962962963,0.0008569190698941,0.000310839501301654,0.7985769020251778,0.0
