model,family,alignment,axis,layer,alpha,matched_effect,random_mean,specificity,ci_low,ci_high,paired_t,p,permutation_p,q,transfer_ratio
gemma_base,gemma,base,valence,2,1.0,-0.0007769413418867,-0.000106867800998,-0.0006700735408887,-0.0049954111215137,0.0027012166605148,-0.0370883132490198,0.7171211221658252,0.7295270472952705,1.0,
gemma_base,gemma,base,arousal,2,1.0,9.872998643989384e-05,-8.543264116529503e-05,0.0001841626276051,-0.0020563282618775,0.002198468132444,0.0172815258806764,0.8659020757709207,0.8845115488451155,1.0,
gemma_instruct,gemma,instruct,valence,11,1.0,0.0014807482270298,-8.324910103319838e-06,0.0014890731371331,-0.0009632626258182,0.0038059580174673,0.1249178610250646,0.2240016731919758,0.2358764123587641,0.8960066927679035,
gemma_instruct,gemma,instruct,arousal,11,1.0,0.0004594225253077,0.0004760384535466,-1.6615928238898603e-05,-0.0009735527296547,0.0009006005202029,-0.0035215776320555,0.9725474297658016,0.9682031796820318,1.0,
llama_base,llama,base,valence,3,1.0,-0.0002287722225337,-1.4300256144024e-05,-0.0002144719663896,-0.000791752254606,0.0003672290063074,-0.075878469747943,0.4590415011345021,0.4631536846315368,1.0,
llama_base,llama,base,arousal,3,1.0,-0.0002761928556128,-0.000125748493267,-0.0001504443623458,-0.0003424008467891,4.9664542965632095e-05,-0.1548994624765044,0.1324112620998722,0.1340865913408659,0.3530966989329925,
llama_instruct,llama,instruct,valence,1,1.0,0.0010577446950379,0.0010305387524641,2.720594257374668e-05,-0.0009434696885682,0.0009087688247988,0.0059185959403061,0.9538782693623064,0.954004599540046,1.0,
llama_instruct,llama,instruct,arousal,1,1.0,-0.0002109883829397,-2.808253147978529e-05,-0.0001829058514599,-0.0005205035930436,0.0002219138138576,-0.102180880336328,0.3192907885141258,0.3310668933106689,0.6385815770282516,
olmo_base,olmo,base,valence,3,1.0,-0.0006211113214646,-0.0004012301041653,-0.0002198812172993,-0.0007652042960058,0.0003473061255483,-0.0768842239763081,0.4531274381068058,0.4502549745025497,1.0,
olmo_base,olmo,base,arousal,3,1.0,-0.00027030424856,-0.0002194022666208,-5.090198193922246e-05,-0.0003033470636147,0.0002141766348796,-0.0357630975709266,0.7268102561241306,0.7257274272572742,1.0,
olmo_instruct,olmo,instruct,valence,5,1.0,8.125772699990597e-05,5.974601389051507e-05,2.15117131093909e-05,-0.0005748950864242,0.0006129383141353,0.0069524564918256,0.9458333724844752,0.9447055294470552,1.0,
olmo_instruct,olmo,instruct,arousal,5,1.0,-0.0002532137208467,-2.2913326861173177e-05,-0.0002303003939856,-0.0005191360343204,3.825485226295626e-05,-0.1652262437442082,0.1087884174876069,0.1047895210478952,0.3539058956944602,
qwen_base,qwen,base,valence,11,1.0,0.0007523220695525,0.000311109541165,0.0004412125283874,-0.0005588285949211,0.0014248488366302,0.0865808675275364,0.3983945368617604,0.4070592940705929,1.0,
qwen_base,qwen,base,arousal,11,1.0,-0.0001086302409899,-3.812242289789047e-05,-7.050781809203043e-05,-0.0002643505988788,0.0001299895243517,-0.0703353648256718,0.4924130198815,0.498950104989501,0.984826039763,
qwen_instruct,qwen,instruct,valence,0,1.0,0.0006349939890774,0.0003547778371495,0.0002802161519279,-0.000331735705008,0.0008932316731267,0.0945562054031888,0.3565557679014256,0.3596640335966403,0.7621242507188972,
qwen_instruct,qwen,instruct,arousal,0,1.0,-0.0001822609910065,-0.0001556989079862,-2.656208302031227e-05,-0.0003290518014748,0.0002994959468774,-0.017151112059208,0.8669044121128903,0.8618138186181382,1.0,
