family,task,axis,base_peak_depth,instruct_peak_depth,delta_peak_depth,mean_rsa,mean_procrustes_distortion,procrustes_distortion_center,distortion_center,native_distortion
qwen,reader,valence,0.6296296296296297,0.5185185185185185,-0.11111111111111116,0.7329895137826227,0.5328941089766366,0.5858929411092828,0.5858929411092828,0.547459162095237
qwen,reader,arousal,0.07407407407407407,0.07407407407407407,0.0,0.7329895137826227,0.5328941089766366,0.5858929411092828,0.5858929411092828,0.547459162095237
qwen,self,valence,0.6296296296296297,0.5185185185185185,-0.11111111111111116,0.7732422387013065,0.5124030608151641,0.5793680642468634,0.5793680642468634,0.5546991407657664
qwen,self,arousal,0.07407407407407407,0.07407407407407407,0.0,0.7732422387013065,0.5124030608151641,0.5793680642468634,0.5793680642468634,0.5546991407657664
llama,reader,valence,0.6666666666666666,0.6666666666666666,0.0,0.5327212088028143,0.956300213932991,0.5321844659566353,0.5321844659566353,0.5304175917829432
llama,reader,arousal,0.13333333333333333,0.4,0.2666666666666667,0.5327212088028143,0.956300213932991,0.5321844659566353,0.5321844659566353,0.5304175917829432
llama,self,valence,0.6666666666666666,0.6666666666666666,0.0,0.4704537116185873,1.1040873154997826,0.5686973588631131,0.5686973588631131,0.5624852284279621
llama,self,arousal,0.13333333333333333,0.4,0.2666666666666667,0.4704537116185873,1.1040873154997826,0.5686973588631131,0.5686973588631131,0.5624852284279621
gemma,reader,valence,0.08,0.04,-0.04,0.2624125150239461,3.459196081528297,0.4073755766144486,0.4073755766144486,0.38706521448360764
gemma,reader,arousal,0.0,0.0,0.0,0.2624125150239461,3.459196081528297,0.4073755766144486,0.4073755766144486,0.38706521448360764
gemma,self,valence,0.08,0.04,-0.04,0.2607052416600647,9.055898340848776,0.4895943970737626,0.4895943970737626,0.4714771310787413
gemma,self,arousal,0.0,0.0,0.0,0.2607052416600647,9.055898340848776,0.4895943970737626,0.4895943970737626,0.4714771310787413
olmo,reader,valence,0.6,0.8,0.20000000000000007,0.4928045779463577,0.8726209998130798,0.475599803695103,0.475599803695103,0.5308502100439638
olmo,reader,arousal,0.6666666666666666,0.0,-0.6666666666666666,0.4928045779463577,0.8726209998130798,0.475599803695103,0.475599803695103,0.5308502100439638
olmo,self,valence,0.6,0.8,0.20000000000000007,0.5153269352274439,0.814004797488451,0.5107468452602414,0.5107468452602414,0.5200255223664833
olmo,self,arousal,0.6666666666666666,0.0,-0.6666666666666666,0.5153269352274439,0.814004797488451,0.5107468452602414,0.5107468452602414,0.5200255223664833
