family,alignment,condition,task,axis,positive_decodability_peak,positive_causal_peak,decodability_center,causal_center,delta_d_peak,delta_d_center,causal_decodability_gap,no_positive_decodability_peak,no_positive_net_causal_peak
olmo,base,base_plain_reader,reader,valence,,0.6,,0.5604214882705532,,,,True,False
olmo,base,base_plain_reader,reader,arousal,,0.2,,0.3905853891207662,,,,True,False
olmo,base,base_reader,reader,valence,,0.6,,0.5604214882705532,,,,True,False
olmo,base,base_reader,reader,arousal,,0.2,,0.3905853891207662,,,,True,False
olmo,base,base_plain_self,self,valence,,0.6,,0.6233265832206596,,,,True,False
olmo,base,base_plain_self,self,arousal,,0.06666666666666667,,0.45428767733272674,,,,True,False
olmo,base,base_self,self,valence,,0.6,,0.6233265832206596,,,,True,False
olmo,base,base_self,self,arousal,,0.06666666666666667,,0.45428767733272674,,,,True,False
olmo,instruct,inst_matched_plain_reader,reader,valence,,0.26666666666666666,,0.39053993672561976,,,,True,False
olmo,instruct,inst_matched_plain_reader,reader,arousal,,0.6,,0.4339717539862895,,,,True,False
olmo,instruct,inst_matched_reader,reader,valence,,0.26666666666666666,,0.39053993672561976,,,,True,False
olmo,instruct,inst_matched_reader,reader,arousal,,0.6,,0.4339717539862895,,,,True,False
olmo,instruct,inst_matched_plain_self,self,valence,,0.13333333333333333,,0.3271330283894325,,,,True,False
olmo,instruct,inst_matched_plain_self,self,arousal,,0.3333333333333333,,0.3677057032853062,,,,True,False
olmo,instruct,inst_matched_self,self,valence,,0.13333333333333333,,0.3271330283894325,,,,True,False
olmo,instruct,inst_matched_self,self,arousal,,0.3333333333333333,,0.3677057032853062,,,,True,False
olmo,instruct,inst_native_chat_reader,reader,valence,,0.06666666666666667,,0.3618701772873148,,,,True,False
olmo,instruct,inst_native_chat_reader,reader,arousal,,0.6666666666666666,,0.5688442886400494,,,,True,False
olmo,instruct,inst_native_reader,reader,valence,,0.06666666666666667,,0.3618701772873148,,,,True,False
olmo,instruct,inst_native_reader,reader,arousal,,0.6666666666666666,,0.5688442886400494,,,,True,False
olmo,instruct,deprecated_inst_reader_native_alias,reader,valence,,0.06666666666666667,,0.3618701772873148,,,,True,False
olmo,instruct,deprecated_inst_reader_native_alias,reader,arousal,,0.6666666666666666,,0.5688442886400494,,,,True,False
olmo,instruct,inst_native_chat_self,self,valence,,0.26666666666666666,,0.3834292148859441,,,,True,False
