family,alignment,condition,task,axis,mean_c_raw,mean_c_rand,mean_c_perp,mean_c_net_rand,mean_c_net_perp,mean_c_zero
olmo,base,base_plain_reader,reader,valence,,,,,,
olmo,base,base_plain_reader,reader,arousal,,,,,,
olmo,base,base_plain_self,self,valence,,,,,,
olmo,base,base_plain_self,self,arousal,,,,,,
olmo,instruct,inst_matched_plain_reader,reader,valence,,,,,,
olmo,instruct,inst_matched_plain_reader,reader,arousal,,,,,,
olmo,instruct,inst_matched_plain_self,self,valence,,,,,,
olmo,instruct,inst_matched_plain_self,self,arousal,,,,,,
llama,base,base_plain_reader,reader,valence,,,,,,
llama,base,base_plain_reader,reader,arousal,,,,,,
llama,base,base_plain_self,self,valence,,,,,,
llama,base,base_plain_self,self,arousal,,,,,,
llama,instruct,inst_matched_plain_reader,reader,valence,,,,,,
llama,instruct,inst_matched_plain_reader,reader,arousal,,,,,,
llama,instruct,inst_matched_plain_self,self,valence,,,,,,
llama,instruct,inst_matched_plain_self,self,arousal,,,,,,
gemma,base,base_plain_reader,reader,valence,,,,,,
gemma,base,base_plain_reader,reader,arousal,,,,,,
gemma,base,base_plain_self,self,valence,,,,,,
gemma,base,base_plain_self,self,arousal,,,,,,
gemma,instruct,inst_matched_plain_reader,reader,valence,,,,,,
gemma,instruct,inst_matched_plain_reader,reader,arousal,,,,,,
gemma,instruct,inst_matched_plain_self,self,valence,,,,,,
gemma,instruct,inst_matched_plain_self,self,arousal,,,,,,
qwen,base,base_plain_reader,reader,valence,,,,,,
qwen,base,base_plain_reader,reader,arousal,,,,,,
qwen,base,base_plain_self,self,valence,,,,,,
qwen,base,base_plain_self,self,arousal,,,,,,
qwen,instruct,inst_matched_plain_reader,reader,valence,,,,,,
qwen,instruct,inst_matched_plain_reader,reader,arousal,,,,,,
qwen,instruct,inst_matched_plain_self,self,valence,,,,,,
qwen,instruct,inst_matched_plain_self,self,arousal,,,,,,
