hypothesis,metric,estimate,ci_low,ci_high,interpretation
H1a_geometry_reorganization,reader_distortion,0.35250000000000004,0.32999999999999996,0.37,post-training-associated geometric distortion and representational similarity under matched-plain conditions
H1a_geometry_reorganization,self_distortion,0.425,0.40249999999999997,0.445,post-training-associated geometric distortion and representational similarity under matched-plain conditions
H1a_geometry_reorganization,rsa_reader,0.6475000000000001,0.63,0.67,post-training-associated geometric distortion and representational similarity under matched-plain conditions
H1a_geometry_reorganization,rsa_self,0.575,0.555,0.5975,post-training-associated geometric distortion and representational similarity under matched-plain conditions
H1b_decodability_peak_reorganization,valence.reader.shift,0.11249999999999999,0.09000000000000001,0.1375,post-training-associated reorganization of decodability peak (Primary: matched-plain)
H1b_decodability_peak_reorganization,valence.self.shift,0.0775,0.06,0.1,post-training-associated reorganization of decodability peak (Primary: matched-plain)
H1b_decodability_peak_reorganization,arousal.reader.shift,0.09000000000000001,0.07,0.11,post-training-associated reorganization of decodability peak (Primary: matched-plain)
H1b_decodability_peak_reorganization,arousal.self.shift,0.06,0.045,0.08,post-training-associated reorganization of decodability peak (Primary: matched-plain)
H1_decodability_peak_reorganization,valence.reader.shift,0.11249999999999999,0.09000000000000001,0.1375,post-training-associated reorganization of decodability peak (Primary: matched-plain)
H1_decodability_peak_reorganization,valence.self.shift,0.0775,0.06,0.1,post-training-associated reorganization of decodability peak (Primary: matched-plain)
H1_decodability_peak_reorganization,arousal.reader.shift,0.09000000000000001,0.07,0.11,post-training-associated reorganization of decodability peak (Primary: matched-plain)
H1_decodability_peak_reorganization,arousal.self.shift,0.06,0.045,0.08,post-training-associated reorganization of decodability peak (Primary: matched-plain)
H2_representation_sharing_reorganization,valence,-0.0825,-0.105,-0.06,post-training-associated reorganization of Reader-Self representation sharing
H2_representation_sharing_reorganization,arousal,-0.055,-0.065,-0.045,post-training-associated reorganization of Reader-Self representation sharing
