family,hypothesis,axis,metric,estimate,ci_low,ci_high,threshold,pass
Llama 3.2,H1_dissociation,valence,peak_dissociation,-0.8666666666666667,-1.0,-0.26666666666666666,CI_high < 0,True
Llama 3.2,H1_dissociation,valence,center_dissociation,-0.31525773054570105,-0.5232648666984524,-0.1111943914461725,CI_high < 0,True
Llama 3.2,H1_dissociation,arousal,peak_dissociation,0.06666666666666665,-0.4666666666666667,0.4,CI_high < 0,False
Llama 3.2,H1_dissociation,arousal,center_dissociation,-0.12091783370402304,-0.5280634184224622,-0.09076096983728824,CI_low > 0,False
Llama 3.2,H2_sufficiency,valence,sufficiency_slope,0.0031931166692040595,0.0021915114008888704,0.004209952816883822,CI_low > 0.10,False
Llama 3.2,H2_sufficiency,arousal,sufficiency_slope,0.0018470529088402826,0.001496365470594214,0.0021833759894503237,CI_low > 0.10,False
Llama 3.2,H3_mediation,valence,mediated_M,6.869839139355197e-05,-0.002803172946077278,0.0026617568478249235,CI_low(M) > 0,False
Llama 3.2,H3_mediation,valence,net_vs_random,0.0003150829546053302,-0.0019348387743943706,0.0024392910652780804,CI_low(M_net) > 0,False
Llama 3.2,H3_mediation,arousal,mediated_M,0.0013032411499726837,0.00022498682925716773,0.0024585050771203493,CI_low(M) > 0,True
Llama 3.2,H3_mediation,arousal,net_vs_random,0.0009630944784861483,-0.00018521595958569253,0.002173536333035178,CI_low(M_net) > 0,False
Llama 3.2,H4_temporal_contrast,valence,temporal_contrast,0.04448920554153854,0.0414870721480522,0.04730253912237915,CI_low > 0,True
Llama 3.2,H4_temporal_contrast,arousal,temporal_contrast,0.06558277402512373,0.06266577851769418,0.06842989687093083,CI_low > 0,True
Gemma 3,H1_dissociation,valence,peak_dissociation,0.0,-0.64,0.36,CI_high < 0,False
Gemma 3,H1_dissociation,valence,center_dissociation,-0.12531267673701563,-0.2342109250634818,0.37757792443648797,CI_high < 0,False
Gemma 3,H1_dissociation,arousal,peak_dissociation,-0.28,-1.0,0.0,CI_high < 0,False
Gemma 3,H1_dissociation,arousal,center_dissociation,-0.07727244990862908,-0.33930806268967445,0.20864391944052485,CI_low > 0,False
Gemma 3,H2_sufficiency,valence,sufficiency_slope,-0.0011106752929731273,-0.0035818004819039885,0.0019841677507626866,CI_low > 0.10,False
Gemma 3,H2_sufficiency,arousal,sufficiency_slope,-0.0009008141236450341,-0.0019757836831109754,6.857233009573287e-05,CI_low > 0.10,False
Gemma 3,H3_mediation,valence,mediated_M,0.0030678915087793412,-0.008755366134012822,0.014064191997032582,CI_low(M) > 0,False
Gemma 3,H3_mediation,valence,net_vs_random,0.00858239384707108,-0.0007029229475087387,0.017878251667617667,CI_low(M_net) > 0,False
Gemma 3,H3_mediation,arousal,mediated_M,-2.2942167453909867e-05,-0.00409194302278435,0.004232378316841724,CI_low(M) > 0,False
Gemma 3,H3_mediation,arousal,net_vs_random,0.00026426661869525245,-0.0033267071790429197,0.0036469400812988023,CI_low(M_net) > 0,False
Gemma 3,H4_temporal_contrast,valence,temporal_contrast,0.0058608012287732335,0.0019796296572989537,0.009500891744810126,CI_low > 0,True
Gemma 3,H4_temporal_contrast,arousal,temporal_contrast,0.008181903524174495,0.006420095409160339,0.009820481395252276,CI_low > 0,True
OLMo 2,H1_dissociation,valence,peak_dissociation,-0.6666666666666666,-1.0,-0.06666666666666665,CI_high < 0,True
OLMo 2,H1_dissociation,valence,center_dissociation,-0.2445074014380335,-0.43962665665621664,-0.04086446642672527,CI_high < 0,True
OLMo 2,H1_dissociation,arousal,peak_dissociation,-0.9333333333333333,-0.9333333333333333,0.26666666666666666,CI_high < 0,False
OLMo 2,H1_dissociation,arousal,center_dissociation,-0.6235149288375685,-0.6263194288573461,-0.09633718506758059,CI_low > 0,False
OLMo 2,H2_sufficiency,valence,sufficiency_slope,4.272734798995252e-05,-0.0008415314648456801,0.000950018890109786,CI_low > 0.10,False
OLMo 2,H2_sufficiency,arousal,sufficiency_slope,-0.00014261122073352795,-0.00032808153498762455,6.09680264319898e-05,CI_low > 0.10,False
OLMo 2,H3_mediation,valence,mediated_M,0.00012802543765420837,-0.0023713870181940864,0.0028300871381977542,CI_low(M) > 0,False
OLMo 2,H3_mediation,valence,net_vs_random,-0.00026642302268495397,-0.00213219957470941,0.0015017933484031487,CI_low(M_net) > 0,False
OLMo 2,H3_mediation,arousal,mediated_M,-1.3651485815981135e-05,-0.0007287412506354476,0.0006062115556244298,CI_low(M) > 0,False
OLMo 2,H3_mediation,arousal,net_vs_random,-1.8619396035433054e-05,-0.00048782401609930747,0.0004109573950698157,CI_low(M_net) > 0,False
OLMo 2,H4_temporal_contrast,valence,temporal_contrast,0.01792830517018501,0.016124994364674267,0.01989310787030666,CI_low > 0,True
OLMo 2,H4_temporal_contrast,arousal,temporal_contrast,0.06779094475338994,0.0654211480837232,0.0704368074098467,CI_low > 0,True
