layer,dataset,target_V_human_r2_reader,target_V_human_r2_self,target_V_human_pr_reader,target_V_human_pr_self,target_A_human_r2_reader,target_A_human_r2_self,target_A_human_pr_reader,target_A_human_pr_self,target_V_beh_r2_reader,target_V_beh_r2_self
0,EmoBank,-0.05219040391241414,-0.07100322976278628,0.003390395595746668,-0.05057405070373011,-0.04728984851908313,-0.04200585742996377,0.08787865677103046,0.07200277088798944,-0.0369134541273648,0.0024807655089544856
1,EmoBank,-0.06187304415554573,-0.04361920268015096,-0.050990310456714615,-0.01874389669453706,-0.026142545824510144,-0.033300151707077896,0.09340679286361894,0.04072016566448311,-0.01463157164010953,0.025491196476592815
2,EmoBank,-0.053286144525357626,-0.03093915668765823,-0.03181063203631204,0.014146639515791839,-0.028724182003174725,-0.030195883360838005,0.07499076519875515,0.052970308451910766,-0.008244331816566808,0.03767122203064144
3,EmoBank,-0.03868182804483222,-0.030986262268739795,0.004473531341007611,0.020483977759395075,-0.036266357544712635,-0.038593178593660404,0.06233326422592141,0.02255656444439685,-0.00014673831926748093,0.03649252484492371
4,EmoBank,-0.043900024347581335,-0.03301192768396466,0.010222871453363027,0.023464071208649136,-0.045036619543930456,-0.033229482046040815,0.051397890024734195,0.052354633087818486,0.015564575768142408,0.03832879557017155
5,EmoBank,-0.03888806858398408,-0.020261995811922562,0.02389387567092992,0.060400172318511594,-0.039101943924888305,-0.02179168655871444,0.06029561409588989,0.07739730615164639,0.02308081608363577,0.044740760180868255
6,EmoBank,-0.043258637499364205,-0.017389300364713867,0.027093122032749384,0.0806781089720689,-0.02258626310646794,-0.015387252723290334,0.09467780609769985,0.09753080061400644,0.03230833739378225,0.044846839887405676
7,EmoBank,-0.0536074987636419,-0.024397994962684688,0.0005945174738773062,0.0649579808078602,-0.041096367501766595,-0.02591882450294225,0.061327830197914594,0.08067485938249565,0.029395866454061226,0.055734274297261965
8,EmoBank,-0.023985681569631323,-0.016084306571662266,0.07678732783608658,0.09118385531616739,-0.026644462532184,-0.02815767451540041,0.08152314694769204,0.07438836567915104,0.03882545907816293,0.061193315623748634
9,EmoBank,-0.032425228232005,-0.020412680655845117,0.06143107767343519,0.08350304277743888,-0.014100524109792012,-0.021249176235439204,0.1105467494476503,0.07922749259324097,0.0306059858246982,0.04339113778053505
10,EmoBank,-0.020679701942057704,2.361479338519601e-05,0.09043892308163969,0.13434735633374614,-0.016167315576458785,-0.01915209331295742,0.1078310038547196,0.09161781521309373,0.04004913581771685,0.040469937920366905
