layer,dataset,target_V_human_r2_reader,target_V_human_r2_self,target_V_human_pr_reader,target_V_human_pr_self,target_A_human_r2_reader,target_A_human_r2_self,target_A_human_pr_reader,target_A_human_pr_self,target_V_beh_r2_reader,target_V_beh_r2_self
0,EmoBank,-0.04735685131900569,-0.04977617793817757,0.02293485085829653,0.015607658903031755,-0.051183990809946955,-0.04477682014496076,0.03308605924536913,0.05467537555054773,-0.01054768742813006,-0.013392550979359763
1,EmoBank,-0.04317545757451491,-0.04790842295717401,0.02554773219245446,0.010737865393569133,-0.045431146629207886,-0.03982889959422331,0.03932170388277868,0.057178031115978335,-0.012398719872963815,-0.012904909780398155
2,EmoBank,-0.03866760145424242,-0.04786548493945508,0.04037740448757117,0.014443241651038984,-0.05059276502737431,-0.044014087608364116,0.036714115097901324,0.04747364611132005,-0.017122633518342756,-0.014014062195031762
3,EmoBank,-0.0377243310505293,-0.046232400507921545,0.03667242817750671,0.012097173603358893,-0.04905321421573383,-0.0449225152954722,0.03684848363168596,0.047706281945054274,-0.02189335630581435,-0.02310764602738402
4,EmoBank,-0.040465490572514584,-0.052999806547505024,0.04459541267256187,0.01233452140732336,-0.04247757271260322,-0.05088063205089566,0.062268626081689316,0.047353455281063876,-0.028402853989826005,-0.03371796286790674
5,EmoBank,-0.040225998665126994,-0.049357255138753775,0.030699871368020517,0.01504962879855206,-0.049551292610640285,-0.05456033431981666,0.05702599092758152,0.042822276563518315,-0.027370041786695776,-0.03365536451037787
6,EmoBank,-0.049128785354785265,-0.05244019999642169,0.013961149825376502,0.008785008553229607,-0.047416888329098184,-0.04742850276396382,0.06464212501136221,0.058725750644765366,-0.027340859880232715,-0.03816888555323095
7,EmoBank,-0.03780232245102666,-0.04856008598095407,0.03652661215437268,0.008634743506014422,-0.04801154936616259,-0.05130558082621417,0.06042288540445917,0.04685390977417681,-0.035521845575651634,-0.03462761270204062
8,EmoBank,-0.0347298726471319,-0.04631488157211017,0.047347813324637375,0.02164693372739098,-0.05126015887393698,-0.049548081531097354,0.05262287238165839,0.05558189526566829,-0.020700178555641324,-0.022801123671140067
9,EmoBank,-0.04043273958575555,-0.04610338815213044,0.040457487069056615,0.03386044602799749,-0.05287285966681732,-0.04814971242471011,0.04043361393571343,0.05272909824463649,-0.01769289053740697,-0.019377058707519268
