layer,dataset,condition_auc_reader,condition_auc_self,condition_bal_acc_reader,condition_bal_acc_self,intensity_spearman_reader,intensity_spearman_self
0,AIPsy-Affect,0.5,0.5,0.5,0.5,-0.004910463758239913,-0.004910463758239913
1,AIPsy-Affect,0.9049131944444445,0.9074479166666667,0.8229166666666666,0.8166666666666667,0.6855859785591487,0.6873828574586298
2,AIPsy-Affect,0.9205555555555556,0.923732638888889,0.8479166666666667,0.8416666666666667,0.7136994654953123,0.7212776069409494
3,AIPsy-Affect,0.9092013888888889,0.9140451388888889,0.8291666666666666,0.8354166666666667,0.7094141552696579,0.7127561764112046
4,AIPsy-Affect,0.9262847222222222,0.9234895833333333,0.8354166666666667,0.8229166666666667,0.7257770380016467,0.7313615408615475
5,AIPsy-Affect,0.9376736111111111,0.9351215277777777,0.85625,0.85625,0.748551971685729,0.7573453935464741
6,AIPsy-Affect,0.9421006944444446,0.9430381944444445,0.8625,0.8625,0.7521949194062548,0.7597383385543176
7,AIPsy-Affect,0.9438541666666667,0.9499652777777778,0.8687499999999999,0.8729166666666667,0.7647412429298452,0.7780283088016918
8,AIPsy-Affect,0.9546875,0.960625,0.8770833333333333,0.8979166666666667,0.7934218607263924,0.8019548653553287
9,AIPsy-Affect,0.9593576388888889,0.9650173611111111,0.8916666666666666,0.8999999999999999,0.7792956726631616,0.7986736082345374
10,AIPsy-Affect,0.9659375,0.9672743055555555,0.8958333333333333,0.9145833333333333,0.7986302053625692,0.7910462768673362
11,AIPsy-Affect,0.958767361111111,0.9567968749999999,0.8916666666666666,0.8854166666666667,0.785774274685606,0.7778055073922554
12,AIPsy-Affect,0.9601041666666668,0.9600173611111112,0.8916666666666666,0.8979166666666667,0.7936591297598181,0.77728177940384
13,AIPsy-Affect,0.9453125,0.9493055555555556,0.8791666666666667,0.8812500000000001,0.7738789942415376,0.7807742638348762
14,AIPsy-Affect,0.939357638888889,0.9477430555555556,0.8583333333333334,0.8770833333333333,0.7611243369325003,0.7628951741088003
15,AIPsy-Affect,0.9153125000000001,0.9251215277777778,0.8333333333333333,0.8333333333333333,0.7223974010377275,0.7210519120067151
16,AIPsy-Affect,0.8978124999999999,0.9133159722222223,0.8020833333333333,0.8208333333333333,0.6858521828405534,0.7085808201278696
