layer,dataset,target_V_human_r2_reader,target_V_human_r2_self,target_V_human_pr_reader,target_V_human_pr_self,target_A_human_r2_reader,target_A_human_r2_self,target_A_human_pr_reader,target_A_human_pr_self,target_V_beh_r2_reader,target_V_beh_r2_self
0,EmoBank,-0.001381961558982514,-0.001381961558982514,-0.04956622763272018,-0.04956622763272018,-0.003655148616100723,-0.003655148616100723,-0.08061047697982948,-0.08061047697982948,-0.0006115843961582712,-0.0006673585543024441
1,EmoBank,0.12237044246436302,0.12446482484087673,0.36714073376338796,0.36874666243923354,0.05972289686510446,0.05932993796044839,0.2766523818156888,0.2745986798995636,0.33332657341536964,0.3220563842553903
2,EmoBank,0.11676067251306388,0.11781841402122861,0.3590646364747105,0.3595551443477654,0.0753791738848657,0.0816815449356707,0.2962740541230424,0.30276447805323237,0.367789254114522,0.3529131955350594
3,EmoBank,0.1157676372418992,0.10778257027323934,0.3535593752413607,0.34693253727667006,0.05617951826871026,0.04722689383082024,0.27141852916079,0.25857506715225914,0.37097909053896294,0.3843339645573278
4,EmoBank,0.1062782915801862,0.11214480612688738,0.343524234536026,0.35223536830451024,0.06678967323356799,0.05965045404921332,0.2834685733827765,0.27487427096978,0.4030028779381245,0.39102700834875337
5,EmoBank,0.13370826261965185,0.16042937687101344,0.3817389471016862,0.4106684366579785,0.06297097190212808,0.05203391871759988,0.2842299072843869,0.2703125265076937,0.4150144242752748,0.4065682399933843
6,EmoBank,0.1251716737109112,0.14844255330558997,0.3651320411481292,0.3953186911821697,0.056908107482745884,0.04820599607469145,0.2745099924907091,0.26175936526094545,0.42419656880901624,0.42545144480900055
7,EmoBank,0.11809338937344493,0.1388074132581283,0.35753549153562847,0.38496339040279826,0.03344655702325139,0.037923237589320924,0.24233370982380567,0.24712578657476333,0.41183945645429754,0.3920992549991674
8,EmoBank,0.17312377038392046,0.13975975029470067,0.42267624014012317,0.38911238405293536,0.05822027424894971,0.05257734544725334,0.279115446002566,0.2647558011592714,0.4456890387293345,0.4409245421633524
9,EmoBank,0.14539975328229215,0.18570581082839777,0.39430087018162635,0.43771535272299306,0.061943758318432796,0.040661614939971336,0.2806776512813781,0.24664073384090163,0.4374146531872558,0.45891089881131764
10,EmoBank,0.22808167412583247,0.22369184811317433,0.4836413432024206,0.47740237280411507,0.06111670805434,0.043068100060821846,0.28117693735362337,0.24794563000304884,0.47057137829848283,0.46295995352655406
11,EmoBank,0.22162619291953423,0.25661618511399853,0.4763184789145756,0.5096504399829642,0.0559754719393194,0.021128048443086356,0.2692100969127129,0.2138732763033332,0.46119570845980484,0.46463232649075925
12,EmoBank,0.2941542014845513,0.25609763549658704,0.5440856312943646,0.5100519813534783,0.05487858362522069,0.030446823516015797,0.26964990973618597,0.22970843929378257,0.47560361951161345,0.4613146254587104
13,EmoBank,0.3183283689473183,0.2751918802352801,0.5646750879723258,0.5260489205539045,0.03502439562844917,0.022978922764566923,0.23507182734579224,0.21197228282654432,0.45815478190921477,0.45063531756996933
14,EmoBank,0.3271506999726159,0.2748289121534878,0.5720932474488047,0.5249501576472615,0.044319652782153995,0.0599676402067163,0.241606717778402,0.26506589305141043,0.43697195916745135,0.4408184354145096
15,EmoBank,0.2609952142585762,0.244486502220975,0.5112184604928135,0.49489523518528683,0.04739237841452426,0.06686911510873006,0.23825379195589502,0.2702911304904704,0.3983574629446487,0.4053812778466377
16,EmoBank,0.22929681437345772,0.2199531670871825,0.4790596876954231,0.46979363846258426,0.042094426048221,0.04461571463194047,0.22743399526357932,0.23376338647825765,0.35380909246566283,0.37880919231533217
