layer,dataset,condition_auc_reader,condition_auc_self,condition_bal_acc_reader,condition_bal_acc_self,intensity_spearman_reader,intensity_spearman_self
0,AIPsy-Affect,0.5,0.5,0.5,0.5,-0.004910463758239913,-0.004910463758239913
1,AIPsy-Affect,0.9257725694444444,0.9194965277777778,0.8395833333333333,0.81875,0.7138846510823763,0.7186705410980633
2,AIPsy-Affect,0.9360416666666667,0.9340451388888888,0.8416666666666667,0.8541666666666667,0.7416595956171881,0.745120251275448
3,AIPsy-Affect,0.9427083333333334,0.9446354166666665,0.8541666666666667,0.8625,0.7655658974972399,0.7767233291178499
4,AIPsy-Affect,0.9510590277777777,0.9569791666666667,0.8625,0.8708333333333333,0.7703894033352991,0.7785896526124798
5,AIPsy-Affect,0.9615625,0.9648263888888889,0.8854166666666667,0.9083333333333333,0.797420711997057,0.8073223538553889
6,AIPsy-Affect,0.9667013888888889,0.9653993055555555,0.9020833333333333,0.8958333333333333,0.8030370436297345,0.811283589303681
7,AIPsy-Affect,0.9738888888888888,0.9786284722222223,0.9041666666666666,0.9083333333333333,0.8319057405381435,0.8326869922335699
8,AIPsy-Affect,0.9757118055555556,0.9724131944444445,0.9125000000000001,0.9083333333333333,0.8262402189839022,0.8300943940146731
9,AIPsy-Affect,0.97578125,0.9793055555555555,0.9208333333333334,0.9208333333333334,0.8405892084565693,0.8430747462579449
10,AIPsy-Affect,0.9818229166666668,0.9769097222222222,0.9229166666666666,0.9145833333333333,0.8391829554048016,0.8347587559888492
11,AIPsy-Affect,0.9804861111111112,0.9738888888888889,0.9208333333333334,0.9083333333333333,0.8392350388511635,0.831306780904983
12,AIPsy-Affect,0.9816493055555555,0.9730381944444444,0.9208333333333334,0.9020833333333333,0.838077628932013,0.8277535324531913
13,AIPsy-Affect,0.9813888888888889,0.9749305555555554,0.9229166666666666,0.9104166666666667,0.8335405820489434,0.828390107908724
14,AIPsy-Affect,0.9809722222222221,0.9758854166666666,0.9166666666666667,0.9083333333333333,0.8325972929648358,0.8298310832580664
15,AIPsy-Affect,0.9787326388888888,0.9747916666666666,0.9166666666666667,0.9104166666666667,0.8293247164184381,0.8239861631663568
16,AIPsy-Affect,0.9782118055555555,0.9753819444444445,0.90625,0.9104166666666667,0.8241076912078675,0.8218565289151201
