layer,dataset,target_V_human_r2_reader,target_V_human_r2_self,target_V_human_pr_reader,target_V_human_pr_self,target_A_human_r2_reader,target_A_human_r2_self,target_A_human_pr_reader,target_A_human_pr_self,target_V_beh_r2_reader,target_V_beh_r2_self
0,EmoBank,-0.001381961558982514,-0.001381961558982514,-0.04956622763272018,-0.04956622763272018,-0.003655148616100723,-0.003655148616100723,-0.08061047697982948,-0.08061047697982948,-0.0008015425141978394,-0.0012677163108947287
1,EmoBank,0.09522323746248351,0.08650521248998588,0.32342752471521424,0.3106533927492261,0.009935905913793341,0.01179846600566914,0.19886576124102073,0.20032238796202267,0.09101058337092571,0.058274516490909534
2,EmoBank,0.12013059011378002,0.11990277233372015,0.36685292389689017,0.36803593298961595,0.05234693007748492,0.05519035244921877,0.26356902701329393,0.2666456626101396,0.15674232087934203,0.11893881506374848
3,EmoBank,0.1184417281187371,0.11320029424102884,0.36133326539609617,0.35597493073072567,0.04846708840981595,0.044629033386839545,0.25583562077596605,0.25469253960470933,0.1426841180729408,0.09736714793990531
4,EmoBank,0.19673638080987943,0.209586777979896,0.44878123411147075,0.46249878215466556,0.05708022063547713,0.05342736917597446,0.26755024380671855,0.26356140478485457,0.17604788236556157,0.15837058985955976
5,EmoBank,0.2407592632611799,0.28840650927561307,0.49733004549466275,0.5402261207836019,0.07926765501511379,0.06685355110392599,0.3030206561309966,0.28944195372000664,0.2531092408417147,0.235666266574883
6,EmoBank,0.271927132533232,0.3095716462792707,0.5260659914239045,0.5595335228702264,0.07542979724030019,0.07650919846954718,0.30075219104502304,0.3043437588207928,0.29059292532345116,0.2994142342759887
7,EmoBank,0.32180804863520707,0.33864693576946814,0.5702983047026474,0.5850786438296122,0.1090551703264585,0.0797546036344754,0.34488088591385624,0.30926461712313136,0.35261578415074535,0.33188816006100386
8,EmoBank,0.30591204931422866,0.32442888742067144,0.5562483228870998,0.5722528651090457,0.10278916776344504,0.09922585666730366,0.33808914188892214,0.3332883976020825,0.34924500374251455,0.3105028041004211
9,EmoBank,0.31892135206908334,0.3381074122230636,0.5681742155153383,0.5838020666226263,0.1188281716181595,0.1035514665471241,0.3604526780078024,0.34088106196911794,0.4063973647664336,0.37187329067313224
10,EmoBank,0.3263620802084699,0.3899482210137768,0.5751880537274451,0.6256950793048418,0.10976917301473466,0.10876988101459706,0.3537957040154852,0.35292524818774973,0.3846346810424536,0.40167544418610024
11,EmoBank,0.3125992077405213,0.35888971065480724,0.5621976396146349,0.6003777294190352,0.11215364105807057,0.12084401389616894,0.35703024844975323,0.36380552285900664,0.3814031100792842,0.3715446633690821
12,EmoBank,0.2769575958125504,0.30277159926708697,0.5311714062928372,0.5527287600453624,0.10943752742337132,0.11828158568395786,0.35285917499704916,0.36114441810705394,0.34997133175576567,0.2875760711469386
13,EmoBank,0.2758945738701144,0.3216117075329893,0.5303832767104978,0.569543696568617,0.09181802153244167,0.09995945401186213,0.33121261154291254,0.33841984124032004,0.31784251071676284,0.3230889282276149
14,EmoBank,0.27271240647844275,0.33162994216453956,0.5260625835117657,0.5782838599994751,0.08296616815098279,0.08799731660183618,0.3207335654609413,0.3231193283769832,0.31644871105770755,0.336068329799629
15,EmoBank,0.252668576883992,0.3295917876482103,0.5071706507118318,0.5755748493519822,0.08525407856750955,0.0780262859244758,0.31983282603735097,0.30883909536133275,0.286773675589429,0.33143897075925544
16,EmoBank,0.263761323307908,0.3232357146980527,0.5163122828491977,0.5696012673081254,0.10766130335385626,0.06838767689512959,0.3445084128554331,0.294219560890092,0.2819168258293887,0.3133445337441033
