layer,dataset,condition_auc_reader,condition_auc_self,condition_bal_acc_reader,condition_bal_acc_self,intensity_spearman_reader,intensity_spearman_self
0,AIPsy-Affect,0.5,0.5,0.5,0.5,-0.004910463758239913,-0.004910463758239913
1,AIPsy-Affect,0.9309982638888888,0.9338802083333333,0.84375,0.8500000000000001,0.7305224186701634,0.7373569242427466
2,AIPsy-Affect,0.9347309027777778,0.9302256944444445,0.85625,0.8541666666666667,0.7466624999927158,0.7476954883455575
3,AIPsy-Affect,0.9289756944444445,0.9293750000000001,0.8583333333333334,0.8625,0.7334535592904118,0.7404558893012717
4,AIPsy-Affect,0.9375347222222223,0.9363368055555554,0.8625,0.8666666666666667,0.7472064826547166,0.7482278969083668
5,AIPsy-Affect,0.9440451388888889,0.9434548611111111,0.8770833333333333,0.8729166666666666,0.7526897121466917,0.7519229280752545
6,AIPsy-Affect,0.9501909722222223,0.9511458333333334,0.8854166666666667,0.88125,0.7723020232266953,0.7831932505659007
7,AIPsy-Affect,0.9546527777777777,0.9580034722222222,0.8770833333333333,0.89375,0.77718629308551,0.7772123348086909
8,AIPsy-Affect,0.9581249999999999,0.96140625,0.8791666666666667,0.89375,0.7848628143742751,0.7916336624013051
9,AIPsy-Affect,0.9574479166666666,0.956388888888889,0.875,0.88125,0.7738182302207823,0.7859073768263083
10,AIPsy-Affect,0.9684201388888889,0.9640277777777777,0.8999999999999999,0.8854166666666667,0.7850132776637646,0.7877679132713427
11,AIPsy-Affect,0.9770486111111112,0.9777777777777779,0.90625,0.9104166666666667,0.8008003489609762,0.81089006993117
12,AIPsy-Affect,0.9715277777777779,0.9761805555555555,0.90625,0.9208333333333333,0.7888877073681207,0.7948715166501282
13,AIPsy-Affect,0.9669965277777778,0.9740798611111111,0.9,0.91875,0.7839745022613271,0.7901348165560051
14,AIPsy-Affect,0.9677430555555555,0.9735590277777778,0.90625,0.9229166666666666,0.7855080704042013,0.7892667591166423
15,AIPsy-Affect,0.9713368055555556,0.9795659722222223,0.9166666666666666,0.9229166666666666,0.7939050793676377,0.7889687260624613
16,AIPsy-Affect,0.9687152777777779,0.9764756944444445,0.9041666666666667,0.9270833333333334,0.7891510181247273,0.7904733589573567
17,AIPsy-Affect,0.9613888888888888,0.9682291666666667,0.8916666666666666,0.9104166666666667,0.7763211291709451,0.7733755209267072
18,AIPsy-Affect,0.9659375000000001,0.9647569444444444,0.9020833333333333,0.9,0.7769461305272863,0.7857250847640421
19,AIPsy-Affect,0.9582465277777777,0.9548958333333333,0.8854166666666667,0.88125,0.7750479782598797,0.7773801592469677
20,AIPsy-Affect,0.9529166666666667,0.9483159722222222,0.8812500000000001,0.8583333333333334,0.7602273442451587,0.764747029979441
21,AIPsy-Affect,0.9487847222222222,0.9435416666666666,0.8708333333333333,0.8645833333333334,0.7531845048871285,0.7519865856208078
22,AIPsy-Affect,0.9463888888888888,0.9473784722222223,0.8708333333333333,0.8708333333333333,0.7453343721104907,0.7688587287172228
23,AIPsy-Affect,0.9475694444444445,0.9451041666666666,0.8645833333333333,0.8666666666666667,0.7403864447061227,0.7684883575430947
24,AIPsy-Affect,0.9511805555555556,0.944045138888889,0.8666666666666667,0.86875,0.7343737001761363,0.7611908880028513
25,AIPsy-Affect,0.9531944444444445,0.9413715277777778,0.8729166666666667,0.8583333333333334,0.739119080844653,0.7593014163098383
26,AIPsy-Affect,0.9548784722222222,0.947204861111111,0.8708333333333333,0.8729166666666667,0.7383320420996308,0.763349457502067
27,AIPsy-Affect,0.9509027777777778,0.9464756944444443,0.8729166666666667,0.8666666666666667,0.7536764041027673,0.756300831094441
28,AIPsy-Affect,0.9477430555555555,0.9418923611111111,0.8645833333333333,0.8625,0.7311271653529196,0.7475826408784404
29,AIPsy-Affect,0.9465277777777777,0.9491840277777778,0.8604166666666666,0.8625,0.7279732233232346,0.7432915436031902
30,AIPsy-Affect,0.9476736111111111,0.9484375,0.875,0.8583333333333334,0.7407134130082828,0.7625363770338637
31,AIPsy-Affect,0.9490451388888888,0.9541319444444445,0.8604166666666666,0.8708333333333333,0.7494489643730704,0.7689194927379782
32,AIPsy-Affect,0.9513020833333333,0.9585590277777777,0.8708333333333333,0.8729166666666667,0.7549119391914604,0.7748396444744325
