layer,dataset,target_V_human_r2_reader,target_V_human_r2_self,target_V_human_pr_reader,target_V_human_pr_self,target_A_human_r2_reader,target_A_human_r2_self,target_A_human_pr_reader,target_A_human_pr_self,target_V_beh_r2_reader,target_V_beh_r2_self
0,EmoBank,-0.001381961558982514,-0.001381961558982514,-0.04956622763272018,-0.04956622763272018,-0.003655148616100723,-0.003655148616100723,-0.08061047697982948,-0.08061047697982948,-0.0010544903474796197,-0.0014554931013359695
1,EmoBank,0.15640857722351298,0.14691952563860466,0.4065640754278389,0.3971077138177925,0.03213845427227513,0.037158161009811286,0.2363989076430117,0.24301550615755144,0.28926911338201167,0.2501225812927478
2,EmoBank,0.12899675195082838,0.14350398140914933,0.3728909449947098,0.3894446803744701,0.053594355233040236,0.04906465857979925,0.26640558154359706,0.26158740239746475,0.3232912892483768,0.31416740083228545
3,EmoBank,0.1171655364486589,0.12417021580087617,0.3559034837272639,0.3656407660868006,0.052098925507308436,0.050469420944541654,0.2634957232605963,0.2608588879017964,0.3016309401461862,0.28859932983109315
4,EmoBank,0.14767001323319562,0.15068601248455316,0.39217213341680196,0.39688783544198636,0.04228810858747001,0.04335527277135298,0.2480462507433415,0.2474744111857848,0.3519683293257321,0.33367616787801657
5,EmoBank,0.1354882418454234,0.14849926391341395,0.38074032689053616,0.39591073850804304,0.026305870364202066,0.030483727761879242,0.22188030731935351,0.22672027680087006,0.38939513334182285,0.3743261373863961
6,EmoBank,0.12709566457554455,0.15274504955910206,0.37185419186190394,0.40069324836233783,0.050372757427162185,0.05556501293142524,0.25739538933383815,0.26406072200062713,0.38651392728053113,0.3828818771430399
7,EmoBank,0.14611705177185053,0.14987270658447616,0.3922837464248615,0.39678731205070344,0.04683801556458378,0.050715108428127875,0.2522325300866708,0.2567859143542497,0.3895526429574313,0.3800373287842075
8,EmoBank,0.12786102146529332,0.13485793113664457,0.3683165802047547,0.37914499480729896,0.04004696569038391,0.04154773772121534,0.2380402260875062,0.2397496764606589,0.3632255870965655,0.35691914439685357
9,EmoBank,0.13481504025240376,0.12461822285048174,0.3750465881502486,0.3676116683089004,0.04343153445831438,0.048258674496058696,0.24268084005933105,0.24765544257428088,0.37641983844211824,0.34915989992717034
10,EmoBank,0.12493811082442485,0.15228641089707895,0.3640286778948529,0.39788338848546173,0.047855817503936304,0.05246570801092443,0.2508872122387482,0.25403667277687325,0.37625810942686433,0.3674307193610692
11,EmoBank,0.14567696704327926,0.14810320101604635,0.3887196872761579,0.3923167594105632,0.05547724168162316,0.056232888106162005,0.2640467876723972,0.2607766298058174,0.3838735791436454,0.37545238372419376
12,EmoBank,0.10537985204337463,0.1274042971061664,0.34091732198024016,0.36737542801443906,0.04893107830099297,0.0384774152311953,0.25474312900414003,0.2350531777859508,0.33837637627258355,0.33685678733524216
13,EmoBank,0.10034793113033114,0.10724738690676894,0.33200830557718103,0.3417124421688538,0.042992112506379465,0.03809591192577999,0.24511481147240088,0.23065051818113705,0.316705566114894,0.3201355118162249
14,EmoBank,0.11381875024026133,0.10200128535028585,0.3482379365551442,0.3339717532116728,0.03806905163146479,0.03544816423553576,0.23608468200844446,0.22924681886076217,0.3417235601168753,0.2984610658342258
15,EmoBank,0.11340868713756302,0.08469437678734537,0.3474710099001709,0.31119836720671407,0.03664920678172556,0.03194289380258897,0.2364013857244845,0.22383403326710496,0.3340914190243306,0.29523904008015145
16,EmoBank,0.105637180658542,0.0911353287091149,0.3366350766835281,0.31960802137643846,0.0367607402452339,0.01909748061528238,0.2349879456149401,0.2054901954840866,0.3335773804735791,0.2882484274351671
17,EmoBank,0.09095111999040806,0.0849711814077958,0.31638434019884126,0.3092008300409654,0.04492433467995527,0.011248735367042184,0.2449238414512158,0.1925338511197049,0.30236932624321433,0.2809770359168958
18,EmoBank,0.10551332256346035,0.0665660639073754,0.3351881197301264,0.28672418435786867,0.02964055335099869,0.009228042393162994,0.22004049535891054,0.1866989865560074,0.3066657909215421,0.2575427658424003
