layer,dataset,condition_auc_reader,condition_auc_self,condition_bal_acc_reader,condition_bal_acc_self,intensity_spearman_reader,intensity_spearman_self
0,AIPsy-Affect,0.5,0.5,0.5,0.5,-0.004910463758239913,-0.004910463758239913
1,AIPsy-Affect,0.9326302083333332,0.935373263888889,0.8458333333333333,0.8541666666666667,0.7200160301290756,0.7161010910775494
2,AIPsy-Affect,0.9437152777777779,0.9443055555555556,0.8666666666666667,0.8729166666666666,0.7470618064148227,0.7464657403064603
3,AIPsy-Affect,0.9427951388888889,0.9445312499999999,0.8541666666666667,0.8687499999999999,0.746798495658216,0.7486503515288566
4,AIPsy-Affect,0.9570486111111112,0.9571006944444445,0.8729166666666667,0.8708333333333333,0.7530427221720325,0.7608176233039253
5,AIPsy-Affect,0.9602430555555554,0.9631423611111112,0.8812500000000001,0.875,0.7817898910389307,0.7909305358754211
6,AIPsy-Affect,0.9650694444444444,0.9684201388888889,0.8979166666666667,0.9041666666666667,0.7983148111596007,0.8071805711402928
7,AIPsy-Affect,0.9656597222222222,0.9702777777777778,0.9083333333333333,0.9020833333333333,0.8013153963749982,0.8152274636031861
8,AIPsy-Affect,0.9717013888888889,0.9791666666666667,0.9020833333333333,0.9145833333333333,0.8226233129865572,0.8306586313502589
9,AIPsy-Affect,0.9739409722222222,0.9809895833333333,0.8999999999999999,0.9229166666666666,0.8379647814648958,0.846714800453673
10,AIPsy-Affect,0.9820486111111111,0.9847743055555556,0.9291666666666667,0.9291666666666667,0.8488241800313246,0.8496401540243256
11,AIPsy-Affect,0.9850868055555555,0.9866666666666667,0.9312499999999999,0.925,0.8450915330420644,0.8509914301049336
12,AIPsy-Affect,0.98296875,0.9866840277777778,0.9291666666666667,0.9291666666666667,0.8477564693809082,0.8477709370048977
13,AIPsy-Affect,0.9858333333333333,0.98921875,0.9395833333333333,0.9395833333333333,0.8520244184577754,0.8543247706720869
14,AIPsy-Affect,0.98828125,0.9910763888888888,0.9458333333333333,0.9458333333333333,0.8468247543959921,0.8530342586122341
15,AIPsy-Affect,0.9885763888888889,0.9898090277777778,0.9437500000000001,0.95,0.8458004466175442,0.8543392382960763
16,AIPsy-Affect,0.9911979166666667,0.9915972222222222,0.9520833333333334,0.9520833333333334,0.857961931343017,0.8544260440400125
17,AIPsy-Affect,0.9893055555555557,0.9897222222222222,0.9520833333333334,0.9520833333333334,0.8566887804319516,0.8542611131265336
18,AIPsy-Affect,0.9896527777777778,0.9907291666666667,0.9541666666666666,0.9520833333333334,0.8597240879449235,0.8556528985543119
19,AIPsy-Affect,0.9895138888888889,0.9909375,0.9520833333333334,0.95625,0.8600308015734984,0.854275580750523
20,AIPsy-Affect,0.9883854166666666,0.9905381944444445,0.9437500000000001,0.9479166666666667,0.856376279753781,0.8510435135512954
21,AIPsy-Affect,0.9885416666666667,0.9901215277777777,0.9437500000000001,0.9541666666666666,0.8549844943260027,0.8505892301580289
22,AIPsy-Affect,0.9876736111111111,0.9897916666666666,0.9479166666666667,0.9520833333333334,0.8537692139108948,0.8518797422178817
23,AIPsy-Affect,0.9867708333333334,0.9898611111111111,0.95,0.9541666666666666,0.8520475666561583,0.850893050261806
24,AIPsy-Affect,0.986545138888889,0.9900694444444444,0.94375,0.9541666666666666,0.852967707541883,0.8503780028477839
25,AIPsy-Affect,0.9853298611111112,0.9891666666666666,0.94375,0.9541666666666666,0.8509509207577634,0.8509306660841783
26,AIPsy-Affect,0.9856076388888889,0.9889756944444443,0.94375,0.9479166666666667,0.8509509207577634,0.8486823973162285
27,AIPsy-Affect,0.98515625,0.9889583333333334,0.94375,0.9520833333333334,0.8504966373644968,0.8485782304235051
28,AIPsy-Affect,0.9841666666666666,0.9884895833333333,0.9395833333333333,0.9458333333333333,0.8468044997224071,0.845430075443416
29,AIPsy-Affect,0.9836979166666667,0.9884895833333334,0.9354166666666667,0.95,0.8442119015035101,0.8453866725714478
30,AIPsy-Affect,0.9836805555555556,0.9879340277777778,0.9375,0.9458333333333333,0.8482281139229619,0.8430342369107746
31,AIPsy-Affect,0.9830034722222222,0.9871527777777778,0.9354166666666667,0.94375,0.8461418825436935,0.841928910437986
32,AIPsy-Affect,0.9830902777777778,0.9867534722222222,0.9395833333333333,0.9437500000000001,0.8475018391986952,0.8411939551393255
