layer,dataset,target_V_human_r2_reader,target_V_human_r2_self,target_V_human_pr_reader,target_V_human_pr_self,target_A_human_r2_reader,target_A_human_r2_self,target_A_human_pr_reader,target_A_human_pr_self,target_V_beh_r2_reader,target_V_beh_r2_self
0,EmoBank,-0.001381961558982514,-0.001381961558982514,-0.04956622763272018,-0.04956622763272018,-0.003655148616100723,-0.003655148616100723,-0.08061047697982948,-0.08061047697982948,-0.0010498251971196026,-0.0008615002522029958
1,EmoBank,0.1316147761866442,0.13426634406708626,0.37894704459535,0.3810377896111972,0.06028489166636419,0.057441564173033255,0.27741613311785235,0.27265885909816395,0.20719745004703072,0.21110697704923143
2,EmoBank,0.15257654910008744,0.1467333469500398,0.39919396819444003,0.39378053276368435,0.05236582127289546,0.04443917920215845,0.2609023814699285,0.2529831064161412,0.24540417912903534,0.2241238605249921
3,EmoBank,0.12482960584310299,0.13970676815133454,0.3654302013817441,0.3833126645020157,0.03797984399925525,0.03967461014064544,0.23806927001670852,0.244125879681152,0.23783056512030543,0.2653736610600016
4,EmoBank,0.18033847567019035,0.20276289155086147,0.43046738664005196,0.45437445570903584,0.06041265442084831,0.058056496811749625,0.27137103961349535,0.2703807762809453,0.27562465301717576,0.31016140203996423
5,EmoBank,0.23957707056728061,0.26385499175133686,0.49237694752830935,0.5150711194222493,0.07763122635554875,0.07512851123095865,0.2972396294448239,0.2959976893844677,0.34570728641444526,0.3626788270934842
6,EmoBank,0.298323605377218,0.349588660841216,0.5483651778701921,0.5919347358785458,0.08075866908838203,0.06956657267274946,0.3044606450492996,0.28950986777842175,0.4037636055588598,0.4670286706408062
7,EmoBank,0.318992907111993,0.3482187948042478,0.5657232255165475,0.5906840418376866,0.07723359845742317,0.08633489525166327,0.2995557656685426,0.31156531052923003,0.4163502341141708,0.4808919005820125
8,EmoBank,0.3301167232741675,0.35049149048807904,0.5754209049145154,0.5925841131873147,0.09937030197432961,0.09747559023136854,0.3286243444287387,0.3269081897584551,0.43953248266405254,0.49001992488227264
9,EmoBank,0.3542829661902559,0.382821622567752,0.595946321350891,0.6192766371941223,0.10549045784246724,0.11294238236622178,0.3387647750179997,0.34863024506629947,0.4720471190985356,0.5128435911860275
10,EmoBank,0.37223627973026674,0.41779600060646394,0.6111171259533671,0.6471194876853663,0.1393553693621411,0.13657768175170548,0.38137463884008554,0.37856987589817664,0.5280060492625986,0.5561110891914745
11,EmoBank,0.36228255993558667,0.42044618252298527,0.6035502405618631,0.649081195768736,0.1445596977431267,0.1465940970709695,0.387815852887396,0.39063487106285205,0.5589474220126986,0.5918716758528269
12,EmoBank,0.35443265940991475,0.4095705638476991,0.5972423028956634,0.6408748713020437,0.14529189581340152,0.13854288849740937,0.3872985990042956,0.3809738276492185,0.5582677018628126,0.6018714238889105
13,EmoBank,0.4036860753406508,0.43242255355051296,0.6368080624931755,0.6583770843411625,0.13689173043153335,0.14352825780724676,0.3804708510333297,0.3871387384818943,0.6311199281983417,0.6588037539644807
14,EmoBank,0.4258707304595948,0.4412222161048962,0.653626399767226,0.6649534632666105,0.14494579743466462,0.15694923652920034,0.3910089557288714,0.4042667599285269,0.677836998882895,0.6887999140368487
15,EmoBank,0.4383180224083988,0.4460416767486185,0.6629068468574987,0.6687158184620892,0.1555305306290784,0.16765458996907334,0.40292642012012114,0.4159957681260907,0.705349944004444,0.7045584082924634
16,EmoBank,0.4590573456131569,0.47350791785806845,0.6786776022274428,0.6890168625148723,0.15606310589070893,0.16624990080060664,0.4057344122930774,0.4178262509836081,0.7628356917196262,0.7547489006750585
17,EmoBank,0.4734137636185489,0.47847467033347035,0.6889027991652408,0.6925875667730397,0.1625906899909738,0.18375100612789774,0.4134564656192285,0.4356983885263664,0.7755517711897792,0.7724966165212119
18,EmoBank,0.4780516993117404,0.4799409977475434,0.6920711777581534,0.6935816452207215,0.15856730325762702,0.17835037352537142,0.40996946982222177,0.4301924988555064,0.7815237512067976,0.7820844692887466
19,EmoBank,0.4803729448921621,0.47978747866982585,0.6938052752702296,0.693359147953917,0.16189468701293075,0.17482075413071996,0.41278985191391626,0.4260701894926637,0.782909950600746,0.7830209635648692
20,EmoBank,0.4850091944382726,0.47746028972551646,0.6969750532019129,0.6918023695408682,0.16381173884405187,0.1742568821741941,0.4144460241886218,0.42486510903046504,0.7756118621050891,0.7753994674506769
21,EmoBank,0.4874532771446578,0.47917405409141844,0.6987500910987586,0.6931775706389137,0.1607389016406795,0.17402142102878682,0.4108081002365088,0.4253100253571463,0.778507571881424,0.7755162780873448
22,EmoBank,0.4838199577855792,0.47884978803207645,0.6962549720414086,0.6929456868478006,0.16064011121221466,0.17285879387951564,0.41088569867695224,0.42374294787386063,0.7720384467841435,0.7751388686457534
23,EmoBank,0.4789342467877795,0.4768640793402592,0.6927479545754538,0.6914604940449396,0.15958177210837066,0.166112654893514,0.40933740923754114,0.4170853524438355,0.7633433188648695,0.7709282773984527
24,EmoBank,0.47672687538814673,0.47402408868335555,0.6910515437058847,0.6894159110075065,0.15649250098531586,0.16938419157776807,0.40603726014243435,0.41980391643419146,0.7608832200881617,0.7640748176975904
25,EmoBank,0.47419090956412036,0.47351007295708714,0.6892203805395036,0.6889196834270845,0.1498106259233951,0.16328122696043812,0.3975193122951466,0.41349936583524344,0.7561127114623472,0.7622638298832073
26,EmoBank,0.4676953247235094,0.4763246547109753,0.6846110183871204,0.6908746034164854,0.15557953812825398,0.1610852358525946,0.4038952859666151,0.41117942284731734,0.7544770997034342,0.763917526845946
27,EmoBank,0.467166345023444,0.4766352414215008,0.6840268700959968,0.6910417700900667,0.14477848135407023,0.14246544488632085,0.39126540928072323,0.3911236924443142,0.7543549729417043,0.7689966597818225
28,EmoBank,0.45325890161908233,0.47048008811140385,0.674134726989805,0.6867808899053828,0.1420401374623097,0.14229169161022825,0.3883099736100893,0.3904319835294396,0.7497022087967347,0.766903597761416
29,EmoBank,0.4603997225606804,0.47142563037245466,0.6790908483553489,0.6875058197069677,0.13690665575947014,0.14587575440019274,0.3806011435076869,0.3928788227622482,0.7427212501055587,0.7651830956248398
30,EmoBank,0.4610830287385924,0.46993588498697314,0.6794791123326204,0.6863010750920763,0.13171560776718827,0.14218668869016116,0.3738119055423937,0.38726960709473757,0.7341256303954814,0.7618530586773336
31,EmoBank,0.4589937017622917,0.47268079817162467,0.6778449268213397,0.6881069075724479,0.13060475678242833,0.13634603083253483,0.37233013671591114,0.3792692857135887,0.7334402237982646,0.7530847210733952
32,EmoBank,0.462436623427653,0.47130771028448304,0.6802285958466581,0.6868761833439766,0.12447353674810435,0.13347495173387836,0.36368668244180674,0.3743129774748158,0.7168219648006748,0.7444811253129853
