layer,dataset,target_V_human_r2_reader,target_V_human_r2_self,target_V_human_pr_reader,target_V_human_pr_self,target_A_human_r2_reader,target_A_human_r2_self,target_A_human_pr_reader,target_A_human_pr_self,target_V_beh_r2_reader,target_V_beh_r2_self
0,EmoBank,-0.001381961558982514,-0.001381961558982514,-0.04956622763272018,-0.04956622763272018,-0.003655148616100723,-0.003655148616100723,-0.08061047697982948,-0.08061047697982948,-0.0021878457722903644,-0.0025465675856142234
1,EmoBank,0.0449214138715992,0.046583659502822616,0.25558379936820563,0.2582053096687761,0.06918673692824218,0.06686917617795018,0.2869653848613496,0.28492897198318723,0.11728592391083037,0.10692405084499501
2,EmoBank,0.04714092142069304,0.05864105342202508,0.2557776717784822,0.2709960724915931,0.058895754418961554,0.07293699509555318,0.27337803719246057,0.2920940082472604,0.15060795755660206,0.1375650589316838
3,EmoBank,0.03341925184289796,0.036097035841481384,0.22744117899373845,0.23866397146848617,0.061451101851459855,0.07034027322653524,0.27357270446079496,0.2867299289472906,0.12494391780374425,0.0989314757293317
4,EmoBank,0.045519218472398926,0.05326582613011954,0.24781712594573785,0.2652450434828788,0.04726024961459363,0.04550402084469174,0.2528572940445731,0.2490185792923057,0.13593508739548688,0.1271888337803745
5,EmoBank,0.0447101410580073,0.041963664447043136,0.24760132816418415,0.24733089122100962,0.027007827145822838,0.04144484312694274,0.222293863249148,0.24465110843055055,0.14414843909923092,0.11463065349095047
6,EmoBank,0.02374259033792281,0.008607878176852157,0.21546739981598886,0.19421617742490313,-0.002284342641836856,0.027774165155674435,0.17633423874165582,0.21976455667111613,0.13202560612970182,0.08844547393151092
7,EmoBank,0.05575498497589737,0.04504668690038438,0.267796610416009,0.25201787144296683,0.02849880654531567,0.04256387222697444,0.222603103734431,0.24451827223329964,0.19236868255913275,0.15696730426331318
8,EmoBank,0.05027988708880793,0.01903690085245635,0.26191560584231655,0.2227861845781999,0.02957054839373474,0.03320836316216902,0.22803997720810643,0.23487349282495454,0.17795808748270403,0.12480907034421529
9,EmoBank,0.06749498541545174,0.06556743119462527,0.2870989404023435,0.28874847822038496,0.029869578700732702,0.03785423793036469,0.23040498898737877,0.2395018083159598,0.2272486848731824,0.20104861459099765
10,EmoBank,0.04250030751784184,0.05989455390904608,0.2551133113839146,0.2820263229074886,0.02241264992364511,0.037210226511859235,0.2222137336954682,0.23986739408590743,0.21757383663697327,0.2139847949800836
11,EmoBank,0.04648296152549636,0.07417941925304683,0.2596259082912031,0.3021631290268068,0.04050142548800062,0.04951654217958701,0.2483841419271612,0.26095853755867965,0.2390002888585725,0.24174599423281806
12,EmoBank,0.05955456949579929,0.0767511974809767,0.2812361254572166,0.3018289729636189,0.03627196957941903,0.03605831077864097,0.24381441400719378,0.23847284489298026,0.24582371406687342,0.2211469636270582
13,EmoBank,0.06501976067943926,0.0884955057304524,0.2871638712996004,0.32024776579808745,0.05097196612522459,0.06606025688616468,0.26475052194681625,0.2827838141698242,0.23951534042063272,0.21882659702313167
14,EmoBank,0.21888182972698655,0.24367384171093753,0.47343084523597273,0.4973016034540881,0.051334785371238145,0.08336138532610893,0.268151453135242,0.31020776576132614,0.5440947048961978,0.5578021213905052
15,EmoBank,0.17487445588588646,0.1853911782789497,0.42447239635681755,0.4380900689309728,0.05022641713892573,0.07932088712612528,0.2670864544163808,0.3061722212388469,0.43227325033932407,0.4576653998962201
16,EmoBank,0.1473840574112053,0.19134794826155477,0.3929700238226559,0.4437166719314198,0.04199019577297847,0.0829077728639721,0.2565395802366484,0.3098576237113453,0.3871605089478982,0.45332631208016516
17,EmoBank,0.30110161891907183,0.2959502898050742,0.5508911695869416,0.5470857611079292,0.09764709702041874,0.11710482526271271,0.33230800789445053,0.3574150723787683,0.8015124139017145,0.7698395583689276
18,EmoBank,0.34486042495888347,0.3192335909909151,0.5892291351538045,0.5675700373810892,0.10326438952566974,0.11611635074356608,0.3404188380898512,0.3550665116979094,0.86939398383835,0.8229927250613275
19,EmoBank,0.34039890155112207,0.3194797485884284,0.5859647563834901,0.5682319696943053,0.09926001023078423,0.10484654477759237,0.33452955130724876,0.3421791132531257,0.8609113840243534,0.8242253073397979
20,EmoBank,0.32197482671704847,0.3074740862710218,0.5713752375705993,0.5593181497970315,0.10114518939672401,0.10263948694477887,0.33711672306693286,0.339238284087731,0.8551834904144813,0.810917985305585
21,EmoBank,0.3194227240603801,0.32376114024338276,0.5694601024789054,0.5721895103460083,0.09652007218555869,0.09380622533891703,0.3318756170555719,0.3319346006672025,0.8497352785202491,0.813826620269421
22,EmoBank,0.3515197629252157,0.36184392281927624,0.5963200354052278,0.6041611146386161,0.10343859939575561,0.1218487087184259,0.3418620066770578,0.3637415848094538,0.8469772711854182,0.8273700745451454
23,EmoBank,0.3630334730226996,0.37483914489789594,0.6049988674889948,0.6142974936707802,0.11129949888986379,0.1285473080630014,0.35032147670958974,0.3696217388235313,0.8355373248824336,0.8081122045490227
24,EmoBank,0.35882694167480844,0.37166262961081564,0.6011473438145667,0.611556109674555,0.12183102109284671,0.13189210000465534,0.36338702772897535,0.3745101416639349,0.8352032881317567,0.8074126090450677
25,EmoBank,0.37147497351238623,0.3729431453935862,0.6102647046640745,0.6118982970797141,0.12771031060728733,0.12804511786283101,0.36669038600434484,0.3669106893329554,0.8180300396722489,0.798630772171763
26,EmoBank,0.35730547528006373,0.3720211855555916,0.5992641968104936,0.6109932103232723,0.12775587281580214,0.1363693000673758,0.36414040157433875,0.3762554260611905,0.7789030434053631,0.7720010347555346
27,EmoBank,0.3619135289982994,0.3729850036951522,0.6018244527179024,0.6108962492488164,0.10635593943221411,0.11745097402421145,0.3339168020507912,0.34850040086563944,0.7363240174318975,0.7263227223390152
28,EmoBank,0.29300193608880176,0.32246591647393996,0.5414538841290902,0.567931811207014,0.09698099417476502,0.1024372516753902,0.3169823132004564,0.3273548091983447,0.5838302575977481,0.6149349124122863
