layer,dataset,target_V_human_r2_reader,target_V_human_r2_self,target_V_human_pr_reader,target_V_human_pr_self,target_A_human_r2_reader,target_A_human_r2_self,target_A_human_pr_reader,target_A_human_pr_self,target_V_beh_r2_reader,target_V_beh_r2_self
0,EmoBank,-0.001381961558982514,-0.001381961558982514,-0.04956622763272018,-0.04956622763272018,-0.003655148616100723,-0.003655148616100723,-0.08061047697982948,-0.08061047697982948,-0.002295869548767815,-0.0020603918084300954
1,EmoBank,0.036215375871716304,0.02554421814501262,0.2330028043345447,0.2168501446174318,0.042522346338868644,0.04182022178740252,0.24824835796129427,0.24880246975389683,0.10001201182294439,0.06483169078464068
2,EmoBank,0.06608574269241729,0.08857504281443795,0.2838364399404153,0.31441018545198335,0.04245984871932584,0.03477603962727638,0.24894046616846174,0.24067065077602806,0.17818744512567652,0.15821908225764247
3,EmoBank,0.06957858943539164,0.07614358697495716,0.28613790188868593,0.3011878535015539,0.024252135607471748,0.038153921814341185,0.22102069461810844,0.2427722463026065,0.18243195763967646,0.17519962468475303
4,EmoBank,0.09206281005069727,0.09540438396347484,0.3222560363301578,0.32903694308880505,0.015880631138066925,0.0275649468518262,0.20540439539757818,0.21869226921521992,0.25525496658167923,0.2015523102454585
5,EmoBank,0.08968163728350609,0.10366299631260323,0.31855097574929303,0.33690364120807886,0.03182533786168806,0.047075517740777784,0.22953125651380854,0.25258943650673144,0.25174301881527716,0.2068667028117389
6,EmoBank,0.10368889562696149,0.11991847300141156,0.33651588780213426,0.3596988085536853,0.03429664464760884,0.04678327074105748,0.23223873842899992,0.24948404201664634,0.24790667292636204,0.2081574360951871
7,EmoBank,0.09030799462627404,0.11443730511967942,0.31667285202767614,0.3514381014501672,0.037195352265261494,0.06299545358786596,0.23664901471262034,0.2742903069129728,0.24569665104082383,0.21075184837468586
8,EmoBank,0.08393514457952955,0.10199466174410332,0.3081417203372553,0.3346555616695039,0.03920468882388595,0.05438252908523389,0.23913480340736787,0.2636556883475131,0.22391020236714143,0.20934706810351555
9,EmoBank,0.11222821886724677,0.1387372647459637,0.34769382808774546,0.38137939747610394,0.04882997601196859,0.06616118174518715,0.26016516922525423,0.2852554995595434,0.25811685855787914,0.2589664082368789
10,EmoBank,0.12032442603915317,0.15048246380377028,0.3597018262838791,0.3953392777869304,0.043025337532231145,0.05291430481181936,0.2555147847698099,0.267270915826858,0.28220912031138723,0.2705201655460855
11,EmoBank,0.15329986017826158,0.17525828651005015,0.4008559642269633,0.4273030442115794,0.07512189716382933,0.07933877479016793,0.30401866874223765,0.3062270355514127,0.3633168768626551,0.3654297947444072
12,EmoBank,0.11559077834981646,0.14988323620499266,0.35727481438885184,0.40201615955929415,0.05473668335162807,0.06601840148020544,0.2744935881181745,0.2896381676343555,0.3053364502964504,0.3326502472171152
13,EmoBank,0.1459141968676413,0.20425657651648266,0.39331220639176295,0.4576070496829326,0.052377874125487334,0.07123756065014741,0.2733207351797873,0.2982614875789885,0.3127452237659847,0.3593772528213732
14,EmoBank,0.2344183133241292,0.2876258336104023,0.48836951042988364,0.5390736827987592,0.06600148372844017,0.07983275689280367,0.2927218695574498,0.3095029699338435,0.4641435687886738,0.5085808358698761
15,EmoBank,0.20964976420407277,0.2658276465897924,0.4628039421140522,0.5175626890515242,0.06558917253802388,0.06332393179047457,0.2881095998311384,0.285625354801757,0.4227298443309888,0.4586898591462064
16,EmoBank,0.20298844005710692,0.2681021945390064,0.456802082954291,0.520500633486023,0.06233091647083511,0.06012711998263487,0.28664989124043333,0.2832436560390284,0.4220363887793559,0.4628513584527546
17,EmoBank,0.1764919225145175,0.20619651566669506,0.4280430933902413,0.4588592268764829,0.06785860877153482,0.08736690109822987,0.291194922304925,0.3153750683045908,0.4036915102173825,0.3737348938711784
18,EmoBank,0.1799329215187413,0.19037401056149572,0.43338715943053024,0.4440554749241328,0.07134475376005889,0.08769819635347909,0.2971183187878234,0.3169557919748504,0.4170471853661737,0.3607374742583369
19,EmoBank,0.17272148267144738,0.17234471905761395,0.42453713316284447,0.4269471211459009,0.06934462170928002,0.08710347287053788,0.29285026338903275,0.31487438800912715,0.41626886430899335,0.34206223504423894
20,EmoBank,0.15013984397166302,0.16183963763909281,0.3983707824996684,0.4129948722329472,0.0659054332121054,0.09029165476860579,0.29257459279335063,0.320793995583807,0.3650705216924951,0.3322248805888016
