pair_id,token_jaccard,relative_edit_distance,net_cue_aff,net_cue_neu,cue_difference,ppl_aff,ppl_neu,ppl_ratio
P_rage-d1-v1,0.3978494623655914,0.535181236673774,0,0,0,19.023483334886294,22.01954851818258,0.8639360818520698
P_rage-d1-v2,0.3655913978494624,0.4521575984990619,0,0,0,27.366535276221587,37.22986292572375,0.7350694413178568
P_rage-d1-v3,0.3177570093457944,0.6412078152753108,0,0,0,21.145555647378853,29.053922488464444,0.7278037906231313
P_rage-d1-v4,0.22018348623853212,0.6353591160220995,0,0,0,20.95655782588283,22.05735900458666,0.950093656789619
P_rage-d2-v1,0.3333333333333333,0.5738636363636364,0,0,0,25.382611185700576,37.90921800350387,0.6695630206297449
P_rage-d2-v2,0.2604166666666667,0.6060070671378092,0,0,0,15.475329080817472,15.92007270980112,0.9720639089309089
P_rage-d2-v3,0.2871287128712871,0.6057046979865772,0,0,0,19.339430517954415,21.264089491218286,0.9094877829804795
P_rage-d2-v4,0.2872340425531915,0.572992700729927,0,0,0,27.175095031573797,23.45183984008176,1.158761703052691
P_rage-d3-v1,0.27722772277227725,0.5706618962432916,0,1,-1,21.036568158996253,26.297867646545697,0.7999343384719304
P_rage-d3-v2,0.23529411764705882,0.6049149338374291,0,0,0,17.693537552641278,20.13040981571769,0.8789456764998695
P_rage-d3-v3,0.2558139534883721,0.576271186440678,0,0,0,17.193030839592957,25.62304460539571,0.6709987213999433
P_rage-d3-v4,0.21428571428571427,0.6768953068592057,0,0,0,7.653774515885532,17.90838725860458,0.42738488831947585
P_grief-d1-v1,0.375,0.4570815450643777,1,0,1,12.701961006755106,17.087063996486055,0.7433670445665921
P_grief-d1-v2,0.26373626373626374,0.5477272727272727,0,0,0,15.094438756062047,11.22174701966664,1.3451058364176718
P_grief-d1-v3,0.2872340425531915,0.627906976744186,0,0,0,14.297159519972409,13.361139854780415,1.0700552950803675
P_grief-d1-v4,0.29347826086956524,0.5266272189349113,0,0,0,9.89460170876203,11.936035816197332,0.8289687658582745
P_grief-d2-v1,0.4019607843137255,0.5403377110694184,0,0,0,20.58368845394032,23.541719322334966,0.8743493751564007
P_grief-d2-v2,0.43010752688172044,0.5114068441064639,0,0,0,20.721257717397677,22.13496382751572,0.9361323986220805
P_grief-d2-v3,0.39361702127659576,0.5028901734104047,0,0,0,21.700283914659664,26.031879668597497,0.8336041560315279
P_grief-d2-v4,0.5168539325842697,0.4540540540540541,0,0,0,16.035722619160687,20.94416034831878,0.7656416675021414
P_grief-d3-v1,0.3541666666666667,0.5752895752895753,0,0,0,18.488079605235594,14.800340291686409,1.2491657618477114
P_grief-d3-v2,0.44047619047619047,0.5666666666666667,1,0,1,15.298912885114932,17.292656883788695,0.8847056934756782
P_grief-d3-v3,0.4069767441860465,0.4827586206896552,0,0,0,18.449814593238205,13.257883310988973,1.3916107698983189
P_grief-d3-v4,0.22448979591836735,0.6331967213114754,0,1,-1,19.27030815154363,14.514456448892172,1.3276630021754243
P_terror-d1-v1,0.4358974358974359,0.41487279843444225,0,0,0,13.027141123267125,10.705724095666678,1.216838748133004
P_terror-d1-v2,0.3402061855670103,0.6302681992337165,0,0,0,12.419476056164026,14.288510834857211,0.8691931112004525
P_terror-d1-v3,0.391304347826087,0.5274102079395085,0,0,0,12.71214045206177,13.467653526691993,0.9439015848577905
