pair_id,token_jaccard,relative_edit_distance,net_cue_aff,net_cue_neu,cue_difference,ppl_aff,ppl_neu,ppl_ratio
P_rage-d1-v1,0.3978494623655914,0.535181236673774,0,0,0,28.20655924572276,34.82575996294146,0.809933752079035
P_rage-d1-v2,0.3655913978494624,0.4521575984990619,0,0,0,37.43285589337613,47.41706031403761,0.7894385450305057
P_rage-d1-v3,0.3177570093457944,0.6412078152753108,0,0,0,34.75890117109547,33.436203937357284,1.0395588026875735
P_rage-d1-v4,0.22018348623853212,0.6353591160220995,0,0,0,30.5476330509613,29.197672658136053,1.046235169576569
P_rage-d2-v1,0.3333333333333333,0.5738636363636364,0,0,0,32.61090681123546,52.74196426993319,0.6183104221530797
P_rage-d2-v2,0.2604166666666667,0.6060070671378092,0,0,0,20.598313189979958,21.558219316914077,0.9554737305388331
P_rage-d2-v3,0.2871287128712871,0.6057046979865772,0,0,0,29.057067514365706,35.56511060167621,0.817010441013103
P_rage-d2-v4,0.2872340425531915,0.572992700729927,0,0,0,31.25851987491849,30.342011891267024,1.0302058728580679
P_rage-d3-v1,0.27722772277227725,0.5706618962432916,0,1,-1,32.33473915934377,34.0194276430676,0.9504786073452433
P_rage-d3-v2,0.23529411764705882,0.6049149338374291,0,0,0,26.433464046905144,30.249361841921782,0.8738519282221612
P_rage-d3-v3,0.2558139534883721,0.576271186440678,0,0,0,25.732936312161314,31.053939891170234,0.8286528399839301
P_rage-d3-v4,0.21428571428571427,0.6768953068592057,0,0,0,10.106981891486218,25.87556269146239,0.39059948652716703
P_grief-d1-v1,0.375,0.4570815450643777,1,0,1,17.90896794616412,18.02600045808856,0.9935075167836553
P_grief-d1-v2,0.26373626373626374,0.5477272727272727,0,0,0,22.34050600316475,13.985595490676308,1.5973938628973288
P_grief-d1-v3,0.2872340425531915,0.627906976744186,0,0,0,21.196556301150295,17.237518854821506,1.2296755263908459
P_grief-d1-v4,0.29347826086956524,0.5266272189349113,0,0,0,15.297151222280343,15.021147873085841,1.0183742503004567
P_grief-d2-v1,0.4019607843137255,0.5403377110694184,0,0,0,41.78470466466755,32.40186337912925,1.289577172959899
P_grief-d2-v2,0.43010752688172044,0.5114068441064639,0,0,0,22.97803249278819,21.820512248685894,1.05304729686741
P_grief-d2-v3,0.39361702127659576,0.5028901734104047,0,0,0,32.054726919495764,28.421774836527568,1.1278228040310956
P_grief-d2-v4,0.5168539325842697,0.4540540540540541,0,0,0,24.318217653430597,32.26831560599596,0.7536252340139706
P_grief-d3-v1,0.3541666666666667,0.5752895752895753,0,0,0,29.090589409503917,20.981850029263555,1.3864643957738065
P_grief-d3-v2,0.44047619047619047,0.5666666666666667,1,0,1,21.510025213356187,28.436496726389976,0.7564231509914175
P_grief-d3-v3,0.4069767441860465,0.4827586206896552,0,0,0,28.90322306255649,19.662917338459305,1.469935569331221
P_grief-d3-v4,0.22448979591836735,0.6331967213114754,0,1,-1,23.242910176055673,18.99320090538589,1.2237489124708718
P_terror-d1-v1,0.4358974358974359,0.41487279843444225,0,0,0,18.579938514759313,15.466815812750548,1.201277466443022
P_terror-d1-v2,0.3402061855670103,0.6302681992337165,0,0,0,21.456505362888027,18.492682027347236,1.1602700014464018
P_terror-d1-v3,0.391304347826087,0.5274102079395085,0,0,0,17.044366204232137,19.39414207396094,0.8788409025978738
P_terror-d1-v4,0.30392156862745096,0.5895652173913043,0,0,0,21.64644550171305,17.693562863467875,1.2234078825920842
P_terror-d2-v1,0.20353982300884957,0.6494156928213689,0,0,0,20.042627599188407,32.23451328624833,0.621775387127172
P_terror-d2-v2,0.29464285714285715,0.6243739565943238,0,0,0,20.886002323425192,21.572142606216737,0.9681931802737577
P_terror-d2-v3,0.37383177570093457,0.5335515548281505,0,0,0,15.502153600207514,17.02977972569362,0.910296723716395
P_terror-d2-v4,0.19827586206896552,0.6900175131348512,0,0,0,14.071405696377711,21.856282129731188,0.6438151268838718
P_terror-d3-v1,0.37254901960784315,0.6133768352365416,0,0,0,13.973713313098726,25.839682759984587,0.540784997327965
P_terror-d3-v2,0.18421052631578946,0.6380165289256199,0,0,0,28.10997958276301,25.987460565507405,1.0816746957722403
P_terror-d3-v3,0.34579439252336447,0.5438311688311688,0,0,0,14.867693189684767,24.060857212840205,0.6179203193072532
P_terror-d3-v4,0.25,0.6153846153846154,0,0,0,20.373081917680693,34.46467455692748,0.591129369084853
P_ecstasy-d1-v1,0.2543859649122807,0.6506410256410257,0,0,0,12.753836867714869,18.633274438069865,0.6844656437406251
P_ecstasy-d1-v2,0.2222222222222222,0.6487804878048781,0,0,0,16.775605625453757,26.070052678816882,0.6434818214081663
P_ecstasy-d1-v3,0.19230769230769232,0.662015503875969,0,0,0,18.16487673154733,23.65763834150014,0.7678228782396972
P_ecstasy-d1-v4,0.1724137931034483,0.6818181818181818,0,0,0,23.57718512387081,29.14837286105167,0.8088679401554837
P_ecstasy-d2-v1,0.15,0.7025641025641025,0,0,0,19.340574049888442,24.328139909499292,0.7949877519139418
