layer,alpha,matched_shift_V,matched_shift_A,random_shift_V,random_shift_A,specificity_V,specificity_A
0,-1.0,-0.0826738126204169,-0.11410636637610545,-0.09688603141826718,-0.10402546660271854,0.014212218797850285,-0.010080899773386914
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.5,-0.004033790326275516,-0.05845509955145042,-0.00019347763035752982,-0.05690983937573593,-0.0038403126959179862,-0.0015452601757144913
0,1.0,-0.06790157806602422,-0.14970540990476608,-0.08091238194495921,-0.14386452400018443,0.013010803878934996,-0.00584088590458165
0,1.5,-0.148479547543485,-0.17636455134105863,-0.16885577106136843,-0.16112097506140477,0.02037622351788343,-0.015243576279653864
1,-1.0,0.010986652665446557,-0.09746770402058451,0.009042243098374763,-0.102791851905058,0.0019444095670717934,0.005324147884473496
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5,0.002852441057190909,-0.04224616558301874,0.0062784600875352954,-0.03923473357188955,-0.0034260190303443865,-0.0030114320111291892
1,1.0,-0.0009403940191163954,-0.1223140370860944,0.0012982913262157211,-0.12234414212114315,-0.0022386853453321164,3.0105035048758055e-05
1,1.5,-0.07994342941475642,-0.16703439336781115,-0.09572391928093267,-0.14996781699313097,0.01578048986617625,-0.017066576374680176
2,-1.0,0.02718600934991212,-0.11141163723416388,0.03088098194186954,-0.11115014117757101,-0.0036949725919574183,-0.00026149605659286923
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5,0.005983048806134067,-0.04646222616785969,0.008922313956560922,-0.04364930818427368,-0.002939265150426855,-0.0028129179835860094
2,1.0,0.016922832442600743,-0.12513580894754325,0.02299848318219616,-0.11890184884114847,-0.006075650739595418,-0.006233960106394779
2,1.5,0.016957417722741147,-0.1687756513194123,0.024233856011100202,-0.16174997813752845,-0.007276438288359055,-0.007025673181883851
3,-1.0,0.0458192709073062,-0.09528733090037804,0.044665270399625145,-0.09492152352061163,0.0011540005076810522,-0.00036580737976640854
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.5,0.009839684056762367,-0.04624689539502271,0.011266855091480841,-0.04300026341677434,-0.0014271710347184743,-0.003246631978248371
3,1.0,0.036480238640765765,-0.11813704906469402,0.03908642880062207,-0.11867921906885841,-0.002606190159856303,0.0005421700041643857
3,1.5,0.027486212582019564,-0.16632581570459185,0.03683105211298289,-0.15993796327584472,-0.009344839530963326,-0.0063878524287471206
4,-1.0,0.043911526803285174,-0.0615719676087337,0.05093202633518057,-0.05992411604688167,-0.007020499531895395,-0.001647851561852029
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.5,0.0074324567228527495,-0.024263171773167797,0.009766770248476046,-0.022669766478094867,-0.002334313525623297,-0.0015934052950729305
4,1.0,0.03535446432108534,-0.07208482718927171,0.03867535459581111,-0.07130629775244433,-0.00332089027472577,-0.0007785294368273799
4,1.5,0.058050000524986566,-0.11029517324860845,0.06144612621088069,-0.10885159012286028,-0.003396125685894126,-0.001443583125748174
