pair_id,task,site_type,outcome
P_rage-d1-v1,Reader,ReaderSite,0.07518805671348439
P_rage-d1-v1,Self,ReaderSite,0.05477012619322075
P_rage-d1-v2,Reader,ReaderSite,0.04342410750420633
P_rage-d1-v2,Self,ReaderSite,0.05397549614020569
P_rage-d1-v3,Reader,ReaderSite,0.10837551673155676
P_rage-d1-v3,Self,ReaderSite,0.085914564122616
P_rage-d1-v4,Reader,ReaderSite,0.036495915375390986
P_rage-d1-v4,Self,ReaderSite,0.08047143800235101
P_rage-d2-v1,Reader,ReaderSite,0.038402867281147834
P_rage-d2-v1,Self,ReaderSite,0.11557242494348419
P_rage-d2-v2,Reader,ReaderSite,0.02908366062231682
P_rage-d2-v2,Self,ReaderSite,0.020010738811810924
P_rage-d2-v3,Reader,ReaderSite,0.18342464516236046
P_rage-d2-v3,Self,ReaderSite,0.09490623686512656
P_rage-d2-v4,Reader,ReaderSite,0.007231681947349244
P_rage-d2-v4,Self,ReaderSite,0.013880017843195702
P_rage-d3-v1,Reader,ReaderSite,0.027257698473967196
P_rage-d3-v1,Self,ReaderSite,0.041968576666420176
P_rage-d3-v2,Reader,ReaderSite,0.11888127597958942
P_rage-d3-v2,Self,ReaderSite,0.048722899468331526
P_rage-d3-v3,Reader,ReaderSite,0.12483106840418845
P_rage-d3-v3,Self,ReaderSite,0.14298882291494674
P_rage-d3-v4,Reader,ReaderSite,0.04655726109951086
P_rage-d3-v4,Self,ReaderSite,0.10126940689776998
P_grief-d1-v1,Reader,ReaderSite,0.11499109213287095
P_grief-d1-v1,Self,ReaderSite,0.03530240576771604
P_grief-d1-v2,Reader,ReaderSite,0.151764879160738
P_grief-d1-v2,Self,ReaderSite,0.07029063409462655
P_grief-d1-v3,Reader,ReaderSite,0.15413386938245033
P_grief-d1-v3,Self,ReaderSite,0.17141945803776704
P_grief-d1-v4,Reader,ReaderSite,0.07849591093373576
P_grief-d1-v4,Self,ReaderSite,0.162880515291012
P_grief-d2-v1,Reader,ReaderSite,0.0031529772896892183
P_grief-d2-v1,Self,ReaderSite,0.01892152530236313
P_grief-d2-v2,Reader,ReaderSite,0.08548295490253643
P_grief-d2-v2,Self,ReaderSite,0.006903795977495797
P_grief-d2-v3,Reader,ReaderSite,0.020943148879572604
P_grief-d2-v3,Self,ReaderSite,0.03596979125104305
P_grief-d2-v4,Reader,ReaderSite,0.08184253994639867
P_grief-d2-v4,Self,ReaderSite,0.034690103454507515
P_grief-d3-v1,Reader,ReaderSite,0.18179757041642652
P_grief-d3-v1,Self,ReaderSite,0.22978639968445957
P_grief-d3-v2,Reader,ReaderSite,0.11439599138811296
P_grief-d3-v2,Self,ReaderSite,0.10375189835067111
P_grief-d3-v3,Reader,ReaderSite,0.11686254796188411
P_grief-d3-v3,Self,ReaderSite,0.12111584905991979
P_grief-d3-v4,Reader,ReaderSite,0.08688720611847067
P_grief-d3-v4,Self,ReaderSite,0.09690374653109579
P_terror-d1-v1,Reader,ReaderSite,0.1668109271657512
P_terror-d1-v1,Self,ReaderSite,0.14344993195416222
P_terror-d1-v2,Reader,ReaderSite,0.017798341509820403
P_terror-d1-v2,Self,ReaderSite,0.02273110013613966
P_terror-d1-v3,Reader,ReaderSite,0.21687303275828107
P_terror-d1-v3,Self,ReaderSite,0.18439716596217437
P_terror-d1-v4,Reader,ReaderSite,0.16473395061029006
P_terror-d1-v4,Self,ReaderSite,0.09934166123132204
P_terror-d2-v1,Reader,ReaderSite,0.07361247982961672
P_terror-d2-v1,Self,ReaderSite,0.1354214571000032
P_terror-d2-v2,Reader,ReaderSite,0.14602790726865678
P_terror-d2-v2,Self,ReaderSite,0.14352702341004786
P_terror-d2-v3,Reader,ReaderSite,0.2648673867992519
P_terror-d2-v3,Self,ReaderSite,0.2119248130089737
P_terror-d2-v4,Reader,ReaderSite,0.24229336484608766
P_terror-d2-v4,Self,ReaderSite,0.2563725435649715
P_terror-d3-v1,Reader,ReaderSite,0.143425479931099
P_terror-d3-v1,Self,ReaderSite,0.019768782324611323
P_terror-d3-v2,Reader,ReaderSite,0.1028933029218404
P_terror-d3-v2,Self,ReaderSite,0.03879507512270575
P_terror-d3-v3,Reader,ReaderSite,0.16046337610768457
P_terror-d3-v3,Self,ReaderSite,0.01796682005672423
P_terror-d3-v4,Reader,ReaderSite,0.10886681139433385
P_terror-d3-v4,Self,ReaderSite,0.008423405595084255
P_ecstasy-d1-v1,Reader,ReaderSite,0.026870225851681084
P_ecstasy-d1-v1,Self,ReaderSite,0.07318826768928766
P_ecstasy-d1-v2,Reader,ReaderSite,0.2508454070386996
P_ecstasy-d1-v2,Self,ReaderSite,0.11699093213474043
P_ecstasy-d1-v3,Reader,ReaderSite,0.17328131229218702
P_ecstasy-d1-v3,Self,ReaderSite,0.12414648563525876
