layer,z_V_peak_mean,z_V_moderate_mean,z_V_neutral_mean,z_A_peak_mean,z_A_moderate_mean,z_A_neutral_mean,model_type,template
0,0.0,0.0,0.0,0.0,0.0,0.0,Base,standard
1,-3.646,-3.63,-3.951,-1.949,-1.971,-2.395,Base,standard
2,-4.35,-4.33,-4.69,-0.7993,-0.852,-1.373,Base,standard
3,-2.953,-3.021,-3.521,-0.06793,-0.1572,-0.837,Base,standard
4,0.1426,-0.09,-0.805,1.547,1.325,0.3748,Base,standard
5,-1.836,-2.072,-3.027,-5.75,-6.05,-7.23,Base,standard
6,-4.625,-4.848,-5.72,-2.87,-3.053,-4.215,Base,standard
7,-5.19,-5.414,-6.188,-4.156,-4.367,-5.414,Base,standard
8,-2.088,-2.303,-2.969,-3.342,-3.58,-4.504,Base,standard
9,-2.24,-2.555,-3.057,-5.52,-5.816,-6.707,Base,standard
10,0.5703,0.304,-0.1959,-2.242,-2.537,-3.39,Base,standard
11,-3.06,-3.309,-3.732,4.15,3.807,2.906,Base,standard
12,1.796,1.496,0.9824,1.492,1.096,0.1827,Base,standard
13,-1.897,-2.238,-2.684,-0.909,-1.3,-2.174,Base,standard
14,-1.915,-2.322,-2.775,3.184,2.705,1.769,Base,standard
15,5.23,4.81,4.316,10.875,10.39,9.38,Base,standard
16,2.453,2.1,1.584,9.984,9.516,8.49,Base,standard
17,-1.82,-2.191,-2.803,9.86,9.35,8.125,Base,standard
18,-3.361,-3.773,-4.42,8.35,7.914,6.58,Base,standard
19,-0.474,-0.978,-1.733,7.996,7.43,5.945,Base,standard
20,13.92,13.3,12.49,13.33,12.82,11.26,Base,standard
21,10.31,9.484,8.29,11.39,10.586,8.73,Base,standard
22,4.008,2.943,1.578,9.695,8.7,6.586,Base,standard
23,7.17,5.7,4.06,10.15,8.78,6.28,Base,standard
24,16.61,14.94,13.0,16.8,15.14,12.33,Base,standard
25,9.89,8.01,5.945,19.78,18.03,14.71,Base,standard
26,5.336,3.414,1.184,16.45,14.555,10.96,Base,standard
27,20.31,18.2,15.99,36.38,34.28,30.17,Base,standard
28,1.564,0.1624,-1.7705,1.572,0.338,-2.986,Base,standard
0,0.0,0.0,0.0,0.0,0.0,0.0,Base,reversed
1,-3.646,-3.63,-3.951,-1.949,-1.971,-2.395,Base,reversed
2,-4.35,-4.33,-4.69,-0.7993,-0.852,-1.373,Base,reversed
3,-2.953,-3.021,-3.521,-0.06793,-0.1572,-0.837,Base,reversed
4,0.1426,-0.09,-0.805,1.547,1.325,0.3748,Base,reversed
5,-1.836,-2.072,-3.027,-5.75,-6.05,-7.23,Base,reversed
6,-4.625,-4.848,-5.72,-2.87,-3.053,-4.215,Base,reversed
7,-5.19,-5.414,-6.188,-4.156,-4.367,-5.414,Base,reversed
8,-2.088,-2.303,-2.969,-3.342,-3.58,-4.504,Base,reversed
9,-2.24,-2.555,-3.057,-5.52,-5.816,-6.707,Base,reversed
10,0.5703,0.304,-0.1959,-2.242,-2.537,-3.39,Base,reversed
