layer,IBC_V,IBC_A,model_type,template
0,,,Base,standard
1,0.15644548342555492,0.2578648451530467,Base,standard
2,0.17085421903368306,0.24023936621776903,Base,standard
3,0.09468196766573339,0.21965694174725894,Base,standard
4,0.08157905429359784,0.19937352636554245,Base,standard
5,0.06217090773978945,0.1803477788112297,Base,standard
6,0.04354848401471576,0.1782178328849659,Base,standard
7,0.05707684807861095,0.1930739755014566,Base,standard
8,0.06763604913240308,0.2021854168019066,Base,standard
9,0.10983550746492715,0.2137879029688069,Base,standard
10,0.1502597864284113,0.24383744087220258,Base,standard
11,0.20863717900437273,0.2581510980680125,Base,standard
12,0.18309775830530406,0.24153801866806252,Base,standard
13,0.19515493575100493,0.24385288265365318,Base,standard
14,0.1977243934696703,0.241475359778471,Base,standard
15,0.1714135936781489,0.24702937486031729,Base,standard
16,0.1778420061748784,0.1978204952492786,Base,standard
17,0.17197889844299447,0.21142526913439808,Base,standard
18,0.19030302998872622,0.23866014219862552,Base,standard
19,0.19358900414348712,0.22436943365513584,Base,standard
20,0.18365623027127886,0.21725734770541946,Base,standard
21,0.1746894160500552,0.24163944287756794,Base,standard
22,0.18313567453427398,0.2470044621878068,Base,standard
23,0.17014347722232565,0.2441310829928537,Base,standard
24,0.16627269945706835,0.25459819342740564,Base,standard
25,0.19164999570075572,0.26161531007220695,Base,standard
26,0.1932214997885521,0.26515171237309076,Base,standard
27,0.2588966922203254,0.2813906012955457,Base,standard
28,0.2336457700575436,0.2014398230190639,Base,standard
0,,,Base,reversed
1,0.025392009221715778,-0.02064017289472435,Base,reversed
2,0.03603184862140094,-0.011112339262723772,Base,reversed
3,-0.07378347978273053,-0.025696219687571104,Base,reversed
4,-0.12417469576030736,-0.04016472471868901,Base,reversed
5,-0.13705068106252083,-0.04998035021233477,Base,reversed
6,-0.17653104820496965,-0.06964664551067422,Base,reversed
7,-0.1647246663235208,-0.06360720212834611,Base,reversed
8,-0.15477927737604524,-0.05659543387425477,Base,reversed
9,-0.11063539970011868,-0.02884692399002927,Base,reversed
10,-0.07307232133246122,-0.01776190893447968,Base,reversed
11,-0.02835213359711712,0.00014146322877625628,Base,reversed
12,-0.042228390172048186,-0.03073326200485761,Base,reversed
13,-0.037119990498374396,-0.022823826060871036,Base,reversed
14,-0.03156270603010841,-0.02127562274059802,Base,reversed
15,-0.04411821190334828,-0.0076121436140514365,Base,reversed
16,-0.0324165364945168,-0.054855371528920276,Base,reversed
17,-0.049715438742302775,-0.044006959373836065,Base,reversed
18,-0.05019209769654216,-0.013717589119002033,Base,reversed
19,-0.056726216239696405,-0.02801590347857634,Base,reversed
20,-0.06192993933309247,-0.025799939301957238,Base,reversed
21,-0.05211887767539661,-0.028682725526352884,Base,reversed
22,-0.04432095577699328,-0.03480958320702852,Base,reversed
23,-0.05758039250521701,-0.0354151521413129,Base,reversed
24,-0.06274057974934874,-0.03411243230274179,Base,reversed
25,-0.04291157333651251,-0.0322133536652155,Base,reversed
26,-0.04260433294251879,-0.03221576973263132,Base,reversed
27,0.03119460404631166,-0.015182296685216104,Base,reversed
28,0.009871615473057604,-0.06776277441656854,Base,reversed
0,,,Instruct,standard
1,0.04652799442521391,-0.1396409111461696,Instruct,standard
2,0.022764417440561145,-0.13598343334825622,Instruct,standard
3,0.026254242203100655,-0.11535246791096154,Instruct,standard
4,0.11755123562281967,-0.11658834515996554,Instruct,standard
5,0.14326953173165466,-0.09026270499073064,Instruct,standard
6,0.10022168145221577,-0.11375079190985335,Instruct,standard
7,0.1081543451573331,-0.10526874026261782,Instruct,standard
8,0.12255413356726186,-0.10575744743730325,Instruct,standard
9,0.15442998275122732,-0.13290677016564884,Instruct,standard
10,0.1654050816946816,-0.09440755612455991,Instruct,standard
11,0.2159427345428313,-0.06930469847882613,Instruct,standard
12,0.2282087472682004,-0.05538867932272395,Instruct,standard
13,0.21805873092812705,-0.06388300364897306,Instruct,standard
14,0.21661122589525914,-0.06686064605753565,Instruct,standard
15,0.19770374006965435,-0.0723452206201547,Instruct,standard
16,0.19761958525738998,-0.08555343962824181,Instruct,standard
17,0.17216980687317907,-0.1121050659969737,Instruct,standard
18,0.16987902148630996,-0.08769611702813812,Instruct,standard
19,0.16860714007273409,-0.08660972314669482,Instruct,standard
20,0.16944290419889546,-0.09336375351328802,Instruct,standard
21,0.14656690631444802,-0.09772595070038281,Instruct,standard
22,0.13777643180108684,-0.1009930918806767,Instruct,standard
23,0.13495986917424121,-0.12277569763015464,Instruct,standard
24,0.1124331021089811,-0.13927832713611094,Instruct,standard
25,0.1257771158784928,-0.134130983134609,Instruct,standard
26,0.13108834910482028,-0.14097850740644935,Instruct,standard
27,0.13109137688271694,-0.13738497610450745,Instruct,standard
28,0.14806250228169093,-0.13258218709576014,Instruct,standard
0,,,Instruct,reversed
1,-0.1122424153503178,-0.08500246465834535,Instruct,reversed
2,-0.10710424286592335,-0.10040248936375787,Instruct,reversed
3,-0.060562606754968,-0.1167093573506242,Instruct,reversed
4,0.005553341418440879,-0.09224610482177424,Instruct,reversed
5,0.018085712888870432,-0.067317147829049,Instruct,reversed
6,-0.03387616569109319,-0.09614191940496658,Instruct,reversed
7,-0.01946158681384081,-0.09782027575428562,Instruct,reversed
8,0.0005298268666012931,-0.09231659595680564,Instruct,reversed
9,0.027375487769780233,-0.13396205497576252,Instruct,reversed
10,0.03664339752497113,-0.07803484279318094,Instruct,reversed
11,0.09048964071910712,-0.03902135939015084,Instruct,reversed
12,0.0823602055383677,-0.04886104288072418,Instruct,reversed
