layer,component,mean_delta_v,mean_delta_a
10,res,0.0,0.0
10,attn,0.0,0.0
10,mlp,0.0,0.0
11,res,0.0,0.0
11,attn,0.0,0.0
11,mlp,0.0,0.0
12,res,0.0,0.0
12,attn,0.0,0.0
12,mlp,0.0,0.0
13,res,0.0,0.0
13,attn,0.0,0.0
13,mlp,0.0,0.0
14,res,0.0,0.0
14,attn,0.0,0.0
14,mlp,0.0,0.0
15,res,0.0,0.0
15,attn,0.0,0.0
15,mlp,0.0,0.0
16,res,0.0,0.0
16,attn,0.0,0.0
16,mlp,0.0,0.0
17,res,0.0,0.0
17,attn,0.0,0.0
17,mlp,0.0,0.0
18,res,0.0,0.0
18,attn,0.0,0.0
18,mlp,0.0,0.0
19,res,0.0,0.0
19,attn,0.0,0.0
19,mlp,0.0,0.0
20,res,0.0,0.0
20,attn,0.0,0.0
20,mlp,0.0,0.0
21,res,0.0,0.0
21,attn,0.0,0.0
21,mlp,0.0,0.0
22,res,0.0,0.0
22,attn,0.0,0.0
22,mlp,0.0,0.0
23,res,0.0,0.0
23,attn,0.0,0.0
23,mlp,0.0,0.0
24,res,0.0,0.0
24,attn,0.0,0.0
24,mlp,0.0,0.0
25,res,0.0,0.0
25,attn,0.0,0.0
25,mlp,0.0,0.0
26,res,0.0,0.0
26,attn,0.0,0.0
26,mlp,0.0,0.0
27,res,0.0,0.0
27,attn,0.0,0.0
27,mlp,0.0,0.0
