id,component,orig_Ev,Ev_unembed,Ev_l27,Ev_l27_random,wd_inst,wd_unembed,wd_l27,wd_l27_random,delta_Ev_unembed,delta_Ev_l27,delta_Ev_l27_random,delta_WD_unembed,delta_WD_l27,delta_WD_l27_random
B-grief-d1-v1,mlp_10,7.3828125,7.3359375,7.375,7.37890625,2.1129619657532714,2.1198089065914067,2.109717828863203,2.1108283508130423,-0.046875,-0.0078125,-0.00390625,0.006846940838135307,-0.0032441368900686385,-0.0021336149402291227
B-grief-d2-v1,mlp_10,4.10546875,3.578125,4.078125,4.09375,0.7477898290330849,1.2690188229437163,0.7724751078717449,0.763293365743875,-0.52734375,-0.02734375,-0.01171875,0.5212289939106314,0.024685278838660007,0.015503536710790078
B-grief-d3-v1,mlp_10,6.78125,6.91796875,6.78125,6.78125,1.3312548552416656,1.6246065010935027,1.3347157822579403,1.331143952882361,0.13671875,0.0,0.0,0.29335164585183704,0.003460927016274651,-0.00011090235930466541
B-terror-d2-v1,mlp_10,5.02734375,4.73828125,4.9921875,4.9921875,0.604821105866622,0.5529232240979078,0.5906462934789058,0.586546727696336,-0.2890625,-0.03515625,-0.03515625,-0.05189788176871413,-0.014174812387716118,-0.018274378170285988
B-ecstasy-d2-v1,mlp_10,5.73828125,5.93359375,5.7265625,5.7265625,0.6851637670129731,0.781313150111021,0.6769389913561593,0.6802345709583114,0.1953125,-0.01171875,-0.01171875,0.09614938309804788,-0.008224775656813788,-0.004929196054661689
B-loathing-d3-v1,mlp_10,2.615234375,2.205078125,2.60546875,2.603515625,1.8805413641405555,2.289771097645568,1.8903075780623486,1.890774595686588,-0.41015625,-0.009765625,-0.01171875,0.40922973350501257,0.00976621392179311,0.010233231546032506
B-amazement-d1-v2,mlp_10,6.0546875,6.2109375,6.0390625,6.0390625,1.304417807759631,1.5975577068233338,1.2963108950272022,1.300051521674287,0.15625,-0.015625,-0.015625,0.29313989906370286,-0.008106912732428695,-0.004366286085343951
B-amazement-d3-v1,mlp_10,7.69921875,7.6875,7.69921875,7.69921875,2.0759541910517685,2.1407308675489043,2.0680624388715394,2.0718725176031314,-0.01171875,0.0,0.0,0.06477667649713581,-0.007891752180229084,-0.00408167344863708
B-vigilance-d1-v1,mlp_10,4.35546875,3.9453125,4.3359375,4.32421875,0.7521598953635,1.1692328076941179,0.7676991150442478,0.7760887845516393,-0.41015625,-0.01953125,-0.03125,0.41707291233061783,0.015539219680747784,0.02392888918813929
B-vigilance-d3-v2,mlp_10,4.0234375,3.609375,4.015625,3.98828125,0.886146119454474,1.2723254551785161,0.8883604899923672,0.9110168872858848,-0.4140625,-0.0078125,-0.03515625,0.38617933572404217,0.0022143705378931955,0.024870767831410845
Bm-grief-d1-v1,mlp_10,5.8828125,6.1796875,5.8828125,5.87890625,0.8384173731317909,1.135245143247593,0.838795400828031,0.8315936840294188,0.296875,0.0,-0.00390625,0.2968277701158021,0.0003780276962400686,-0.006823689102372077
Bm-grief-d2-v1,mlp_10,3.033203125,2.650390625,3.02734375,3.017578125,0.9817722061068461,1.4009228379508678,0.9957403395026776,1.0026558175724178,-0.3828125,-0.005859375,-0.015625,0.4191506318440217,0.013968133395831472,0.020883611465571716
Bm-grief-d3-v1,mlp_10,5.54296875,5.62890625,5.52734375,5.53125,1.0454911905656843,1.0957047055673308,1.0336703278336896,1.0370994216643608,0.0859375,-0.015625,-0.01171875,0.0502135150016465,-0.011820862731994675,-0.008391768901323537
Bm-terror-d2-v1,mlp_10,5.2734375,5.23828125,5.2578125,5.25,1.0194060454202645,0.9808088893551676,1.0095955033032395,1.009663099318693,-0.03515625,-0.015625,-0.0234375,-0.03859715606509684,-0.009810542117024923,-0.009742946101571448
Bm-ecstasy-d2-v1,mlp_10,5.6328125,5.87109375,5.6171875,5.625,1.1989097507379678,1.5152748826806097,1.1899312219711913,1.1930250214750726,0.23828125,-0.015625,-0.0078125,0.31636513194264193,-0.008978528766776517,-0.005884729262895183
Bm-loathing-d3-v1,mlp_10,1.998046875,1.822265625,2.005859375,1.998046875,1.6048530256568623,1.7802533667680789,1.598380170778792,1.604810627821629,-0.17578125,0.0078125,0.0,0.1754003411112166,-0.0064728548780703665,-4.2397835233298764e-05
Bm-amazement-d1-v2,mlp_10,7.29296875,7.234375,7.28515625,7.296875,1.5978297552835814,1.6914085820812343,1.592004734883059,1.5974561578460726,-0.05859375,-0.0078125,0.00390625,0.09357882679765295,-0.005825020400522352,-0.00037359743750875474
Bm-amazement-d3-v1,mlp_10,5.74609375,5.93359375,5.75390625,5.7578125,1.0085849257002484,1.3097928384110011,1.0161298411178028,1.0180177806863762,0.1875,0.0078125,0.01171875,0.30120791271075276,0.007544915417554421,0.009432854986127781
Bm-vigilance-d1-v1,mlp_10,5.81640625,6.0390625,5.8046875,5.80078125,1.1429910447733191,1.4240275780593064,1.1329781665903853,1.1281949907879425,0.22265625,-0.01171875,-0.015625,0.2810365332859872,-0.010012878182933838,-0.014796053985376645
Bm-vigilance-d3-v2,mlp_10,4.89453125,4.64453125,4.87109375,4.87109375,0.7767114963009526,0.716588888640924,0.771931636415836,0.7735919642842962,-0.25,-0.0234375,-0.0234375,-0.06012260766002864,-0.004779859885116644,-0.003119532016656379
N-grief-d1-c1,mlp_10,6.48046875,6.7109375,6.4765625,6.47265625,1.4010193604616306,1.7256892345401436,1.3978599924588597,1.3978306131858982,0.23046875,-0.00390625,-0.0078125,0.324669874078513,-0.003159368002770835,-0.003188747275732373
N-grief-d2-c1,mlp_10,6.4609375,6.6796875,6.45703125,6.453125,1.4365799955616874,1.7830384641940393,1.432785680229312,1.4299303858104915,0.21875,-0.00390625,-0.0078125,0.34645846863235197,-0.0037943153323753975,-0.006649609751195884
N-grief-d3-c1,mlp_10,6.81640625,6.93359375,6.8125,6.80859375,1.3854496861857397,1.6159531619531862,1.3838802853153782,1.3796963572988323,0.1171875,-0.00390625,-0.0078125,0.23050347576744645,-0.0015694008703615037,-0.005753328886907383
N-terror-d2-c1,mlp_10,6.66796875,6.84765625,6.66015625,6.66015625,1.0477793928305497,1.4438039839519021,1.0396196368424766,1.0467336948176011,0.1796875,-0.0078125,-0.0078125,0.39602459112135246,-0.008159755988073059,-0.001045698012948515
N-ecstasy-d2-c1,mlp_10,6.5703125,6.77734375,6.56640625,6.5625,1.1059136111694634,1.4460219328729929,1.0963809174323427,1.0949491327938348,0.20703125,-0.00390625,-0.0078125,0.34010832170352945,-0.009532693737120734,-0.010964478375628639
N-loathing-d3-c1,mlp_10,6.77734375,6.90625,6.78125,6.78125,1.1432683158750407,1.4285176643377655,1.150723063244227,1.1474254735969978,0.12890625,0.00390625,0.00390625,0.28524934846272476,0.007454747369186165,0.004157157721957017
N-amazement-d1-c2,mlp_10,6.28125,6.51953125,6.26953125,6.27734375,1.507448066951244,1.7960164904089833,1.4989551040913291,1.5070034655414952,0.23828125,-0.01171875,-0.00390625,0.28856842345773925,-0.008492962859914854,-0.0004446014097487794
N-amazement-d3-c1,mlp_10,6.3046875,6.54296875,6.296875,6.30078125,1.432919083357306,1.7442041818913443,1.4223925244523392,1.4256005616532397,0.23828125,-0.0078125,-0.00390625,0.3112850985340383,-0.010526558904966787,-0.0073185217040663275
N-vigilance-d1-c1,mlp_10,6.140625,6.3671875,6.1328125,6.12890625,1.1623901116807227,1.4314490697392714,1.1555190105082649,1.1530228836130076,0.2265625,-0.0078125,-0.01171875,0.26905895805854874,-0.006871101172457816,-0.009367228067715061
N-vigilance-d3-c2,mlp_10,7.20703125,7.140625,7.203125,7.20703125,1.7236717436969085,1.9288551526996565,1.721352661137175,1.7245096840345213,-0.06640625,-0.00390625,0.0,0.205183409002748,-0.002319082559733454,0.0008379403376128636
B-grief-d1-v1,mlp_15,7.3828125,7.4140625,7.3984375,7.38671875,2.1129619657532714,2.1899087014620178,2.1280107320217416,2.1160785334226535,0.03125,0.015625,0.00390625,0.07694673570874633,0.015048766268470182,0.0031165676693820643
B-grief-d2-v1,mlp_15,4.10546875,3.572265625,4.13671875,4.15234375,0.7477898290330849,1.2226524828272836,0.7077261014121712,0.7102205292380432,-0.533203125,0.03125,0.046875,0.4748626537941987,-0.0400637276209137,-0.037569299795041644
B-grief-d3-v1,mlp_15,6.78125,6.90625,6.79296875,6.796875,1.3312548552416656,1.591767830025851,1.3325430813001433,1.3370427267592122,0.125,0.01171875,0.015625,0.26051297478418545,0.0012882260584776706,0.005787871517546561
B-terror-d2-v1,mlp_15,5.02734375,4.78125,5.04296875,5.0390625,0.604821105866622,0.5022829411358003,0.6085049624150707,0.6137050945812479,-0.24609375,0.015625,0.01171875,-0.10253816473082167,0.0036838565484487162,0.008883988714625923
B-ecstasy-d2-v1,mlp_15,5.73828125,5.95703125,5.76953125,5.7890625,0.6851637670129731,0.8392329157567653,0.6957250982504863,0.7078743089537551,0.21875,0.03125,0.05078125,0.15406914874379218,0.010561331237513238,0.022710541940782036
B-loathing-d3-v1,mlp_15,2.615234375,2.13671875,2.59765625,2.6015625,1.8805413641405555,2.359241786431099,1.8969058137898593,1.8929293262276992,-0.478515625,-0.017578125,-0.013671875,0.4787004222905433,0.016364449649303836,0.012387962087143656
B-amazement-d1-v2,mlp_15,6.0546875,6.203125,6.0625,6.078125,1.304417807759631,1.5717175288694052,1.3051507893779646,1.3226006316217982,0.1484375,0.0078125,0.0234375,0.2672997211097743,0.0007329816183336835,0.018182823862167297
B-amazement-d3-v1,mlp_15,7.69921875,7.75390625,7.71875,7.71875,2.0759541910517685,2.1873214540922996,2.081974421680215,2.0780347824512235,0.0546875,0.01953125,0.01953125,0.11136726304053113,0.006020230628446477,0.002080591399455045
B-vigilance-d1-v1,mlp_15,4.35546875,3.94921875,4.36328125,4.359375,0.7521598953635,1.1491371052107175,0.7385734708639591,0.7475489501775501,-0.40625,0.0078125,0.00390625,0.3969772098472175,-0.01358642449954095,-0.004610945185949955
B-vigilance-d3-v2,mlp_15,4.0234375,3.64453125,4.0625,4.05078125,0.886146119454474,1.1295284596373036,0.8395315489318322,0.8388685021314869,-0.37890625,0.0390625,0.02734375,0.24338234018282967,-0.04661457052264173,-0.047277617322987076
Bm-grief-d1-v1,mlp_15,5.8828125,6.20703125,5.90625,5.890625,0.8384173731317909,1.156234306687724,0.8491851206831915,0.8548302853111598,0.32421875,0.0234375,0.0078125,0.3178169335559332,0.010767747551400642,0.01641291217936891
Bm-grief-d2-v1,mlp_15,3.033203125,2.58203125,3.029296875,3.01953125,0.9817722061068461,1.4087231164844773,0.9784104410123244,0.9911537909109274,-0.451171875,-0.00390625,-0.013671875,0.4269509103776312,-0.003361765094521685,0.009381584804081244
Bm-grief-d3-v1,mlp_15,5.54296875,5.63671875,5.5546875,5.5546875,1.0454911905656843,1.1823153989556956,1.0532673625221147,1.0514778352330336,0.09375,0.01171875,0.01171875,0.1368242083900113,0.007776171956430433,0.005986644667349328
Bm-terror-d2-v1,mlp_15,5.2734375,5.3125,5.30078125,5.296875,1.0194060454202645,1.0896039868109777,1.0312691358990183,1.02934534663859,0.0390625,0.02734375,0.0234375,0.07019794139071323,0.01186309047875378,0.009939301218325536
Bm-ecstasy-d2-v1,mlp_15,5.6328125,5.86328125,5.640625,5.6484375,1.1989097507379678,1.501868798663399,1.2065189972452055,1.2100122049518522,0.23046875,0.0078125,0.015625,0.30295904792543116,0.00760924650723771,0.01110245421388445
Bm-loathing-d3-v1,mlp_15,1.998046875,1.697265625,1.970703125,1.9697265625,1.6048530256568623,1.9057139743404061,1.6318074944719325,1.633393959925439,-0.30078125,-0.02734375,-0.0283203125,0.30086094868354385,0.026954468815070243,0.028540934268576734
Bm-amazement-d1-v2,mlp_15,7.29296875,7.27734375,7.3046875,7.30078125,1.5978297552835814,1.6422394750233633,1.607001340023287,1.6014286881134716,-0.015625,0.01171875,0.0078125,0.04440971973978192,0.009171584739705585,0.0035989328298902112
Bm-amazement-d3-v1,mlp_15,5.74609375,5.94140625,5.77734375,5.78125,1.0085849257002484,1.3043877915103237,1.0274676613685734,1.0293658047684529,0.1953125,0.03125,0.03515625,0.2958028658100753,0.01888273566832499,0.020780879068204472
Bm-vigilance-d1-v1,mlp_15,5.81640625,6.06640625,5.83203125,5.83203125,1.1429910447733191,1.4496668692017192,1.160059627256104,1.1561849500517374,0.25,0.015625,0.015625,0.3066758244284,0.017068582482784755,0.013193905278418239
Bm-vigilance-d3-v2,mlp_15,4.89453125,4.69921875,4.92578125,4.9296875,0.7767114963009526,0.8331523578465492,0.7878692363024017,0.7855041365676744,-0.1953125,0.03125,0.03515625,0.05644086154559658,0.01115774000144909,0.008792640266721774
N-grief-d1-c1,mlp_15,6.48046875,6.66796875,6.484375,6.48828125,1.4010193604616306,1.6670209755401673,1.3961067001251308,1.4015701447724018,0.1875,0.00390625,0.0078125,0.2660016150785367,-0.00491266033649973,0.0005507843107712684
N-grief-d2-c1,mlp_15,6.4609375,6.66015625,6.4765625,6.4765625,1.4365799955616874,1.7373894582717788,1.4350568569181572,1.4359997495903025,0.19921875,0.015625,0.015625,0.30080946271009146,-0.001523138643530153,-0.0005802459713848407
N-grief-d3-c1,mlp_15,6.81640625,6.921875,6.81640625,6.8203125,1.3854496861857397,1.591686854647611,1.3829556426944989,1.3855378027984142,0.10546875,0.0,0.00390625,0.20623716846187135,-0.002494043491240827,8.811661267449367e-05
N-terror-d2-c1,mlp_15,6.66796875,6.85546875,6.6875,6.69921875,1.0477793928305497,1.4077839085681916,1.0496608584162703,1.0510232780498467,0.1875,0.01953125,0.03125,0.3600045157376419,0.0018814655857206652,0.0032438852192970824
N-ecstasy-d2-c1,mlp_15,6.5703125,6.76171875,6.5859375,6.5859375,1.1059136111694634,1.4066515218921547,1.1100877154465514,1.11503568563235,0.19140625,0.015625,0.015625,0.3007379107226913,0.0041741042770879755,0.009122074462886598
N-loathing-d3-c1,mlp_15,6.77734375,6.89453125,6.7890625,6.80078125,1.1432683158750407,1.3909687018265868,1.140666475699105,1.141774639933281,0.1171875,0.01171875,0.0234375,0.2477003859515461,-0.002601840175935788,-0.0014936759417596424
N-amazement-d1-c2,mlp_15,6.28125,6.48046875,6.2890625,6.2890625,1.507448066951244,1.7582608659114927,1.512120168513586,1.5110976839383699,0.19921875,0.0078125,0.0078125,0.25081279896024866,0.004672101562342101,0.0036496169871258477
N-amazement-d3-c1,mlp_15,6.3046875,6.484375,6.3125,6.3125,1.432919083357306,1.673225327628905,1.4324597864079274,1.4327135012736114,0.1796875,0.0078125,0.0078125,0.24030624427159908,-0.0004592969493786292,-0.00020558208369458875
N-vigilance-d1-c1,mlp_15,6.140625,6.296875,6.14453125,6.140625,1.1623901116807227,1.35865617353326,1.1627979491557552,1.1617767071423892,0.15625,0.00390625,0.0,0.19626606185253737,0.0004078374750324798,-0.000613404538333473
N-vigilance-d3-c2,mlp_15,7.20703125,7.171875,7.22265625,7.22265625,1.7236717436969085,1.8899280738529205,1.7075210302160926,1.7079974805497349,-0.03515625,0.015625,0.015625,0.16625633015601204,-0.01615071348081587,-0.015674263147173573
B-grief-d1-v1,attn_14,7.3828125,7.37890625,7.3828125,7.3828125,2.1129619657532714,2.1580107960462014,2.116679411534768,2.1171679407895443,-0.00390625,0.0,0.0,0.04504883029292994,0.0037174457814965756,0.0042059750362728465
B-grief-d2-v1,attn_14,4.10546875,3.658203125,4.125,4.12109375,0.7477898290330849,1.1932291947979445,0.7483046204051256,0.7528880238197273,-0.447265625,0.01953125,0.015625,0.44543936576485965,0.0005147913720406905,0.005098194786642418
B-grief-d3-v1,attn_14,6.78125,6.92578125,6.78515625,6.79296875,1.3312548552416656,1.6180775224463995,1.3286492705604078,1.331999584420327,0.14453125,0.00390625,0.01171875,0.2868226672047338,-0.002605584681257822,0.0007447291786613075
B-terror-d2-v1,attn_14,5.02734375,4.8125,5.02734375,5.03125,0.604821105866622,0.5061344408510887,0.6067194638652189,0.6070310236678931,-0.21484375,0.0,0.00390625,-0.09868666501553325,0.0018983579985969445,0.0022099178012711107
B-ecstasy-d2-v1,attn_14,5.73828125,5.96875,5.75,5.74609375,0.6851637670129731,0.8152764144838186,0.689776222974265,0.6873574669992593,0.23046875,0.01171875,0.0078125,0.1301126474708455,0.004612455961291895,0.0021936999862861573
