family,alignment,task,pair_id,layer,relative_depth,c_v,c_a
mistral,base,reader,pair_0,0,0.0,0.0,0.0
mistral,base,reader,pair_0,1,0.03225806451612903,0.10330658960828151,0.01702688120624586
mistral,base,reader,pair_0,2,0.06451612903225806,0.0740198491552578,0.048250662163117915
mistral,base,reader,pair_0,3,0.0967741935483871,0.0,0.046229363804890254
mistral,base,reader,pair_0,4,0.12903225806451613,0.0,0.0
mistral,base,reader,pair_0,5,0.16129032258064516,0.009054652855837004,0.0
mistral,base,reader,pair_0,6,0.1935483870967742,0.09725944792267868,0.0
mistral,base,reader,pair_0,7,0.22580645161290322,0.08279764884366607,0.02128129532264921
mistral,base,reader,pair_0,8,0.25806451612903225,0.12664742558841188,0.0
mistral,base,reader,pair_0,9,0.2903225806451613,0.0,0.046646703984805526
mistral,base,reader,pair_0,10,0.3225806451612903,0.0,0.09316226923453123
mistral,base,reader,pair_0,11,0.3548387096774194,0.1362999383432492,0.12700949808885773
mistral,base,reader,pair_0,12,0.3870967741935484,0.07940400436393515,0.038632322728988096
mistral,base,reader,pair_0,13,0.41935483870967744,0.1303995623723349,0.1542942941022252
mistral,base,reader,pair_0,14,0.45161290322580644,0.07206371802340295,0.09280512347501804
mistral,base,reader,pair_0,15,0.4838709677419355,0.030172497537224577,0.025518490446270983
mistral,base,reader,pair_0,16,0.5161290322580645,0.1835631488562791,0.0
mistral,base,reader,pair_0,17,0.5483870967741935,0.09295118788006095,0.22918910140222817
mistral,base,reader,pair_0,18,0.5806451612903226,0.24257662131842558,0.42008279131943504
mistral,base,reader,pair_0,19,0.6129032258064516,0.32211188386508516,0.3307418558423394
mistral,base,reader,pair_0,20,0.6451612903225806,0.39021108700939633,0.33855840955880695
mistral,base,reader,pair_0,21,0.6774193548387096,0.5569745445478643,0.5200264170248134
mistral,base,reader,pair_0,22,0.7096774193548387,0.5181069732272626,0.5778848133797939
mistral,base,reader,pair_0,23,0.7419354838709677,0.7088290670224077,0.6925718359528594
mistral,base,reader,pair_0,24,0.7741935483870968,1.0413054520545872,0.7554482460088093
mistral,base,reader,pair_0,25,0.8064516129032258,0.9973523409243198,0.8945071561567262
mistral,base,reader,pair_0,26,0.8387096774193549,1.1175907254565232,0.964581695180298
mistral,base,reader,pair_0,27,0.8709677419354839,1.1768447772233397,0.9694807271980058
mistral,base,reader,pair_0,28,0.9032258064516129,1.225221207488281,0.9419171297003474
mistral,base,reader,pair_0,29,0.9354838709677419,1.3711192276941124,1.1747317875912906
mistral,base,reader,pair_0,30,0.967741935483871,1.3540843787341201,1.078127984303454
mistral,base,reader,pair_0,31,1.0,1.403542563887838,1.1062377728878074
mistral,base,reader,pair_1,0,0.0,0.0,0.1103019039962343
mistral,base,reader,pair_1,1,0.03225806451612903,0.03539255970973894,0.0
mistral,base,reader,pair_1,2,0.06451612903225806,0.024175118107257355,0.0
mistral,base,reader,pair_1,3,0.0967741935483871,0.0,0.03199029269839593
mistral,base,reader,pair_1,4,0.12903225806451613,0.0771074110114599,0.12552528638817675
mistral,base,reader,pair_1,5,0.16129032258064516,0.1375940232781235,0.0
mistral,base,reader,pair_1,6,0.1935483870967742,0.0,0.015500575971600466
mistral,base,reader,pair_1,7,0.22580645161290322,0.013043552253974246,0.0
mistral,base,reader,pair_1,8,0.25806451612903225,0.0,0.07934035503930872
mistral,base,reader,pair_1,9,0.2903225806451613,0.13735199770893955,0.001505105989765658
mistral,base,reader,pair_1,10,0.3225806451612903,0.0,0.004258857379897084
mistral,base,reader,pair_1,11,0.3548387096774194,0.0,0.015035213044510817
mistral,base,reader,pair_1,12,0.3870967741935484,0.052817964136375434,0.0438031172510576
mistral,base,reader,pair_1,13,0.41935483870967744,0.12661359197248634,0.08044288692210444
mistral,base,reader,pair_1,14,0.45161290322580644,0.07914361264395917,0.08049537585593998
mistral,base,reader,pair_1,15,0.4838709677419355,0.16436710383492686,0.026149417908980857
mistral,base,reader,pair_1,16,0.5161290322580645,0.06117749820656869,0.07074966782239775
mistral,base,reader,pair_1,17,0.5483870967741935,0.1886648561091812,0.2840644789980967
mistral,base,reader,pair_1,18,0.5806451612903226,0.13252471910834526,0.4117989578627692
mistral,base,reader,pair_1,19,0.6129032258064516,0.21886497413779993,0.24339340033434467
