layer,component,probe_r2,mean_ot_recovery,median_ot_recovery,mean_ot_displacement,mean_marg_recovery,valid_pairs,model_name
0,mlp,0.3025241215029376,-1.394875712415583,-1.5409796133809883,0.13398898945500834,-1.4402483068427396,12,Qwen/Qwen2.5-1.5B-Instruct
0,attn,0.3394792632261846,-0.9204307810866194,0.4924419721506701,0.1328184374757848,-0.9437031163580079,12,Qwen/Qwen2.5-1.5B-Instruct
0,resid,0.3128617704156941,-1.1450818889373466,0.01780411048996622,0.13340569352192794,-1.1683542242087417,12,Qwen/Qwen2.5-1.5B-Instruct
1,mlp,0.3044616787390858,-0.47172050327226506,0.09630608827309595,0.13314652279021993,-0.5139291564113201,12,Qwen/Qwen2.5-1.5B-Instruct
1,attn,0.32632936106227517,0.7779193189700884,0.4337083521015084,0.13206663778081115,1.1618321825158715,12,Qwen/Qwen2.5-1.5B-Instruct
1,resid,0.35293041243506607,-0.04197248332589813,-0.9846798461265682,0.13155548680140067,-0.08890421450918154,12,Qwen/Qwen2.5-1.5B-Instruct
2,mlp,0.36075179355504505,-0.3230700470684337,0.5380427314617409,0.13214393550534229,-0.3744231716868135,12,Qwen/Qwen2.5-1.5B-Instruct
2,attn,0.3971423956021918,-0.7756052740394221,-0.20729421884745913,0.13210120705360517,-0.828854709785475,12,Qwen/Qwen2.5-1.5B-Instruct
2,resid,0.3942509420035891,-1.9334551235226316,0.2237415084962835,0.1334421617715465,-1.9784274083739728,12,Qwen/Qwen2.5-1.5B-Instruct
3,mlp,0.39320118835875817,1.3779303833576728,3.7795250569883585,0.12940805966511382,2.107126308676599,12,Qwen/Qwen2.5-1.5B-Instruct
3,attn,0.49031174745521056,0.5950785840319495,0.858089446893795,0.13267101385971486,0.6353425965139242,12,Qwen/Qwen2.5-1.5B-Instruct
3,resid,0.36942661092029117,-2.731398641397505,-0.2286829902299059,0.1336126499486383,-2.793966682799436,12,Qwen/Qwen2.5-1.5B-Instruct
4,mlp,0.3847244483284784,1.6681759398650864,0.2797161206413157,0.13177736287431094,2.3268540198200323,12,Qwen/Qwen2.5-1.5B-Instruct
4,attn,0.3997276812876487,-2.044045328901169,-0.9481069947135712,0.13366818887552326,-2.0962757236842156,12,Qwen/Qwen2.5-1.5B-Instruct
4,resid,0.35211316415959215,-2.7134275002186943,-2.1524677114484803,0.13490534287764352,-2.772216682803642,12,Qwen/Qwen2.5-1.5B-Instruct
5,mlp,0.36849458985029315,-0.5728545283299746,0.3496811069324368,0.13213825949514865,-0.6292481607237332,12,Qwen/Qwen2.5-1.5B-Instruct
5,attn,0.38444930854535975,0.6114611784979147,0.17252020548415015,0.1316476970318335,1.0858311733016426,12,Qwen/Qwen2.5-1.5B-Instruct
5,resid,0.4059061337748695,-2.231307387852471,-1.1171291554660345,0.13423634977628385,-2.2748987614834393,12,Qwen/Qwen2.5-1.5B-Instruct
6,mlp,0.422921995942391,-0.16746372806140014,-0.372217280100251,0.1329295910277248,-0.05430282256984609,12,Qwen/Qwen2.5-1.5B-Instruct
6,attn,0.4698219023008925,-1.2267167619132582,-0.48861670903641574,0.13328716679816152,-1.1940586320839914,12,Qwen/Qwen2.5-1.5B-Instruct
6,resid,0.46969358376565395,-3.7001507745077413,-3.1872512854390855,0.1365558428390033,-3.7345912039131597,12,Qwen/Qwen2.5-1.5B-Instruct
7,mlp,0.47870258971142154,1.2099161389681727,0.8657602042351331,0.13158214513557118,1.5718039057035411,12,Qwen/Qwen2.5-1.5B-Instruct
7,attn,0.43209676180195533,-0.5046060541309849,0.45598157699344166,0.13238762162323323,-0.5345076775472708,12,Qwen/Qwen2.5-1.5B-Instruct
7,resid,0.472640841288117,-2.090234513097435,-2.879392222018784,0.1347948274116319,-2.142516431690673,12,Qwen/Qwen2.5-1.5B-Instruct
8,mlp,0.46710805934330324,-0.9357837738461328,-0.599931043417179,0.13299165212489208,-0.9028924725480161,12,Qwen/Qwen2.5-1.5B-Instruct
8,attn,0.3836995163796757,0.20200560113872815,-0.1652181461777702,0.13211460680525203,0.4644581196685436,12,Qwen/Qwen2.5-1.5B-Instruct
8,resid,0.46190249881560363,-3.0471622925136432,-2.745928381671292,0.13517173928690188,-3.098352793776273,12,Qwen/Qwen2.5-1.5B-Instruct
9,mlp,0.4133761970091987,0.783028795927441,0.7052853155545602,0.1320652514370146,1.201296220054925,12,Qwen/Qwen2.5-1.5B-Instruct
9,attn,0.4156994661481158,0.08957164041228463,-0.5762581578232173,0.1319086443131344,0.04209071909539637,12,Qwen/Qwen2.5-1.5B-Instruct
9,resid,0.4141290958474999,-2.3134627502459204,-0.7294469455158326,0.13391586931162264,-2.3698189409656374,12,Qwen/Qwen2.5-1.5B-Instruct
10,mlp,0.48165326933941666,2.204613878940855,1.524822154613431,0.12999323338427282,2.1696188787925164,12,Qwen/Qwen2.5-1.5B-Instruct
10,attn,0.4752705350449766,0.7824839156054355,1.193039099424159,0.13155166614357014,0.7598276028626672,12,Qwen/Qwen2.5-1.5B-Instruct
10,resid,0.47435944186210866,-1.3739955232479923,-0.4236023688744983,0.13359099066155583,-1.382866682018504,12,Qwen/Qwen2.5-1.5B-Instruct
11,mlp,0.4891475142500067,0.25473561617112284,0.10538377535396215,0.1324725479834896,0.34686209416553426,12,Qwen/Qwen2.5-1.5B-Instruct
11,attn,0.4830496739839193,0.2071333134515583,0.1770777068275775,0.13217205902415982,0.26460696295628383,12,Qwen/Qwen2.5-1.5B-Instruct
11,resid,0.45192937007303546,-0.16404038482254285,0.5030460561708527,0.13202169069835415,-0.2114026281164786,12,Qwen/Qwen2.5-1.5B-Instruct
12,mlp,0.45709796077943365,-0.9172638029355723,-0.20595753068332057,0.13281614418696486,-0.9223696574537246,12,Qwen/Qwen2.5-1.5B-Instruct
12,attn,0.4085166553730524,1.4594972580227794,1.2540719306096348,0.13108335627365444,1.5897852647216677,12,Qwen/Qwen2.5-1.5B-Instruct
12,resid,0.45609914629264536,-0.5253439254233421,-0.09437581747658852,0.13215216496459442,-0.46596407030285264,12,Qwen/Qwen2.5-1.5B-Instruct
13,mlp,0.5150749358513724,-0.062168399484376545,0.0716091800736618,0.13164803385126544,0.018627279727094027,12,Qwen/Qwen2.5-1.5B-Instruct
13,attn,0.5205449852737194,0.9207434189335775,0.5525831471492826,0.13106907482503266,1.2835428022913977,12,Qwen/Qwen2.5-1.5B-Instruct
